BAM,R1 FASTQs,R2 FASTQs,Paired-End,Cropped,Pooled,Duplicate FASTQs,Restricted,BAM Read Length,Mapped Reads,Unmapped Reads,Date Created,Donor,Biosample Ontology,BAM md5sum
ENCFF799TFW,ENCFF000WIX,,False,False,False,False,False,28,6018193,4817222,2016-10-26T17:36:03.997932+00:00,ENCDO000AAL,cell_line_EFO_0002786,bee41639712821465054c450aa67c40b
ENCFF087TOW,ENCFF092DDZ,,False,False,False,False,False,40,36979569,1330542,2017-02-08T18:21:08.415090+00:00,ENCDO000AAD,cell_line_EFO_0002067,840d3ea8f516bddb1af77abdb6f9339f
ENCFF442KWM,ENCFF135ANM,ENCFF473QSO,True,False,False,False,False,101,84551455,2147627,2017-03-17T16:43:32.175391+00:00,ENCDO845WKR,tissue_UBERON_0002106,5ae20811229483982c9ca34639b46e8c
ENCFF122LEY,ENCFF002EFD,ENCFF002EFA,True,False,False,False,False,101,89386544,1131202,2016-05-06T18:17:10.316285+00:00,ENCDO000AAD,cell_line_EFO_0002067,e99ad522e6e489dbbb0568b2e425c7d2
ENCFF549GPL,"ENCFF700UWP, ENCFF342ZXR, ENCFF911DBY, ENCFF121KFB",,False,False,True,False,False,36,32894048,385473,2016-12-19T07:29:59.150144+00:00,ENCDO194EHQ,primary_cell_CL_0000897,2082dd1b7cb305196680851e0d5c9dd5
ENCFF433PWX,ENCFF347NHA,ENCFF027HUL,True,False,False,False,False,101,81886209,2355043,2017-03-23T18:07:04.612345+00:00,ENCDO271OUW,tissue_UBERON_0036149,710fa1329b7ca97a5ae1daa03bab2a13
ENCFF692MYF,ENCFF065VOB,ENCFF795HIW,True,False,False,False,False,101,139993543,7491459,2016-05-06T18:16:37.191934+00:00,ENCDO793LXB,tissue_UBERON_0008367,7b989122de564be4b66a95c0a96a3701
ENCFF873CHB,"ENCFF430QBM, ENCFF144LGB, ENCFF388OVY, ENCFF907ZAE",,False,False,True,False,False,36,46740461,578611,2017-12-15T22:21:01.571898+00:00,ENCDO194EHQ,primary_cell_CL_0000792,fbfab4985e6f4d830abe3e9e7525fb52
ENCFF405GGZ,ENCFF458ZVK,ENCFF715LSR,True,False,False,False,False,101,77815786,2489850,2016-11-02T23:08:38.326152+00:00,ENCDO271OUW,tissue_UBERON_0002190,4488302903817224212a918a72311de2
ENCFF969PTL,ENCFF507DNV,,False,False,False,False,True,76,61805939,8628115,2017-11-09T06:25:27.038241+00:00,ENCDO686OPO,primary_cell_CL_1001608,f4c63f9509e8c674e52e0bb1d3fae2a2
ENCFF461QPO,ENCFF088HMZ,ENCFF722QTP,True,False,False,False,False,76,109101841,24000325,2017-02-02T04:45:09.048587+00:00,ENCDO271OUW,tissue_UBERON_0008367,9f48a5ef175afae2264af21712f659ce
ENCFF011DCG,"ENCFF067KOA, ENCFF142HVK, ENCFF145VOM, ENCFF228AVN",,False,False,True,False,False,76,72704975,2726893,2016-10-27T22:01:41.672380+00:00,ENCDO793LXB,tissue_UBERON_0006920,698ec5defb2a808851a4e78dce04ef3b
ENCFF033LOS,ENCFF001HJV,,False,False,False,False,False,36,32425524,383045,2016-08-09T16:01:37.362939+00:00,ENCDO224AAA,primary_cell_CL_0002606,b4450d9a16fdd9b6933a95f6f045e7ce
ENCFF476YAR,ENCFF849CDI,ENCFF842SLH,True,False,False,False,False,76,53214866,18064362,2017-02-02T01:02:26.258043+00:00,ENCDO845WKR,tissue_UBERON_0001159,0c07cf09421890b6e8f460dd7eddccaa
ENCFF632VRO,ENCFF723EDR,ENCFF475OEA,True,False,False,False,False,101,102419482,2835392,2017-03-23T18:08:13.291864+00:00,ENCDO793LXB,tissue_UBERON_0036149,bc702f75ae74f7deec6d7829ca505f44
ENCFF122IYJ,ENCFF512TNG,,False,False,False,False,False,76,52857441,2241165,2016-08-09T16:49:17.874531+00:00,ENCDO793LXB,tissue_UBERON_0002046,de664270fca41aa13d6a4c91ddbb983a
ENCFF104FCD,"ENCFF808XNU, ENCFF061KLJ, ENCFF579LXQ",,False,False,True,False,True,36,22914821,360686,2017-10-16T12:52:00.062640+00:00,ENCDO980BZD,tissue_UBERON_0002038,cbe215fcedb9a6031bde6c1d2f5e392c
ENCFF918GEC,ENCFF426FHM,ENCFF273OIE,True,False,False,False,False,101,102715907,1939247,2017-01-08T00:32:39.355273+00:00,ENCDO615NVN,primary_cell_CL_1001606,37086a4385779d8a59d69112bcea4b73
ENCFF503UOS,ENCFF192COE,ENCFF459SYM,True,False,False,False,False,101,83283308,3606448,2016-12-07T18:29:28.219924+00:00,ENCDO793LXB,tissue_UBERON_0002190,6c7c560a05f2a93358e183e157f24e6b
ENCFF856ZPM,ENCFF184KAN,ENCFF535EZI,True,False,False,False,False,101,82727719,1538125,2017-01-27T06:27:25.315703+00:00,ENCDO793LXB,tissue_UBERON_0001211,2a6d07c474a9ebd9d2662c260412db99
ENCFF043ZLF,ENCFF250CGU,,False,False,False,False,False,36,24757053,1034937,2016-12-19T07:29:17.370396+00:00,ENCDO000AAW,in_vitro_differentiated_cells_NTR_0000856,dd6b17f7104d36db0cad0b11a85bac33
ENCFF189EQQ,ENCFF141WOU,ENCFF939CSH,True,False,False,False,False,76,95181814,19378082,2016-11-08T22:45:05.694675+00:00,ENCDO845WKR,tissue_UBERON_0001157,340cc98e3d6c3937b01fd07e3d289516
ENCFF700UBO,"ENCFF318JDQ, ENCFF046WYC, ENCFF494TSO, ENCFF009GEU",,False,False,True,False,True,76,53142018,1307382,2017-11-19T07:27:04.252252+00:00,ENCDO371NVV,tissue_NTR_0001226,16eee5e66372a92b0745784295d89d11
ENCFF528RAC,"ENCFF342XML, ENCFF115PHM",,False,False,True,False,False,76,54896511,2109594,2016-10-27T21:58:03.397135+00:00,ENCDO924HBJ,in_vitro_differentiated_cells_CL_0000746,78db0c1dd99c7c69481193a9d1ada110
ENCFF323AVQ,ENCFF183RWB,,False,False,False,False,False,40,42306549,2025537,2016-05-06T18:12:50.206102+00:00,ENCDO000AAD,cell_line_EFO_0002067,faf1e4248d99ab2673713c93365f3d6e
ENCFF654HJW,ENCFF000YOV,,False,True,False,False,False,27,21556210,5143459,2016-12-13T03:33:12.728670+00:00,ENCDO000AAD,cell_line_EFO_0002067,69cd300aa370577381e3b989c79f1e7a
ENCFF429XTA,"ENCFF955HWE, ENCFF860HKY, ENCFF000CIU",,False,False,True,False,False,36,69126168,6958102,2017-04-07T01:37:57.492328+00:00,ENCDO759UVX,primary_cell_CL_0002551,ccb8a62748d6c7348424e7bc547d3d09
ENCFF798AWR,ENCFF000RPB,,False,False,False,False,False,33,16588623,365414,2016-10-26T17:34:45.614216+00:00,ENCDO000AAK,cell_line_EFO_0002784,f14c8a90f7ae2d779b878317d62fa50d
ENCFF896YZZ,ENCFF270NSD,,False,False,False,False,False,50,42940331,1454447,2016-05-06T18:12:06.606589+00:00,ENCDO000AAC,cell_line_EFO_0001187,abf565af3b909295bcbfb3435600fa6c
ENCFF962KBC,ENCFF000OJU,,False,False,False,False,False,36,22055796,6216175,2016-10-26T17:42:18.033991+00:00,ENCDO000ACA,cell_line_EFO_0002785,b7ba8a5180789796d275efc6228a9acb
ENCFF603BUP,ENCFF866EMZ,,False,False,False,False,False,40,37449618,2982087,2016-05-06T18:10:33.913332+00:00,ENCDO000AAC,cell_line_EFO_0001187,45bc089fc31b4716b216807b38bc087b
ENCFF586OAQ,ENCFF306JCM,,False,False,False,False,False,40,39389807,2269366,2016-05-06T18:10:43.639725+00:00,ENCDO000AAC,cell_line_EFO_0001187,2829a223235f3fbde25294fe5de329fa
ENCFF722CPV,ENCFF002DUF,ENCFF002EGX,True,False,False,False,False,101,75056854,1191954,2016-05-06T18:11:16.550607+00:00,ENCDO000AAE,cell_line_EFO_0001203,0e88ae6f091e1a6770402ecdb92261ef
ENCFF637KZP,ENCFF001HSI,,False,False,False,False,False,36,21627479,338994,2016-08-09T16:00:49.193744+00:00,ENCDO107AAA,primary_cell_CL_0002586,f484724271edde16d969b57394e2ab15
ENCFF436DYG,ENCFF916HOD,,False,False,False,False,False,36,37268745,2094015,2016-12-19T07:21:44.557306+00:00,ENCDO058AAA,tissue_UBERON_0002106,c1f9bde3e70530f3ee050d2ea029d492
ENCFF016PFU,"ENCFF163PYU, ENCFF522PVI, ENCFF639RMG, ENCFF716YLE","ENCFF486LTO, ENCFF272GOE, ENCFF830CTU, ENCFF665BBC",True,False,True,True,False,76,136507551,3061747,2016-11-15T02:25:04.580265+00:00,ENCDO647UHQ,cell_line_EFO_0002847,08979d46245ad14db8f14b0a882fcef7
ENCFF497USM,ENCFF000ZIS,,False,False,False,False,False,36,25142897,2806254,2016-10-26T17:36:18.730155+00:00,ENCDO000AAP,cell_line_EFO_0001200,7c2688ed5bbe66b1708fd160afc54002
ENCFF861GBM,"ENCFF788YKS, ENCFF913IHA, ENCFF749GHL, ENCFF556RIX, ENCFF000BHE",,False,False,True,False,False,36,65084869,9195679,2017-04-06T18:44:35.866513+00:00,ENCDO830BUW,primary_cell_CL_0002327,3293e35675bf142aaf66df65e27a2301
ENCFF535SOA,"ENCFF452ROQ, ENCFF527WMD, ENCFF057DOL, ENCFF584YEG, ENCFF243MZN","ENCFF335TOI, ENCFF274YMK, ENCFF863XGE, ENCFF802LTL, ENCFF375CUH",True,False,True,True,False,76,243834490,5633352,2016-11-15T02:28:55.394946+00:00,ENCDO647UHQ,cell_line_EFO_0002847,108cfdd8cffe2073606c3c9713cb8a11
