,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
hg38 STAR 36bp b1000 k100 n10.bed,-0.05514308,-0.016432019,-0.0134789795,-0.066632435,0.0035742472,-0.10273188,-0.07331245,0.039800998,-0.07124098,-0.056376047,0.17452554,0.13542756,0.12016859,0.12666206,-0.064076,0.02528894,-0.02432427,-0.09575589,0.019514427,-0.003295261,0.13334715,-0.00032549567,0.011031616,0.08336551,-0.034908995,0.018011898,-0.0351759,0.03367064,0.023982778,-0.00849578,-0.13228655,-0.08660658,-0.03939219,-0.06673934,-0.031586174,-0.08058776,-0.023523625,0.023506707,0.05463457,-0.016810363,-0.027903156,0.003927736,0.05622087,0.047963794,-0.021740727,-0.05456162,0.026734445,-0.06530477,0.094969526,0.013315702,0.02270991,-0.051067464,-0.07779988,-0.04359449,-0.085385196,-0.19999304,0.059969496,0.0140637765,-0.06895267,0.006573264,0.05912422,0.06796433,0.07247003,0.033014774,-0.06609786,-0.0217016,0.02603932,-0.051470436,0.030501701,-0.06713652,0.08891909,-0.026468135,-0.047265336,0.007887846,-0.005528275,0.053576898,0.015127191,-0.013799882,-0.03646702,0.10361641,0.08680998,-0.055985976,-0.14289139,-0.048550956,0.03628237,0.11525158,-0.12542571,-0.024100814,0.09504357,0.07709525,-0.028162958,-0.020616142,0.07740562,0.06341606,-0.04687253,-0.0246175,0.044599183,0.097395316,0.0052310005,-0.12516162
hg38 STAR 36bp List.bed,-0.12039767,-0.042959347,0.021467285,0.027572019,-0.025095776,-0.09388397,-0.07371715,0.052327603,-0.015970042,0.011933773,0.14971933,0.05619596,0.14570701,0.13348043,0.0077853287,0.010738565,-0.069859944,-0.109692216,0.05644856,-0.06720375,0.08775522,-0.053248268,-0.033558987,0.056239717,-0.08474763,0.0525206,-0.06425275,-0.042075276,0.0063798507,-0.045881774,-0.14466958,-0.10877563,-0.06616516,-0.010843776,-0.009029973,-0.08020787,0.0083818855,0.009980314,0.049679216,0.044948604,-0.025160007,-0.041625455,-0.011533709,-0.036089294,-0.018710157,-0.033692606,0.048683647,-0.07050514,0.08446412,0.043842584,-0.06524242,-0.02309039,-0.0835869,-0.044978887,-0.06068031,-0.07358775,0.026625313,-0.028998734,-0.0424497,-0.042494792,0.0080629755,0.020202372,-0.026157627,0.10893498,-0.056586556,-0.031877585,0.07033221,-0.10449952,-0.088527545,-0.10313487,-0.014453455,0.034332678,-0.08360283,0.043325722,-0.014381256,0.032608327,0.043004274,-0.03494659,0.06565746,0.10613844,0.07905793,-0.051507525,-0.15140067,-0.09968912,0.040664207,0.06501095,-0.062300425,-0.05537272,0.09510392,0.03868804,-0.061970398,-0.0061969655,0.10635567,0.06701781,-0.026387004,0.0026948645,0.0569315,0.06530567,0.000280456,-0.17524835
hg38 STAR 36bp b1000 k100 n200.bed,-0.073146544,-0.03059442,0.02047928,-0.026771856,-0.012948978,-0.09318488,-0.055857483,0.025664335,-0.07715378,-0.026111072,0.12514038,0.14395468,0.12752037,0.11221031,-0.0882494,0.027573073,-0.016279208,-0.1321884,0.023193724,-0.002792637,0.15357114,-0.0020984625,0.012934017,0.13831295,-0.043443717,0.0679065,-0.023500724,0.015928779,0.00046430773,0.004689192,-0.14468037,-0.091732025,-0.072385766,-0.063490406,-0.043104105,-0.084038384,-0.013172699,0.010096722,0.041273832,0.0051147873,-0.015996577,-0.033225685,0.07798008,0.040353715,-0.01446565,-0.06153093,0.054702718,-0.055527158,0.087823,0.014442298,0.044731073,-0.07244631,-0.10072892,-0.057657562,-0.1107508,-0.16715677,0.046562843,0.046688095,-0.06885873,0.045282844,0.057225812,0.06192885,0.07717921,0.015771355,-0.08122402,-0.017363582,0.044591155,-0.056564707,0.03586166,-0.032185204,0.09569189,-0.029729338,-0.043913547,0.0297532,-0.010587178,0.02762595,0.024314793,-0.03064613,-0.008148008,0.104920544,0.09377394,-0.07792034,-0.17345715,-0.061624963,0.02247942,0.081135236,-0.12129749,-0.010345865,0.08584828,0.08136865,-0.062593505,-0.026143571,0.09393812,0.06856728,-0.048876494,-0.020455845,0.022139136,0.1627761,-0.023706889,-0.12829767
hg38 STAR 36bp b20000 k50 n200.bed,-0.09081689,-0.031186437,-0.018380264,0.032491427,-0.01798045,-0.09690663,-0.07008479,0.07605293,-0.018538825,0.009748929,0.12707336,0.07676301,0.13918194,0.1296431,-0.0025707276,0.008878346,-0.048340194,-0.12806848,0.043686736,-0.04493201,0.096660405,-0.042759165,-0.026693745,0.08139962,-0.07520844,0.047487892,-0.042029046,-0.018319508,0.017889718,-0.02233131,-0.1466605,-0.098880045,-0.065935455,-0.025144003,-0.02662887,-0.07733523,0.0056865457,-0.010336141,0.05546172,0.022995953,-0.01385913,-0.022101056,0.00639849,-0.0061882474,-0.016272154,-0.033926234,0.03868061,-0.0641875,0.08435123,0.027438195,-0.035886936,-0.030028068,-0.09156977,-0.031529903,-0.07828217,-0.09764137,0.03250598,-0.01558481,-0.051768366,-0.024412695,0.03429184,0.029507719,0.007835911,0.07196779,-0.061879084,-0.025043448,0.06058724,-0.093746506,-0.078973636,-0.09456144,0.019180968,0.034464855,-0.05606054,0.029571934,-0.016024435,0.013886056,0.03733385,-0.052575294,0.04231646,0.098989174,0.108045,-0.07353182,-0.14763293,-0.06808583,0.04635004,0.0663333,-0.06790736,-0.029008498,0.092028886,0.07065053,-0.051748164,-0.048136953,0.085144036,0.05112178,-0.030432185,-0.00095548946,0.027970422,0.08120734,-0.009189623,-0.15909022
hg38 STAR 36bp b20000 k100 n10.bed,-0.029052526,-0.024038136,-0.047028136,-0.04047105,0.006481064,-0.069975674,-0.07616401,0.06298671,-0.04327842,-0.051987894,0.15149315,0.10340592,0.09866396,0.119392365,0.0019163828,0.021944232,-0.030963186,-0.04187208,0.048177827,-0.018529924,0.07854307,-0.0043817433,-0.035362467,0.06084209,-0.042435165,-0.008169806,-0.018292816,0.028592965,0.036806304,-0.011119961,-0.08518137,-0.073979795,-0.0497593,-0.041936968,-0.019818846,-0.053027745,-0.010392335,0.011821392,0.04293038,-0.0035270983,-0.035818044,0.042693593,-0.006610747,0.015341481,-0.04687817,-0.023279103,0.026696522,-0.034978654,0.058039937,0.003602738,-0.030077273,-0.03326635,-0.05128224,-0.017407,-0.059852995,-0.1494321,0.02938106,-0.02492979,-0.051907785,-0.02207239,0.07500605,0.065658905,0.026809003,0.026034558,-0.038815808,-0.01902323,0.042708255,-0.04115066,-0.023306226,-0.08839666,0.074713975,-0.008564369,-0.033131205,-0.012840063,0.008931471,0.030010045,0.0045674695,-0.04431658,-0.024500422,0.06124551,0.074897654,-0.05442055,-0.0844524,-0.043794725,0.037472654,0.07784378,-0.11139013,-0.023818789,0.09947885,0.052658476,0.004859856,-0.034995902,0.06160132,0.05911439,-0.035145972,-0.018407168,0.008248126,0.06488823,0.022930924,-0.12266469
hg38 STAR 36bp b20000 k36 n100.bed,-0.107560866,-0.040523704,0.005860477,0.015847862,-0.020387499,-0.08596638,-0.07376516,0.057689648,-0.013126279,0.014234743,0.15236033,0.0601543,0.13151917,0.13770123,0.014931549,0.0145990895,-0.07002526,-0.10719702,0.044834208,-0.068472184,0.08048468,-0.0513763,-0.022384623,0.05669566,-0.07240824,0.051722568,-0.050994083,-0.037923336,0.0068282094,-0.050553527,-0.14241646,-0.11563085,-0.06119285,-0.014878193,-0.014874154,-0.07379818,0.0051877084,0.006627243,0.066804305,0.03565177,-0.021055724,-0.029120209,-0.0022049346,-0.025058353,-0.024667375,-0.022259807,0.041808195,-0.07252191,0.08063071,0.05003238,-0.07214095,-0.016922882,-0.08089572,-0.04041008,-0.069815144,-0.08349185,0.03477625,-0.03289362,-0.05510818,-0.0472121,0.023795428,0.028246604,-0.018440062,0.08872843,-0.05684956,-0.04302414,0.06608909,-0.11756058,-0.07353387,-0.10039676,-0.008010275,0.03543048,-0.06417075,0.036179885,-0.010639297,0.030202806,0.034235433,-0.037702277,0.05697541,0.10141007,0.079173625,-0.05480372,-0.14362548,-0.082402326,0.043137982,0.06402874,-0.07165069,-0.05129045,0.10218296,0.045995858,-0.055422053,-0.01743579,0.09801659,0.06820514,-0.019346373,0.013792165,0.053010315,0.065632455,0.01571886,-0.17032705
hg38 Nordin CUT&RUN,-0.29596344,0.04362129,0.17423868,0.16589423,-0.17858297,-0.14314711,0.096443966,0.004649717,-0.095300674,0.19043829,-0.060639683,-0.06554973,0.09859029,-0.02726565,-0.036365416,0.20901069,0.15005086,-0.6319681,-0.23179999,-0.08399927,0.16291566,0.019548802,0.24381639,0.090558074,0.15890038,0.19850172,0.088118784,-0.03765709,0.15685472,-0.26797786,-0.36452422,-0.1962547,-0.28089,-0.031975847,-0.13065332,-0.16068207,0.34480816,-0.107003,0.097600915,-0.20305991,0.10571099,-0.49301,0.1428955,0.23851454,-0.15143675,-0.18341155,0.01831948,-0.18188022,0.26822123,0.41201675,-0.1218024,0.0056525725,-0.3859201,-0.08109642,-0.19371523,-0.16095676,0.027487248,-0.008926087,-0.060420122,-0.04232962,0.117606886,0.01245432,0.062141825,0.26041442,-0.12202408,-0.11401962,-0.047539353,-0.2536892,0.039751075,0.124657236,-0.017739465,-0.26770687,0.17496276,0.17177597,-0.061781485,0.02009168,-0.04726068,0.058771677,0.15835308,0.2948945,0.24241643,-0.235078,-0.5336644,0.08053578,-0.11745305,0.3677903,-0.40780756,0.11911561,0.2922113,-0.045396034,-0.24964787,-0.16794573,0.06666906,0.23873416,0.04520373,0.1984766,0.13694187,0.31445464,0.114871785,-0.29315367
GreyListChIP Bwa-mem2 1k.bed,-0.12968618,-0.022729887,0.036154184,0.09058329,-0.07592032,-0.08034834,-0.027552575,0.042705316,-0.0011639954,0.053944718,0.051160056,0.03776865,0.09670021,0.08374963,0.0035319666,0.060156096,0.0093737105,-0.27832773,0.0017650245,-0.016501412,0.10576964,0.0022296016,0.11947143,0.04504528,0.019683609,0.08269241,0.018936466,-0.012809163,0.045103587,-0.13858652,-0.20022401,-0.16784088,-0.11778244,-0.0021660211,-0.06430423,-0.13277948,0.10537105,-0.033580042,0.07703945,-0.055639476,-0.018286515,-0.19110587,0.050280236,0.0704862,-0.0432403,-0.04800042,0.010642053,-0.10470561,0.15941474,0.17842862,-0.06852425,-0.0377688,-0.15893358,-0.031780437,-0.05041079,-0.12794541,0.032541804,0.0027660108,-0.044886492,-0.09142473,0.034329325,0.011625502,0.019809384,0.09490268,-0.0853295,-0.063409545,0.05203711,-0.13438804,-0.028335122,0.019708024,-0.022884408,-0.0830743,0.0061953077,0.01911392,0.010244837,0.022916045,0.01958502,0.028489329,0.059050813,0.14022858,0.11968581,-0.10358884,-0.22683445,-0.02938622,-0.019022228,0.1611022,-0.13576943,-0.0061890054,0.12535009,0.0071587665,-0.1148704,-0.046888202,0.08658839,0.09879958,0.040530346,0.06174376,0.03349217,0.12863374,0.043290712,-0.16792846
GreyListChIP Bowtie2 1k.bed,-0.14549972,-0.025100488,0.042224023,0.09878635,-0.08019606,-0.08630214,-0.043243848,0.04464564,-0.01061883,0.06444337,0.056244887,0.05115512,0.09787199,0.09252016,0.00476194,0.07089083,0.0022193575,-0.30148324,-0.007966534,-0.021438958,0.09891103,0.0019638902,0.124103606,0.04940551,0.029247079,0.08038906,0.010489244,-0.017252913,0.066807844,-0.15888673,-0.21530323,-0.17143987,-0.13204002,0.003485415,-0.06840494,-0.13735716,0.12000995,-0.039412998,0.07572932,-0.06827555,-0.017569846,-0.20602502,0.049818657,0.08019552,-0.048458826,-0.046610627,0.022479217,-0.10739077,0.1622827,0.20373099,-0.07642775,-0.034592025,-0.16888343,-0.03115218,-0.060207546,-0.14530097,0.028495992,-0.0135919135,-0.05823191,-0.10119178,0.053261314,0.011848598,0.01312644,0.108948775,-0.10225008,-0.0753324,0.05032244,-0.14718454,-0.022521667,0.021139765,-0.026130378,-0.08473274,0.0052462034,0.027907372,0.015438775,0.026885502,-0.003981852,0.030658161,0.068718605,0.14093001,0.13069221,-0.106608376,-0.24207826,-0.030332608,-0.007379777,0.19122174,-0.14827308,-0.009480562,0.1502843,0.0064386763,-0.11478004,-0.06290589,0.08699098,0.10739827,0.03757419,0.065995485,0.042649873,0.14980127,0.056695916,-0.18438745
HS + LM + CM.bed,-0.103237584,-0.047202922,0.09928582,0.0026886314,-0.043109797,-0.05125467,-0.022109957,-0.01774833,-0.057927944,0.01794911,0.07553442,0.12396433,0.109585844,0.087286204,-0.1445066,0.042608898,-0.008788027,-0.18873075,0.0018801121,0.038119182,0.2001221,-0.0030970504,0.014820651,0.1734646,-0.048697636,0.105310574,-0.042847116,0.06658142,-0.002598839,0.059303783,-0.14450599,-0.06768777,-0.10172812,-0.07428648,-0.049897447,-0.10943678,0.059478354,-0.0012905565,-0.022560498,0.0569523,-0.0055928077,-0.08926986,0.11558247,0.023236997,-0.056115743,-0.07004672,0.09781727,-0.03460705,0.10577963,0.040636193,0.06612821,-0.12961425,-0.10453597,-0.06628805,-0.09861163,-0.13551587,0.0061034933,0.09149004,-0.011371253,0.12123719,0.049270734,0.031947307,0.048820727,-0.0018666971,-0.11494624,-0.006850558,0.0703022,-0.08116249,0.09444769,0.015125884,0.07319774,-0.11169539,-0.05569403,0.06503009,-0.014634846,0.046155658,0.03330661,-0.026705693,0.001854579,0.12047383,0.08658115,-0.118105665,-0.2679341,-0.047905613,-0.041735012,0.09665076,-0.16552874,0.0121630635,0.08704182,0.08118207,-0.09697916,0.016007192,0.11979776,0.09566056,-0.042145908,0.023096267,0.017666902,0.20603858,-0.08002772,-0.11694179
