,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
hg38 STAR 36bp b1000 k100 n10.bed,-0.05514308,-0.016432019,-0.0134789795,-0.066632435,0.0035742472,-0.10273188,-0.07331245,0.039800998,-0.07124098,-0.056376047,0.17452554,0.13542756,0.12016859,0.12666206,-0.064076,0.02528894,-0.02432427,-0.09575589,0.019514427,-0.003295261,0.13334715,-0.00032549567,0.011031616,0.08336551,-0.034908995,0.018011898,-0.0351759,0.03367064,0.023982778,-0.00849578,-0.13228655,-0.08660658,-0.03939219,-0.06673934,-0.031586174,-0.08058776,-0.023523625,0.023506707,0.05463457,-0.016810363,-0.027903156,0.003927736,0.05622087,0.047963794,-0.021740727,-0.05456162,0.026734445,-0.06530477,0.094969526,0.013315702,0.02270991,-0.051067464,-0.07779988,-0.04359449,-0.085385196,-0.19999304,0.059969496,0.0140637765,-0.06895267,0.006573264,0.05912422,0.06796433,0.07247003,0.033014774,-0.06609786,-0.0217016,0.02603932,-0.051470436,0.030501701,-0.06713652,0.08891909,-0.026468135,-0.047265336,0.007887846,-0.005528275,0.053576898,0.015127191,-0.013799882,-0.03646702,0.10361641,0.08680998,-0.055985976,-0.14289139,-0.048550956,0.03628237,0.11525158,-0.12542571,-0.024100814,0.09504357,0.07709525,-0.028162958,-0.020616142,0.07740562,0.06341606,-0.04687253,-0.0246175,0.044599183,0.097395316,0.0052310005,-0.12516162
hg38 STAR 36bp b1000 k100 n200.bed,-0.073146544,-0.03059442,0.02047928,-0.026771856,-0.012948978,-0.09318488,-0.055857483,0.025664335,-0.07715378,-0.026111072,0.12514038,0.14395468,0.12752037,0.11221031,-0.0882494,0.027573073,-0.016279208,-0.1321884,0.023193724,-0.002792637,0.15357114,-0.0020984625,0.012934017,0.13831295,-0.043443717,0.0679065,-0.023500724,0.015928779,0.00046430773,0.004689192,-0.14468037,-0.091732025,-0.072385766,-0.063490406,-0.043104105,-0.084038384,-0.013172699,0.010096722,0.041273832,0.0051147873,-0.015996577,-0.033225685,0.07798008,0.040353715,-0.01446565,-0.06153093,0.054702718,-0.055527158,0.087823,0.014442298,0.044731073,-0.07244631,-0.10072892,-0.057657562,-0.1107508,-0.16715677,0.046562843,0.046688095,-0.06885873,0.045282844,0.057225812,0.06192885,0.07717921,0.015771355,-0.08122402,-0.017363582,0.044591155,-0.056564707,0.03586166,-0.032185204,0.09569189,-0.029729338,-0.043913547,0.0297532,-0.010587178,0.02762595,0.024314793,-0.03064613,-0.008148008,0.104920544,0.09377394,-0.07792034,-0.17345715,-0.061624963,0.02247942,0.081135236,-0.12129749,-0.010345865,0.08584828,0.08136865,-0.062593505,-0.026143571,0.09393812,0.06856728,-0.048876494,-0.020455845,0.022139136,0.1627761,-0.023706889,-0.12829767
hg38 STAR 36bp b20000 k50 n200.bed,-0.09081689,-0.031186437,-0.018380264,0.032491427,-0.01798045,-0.09690663,-0.07008479,0.07605293,-0.018538825,0.009748929,0.12707336,0.07676301,0.13918194,0.1296431,-0.0025707276,0.008878346,-0.048340194,-0.12806848,0.043686736,-0.04493201,0.096660405,-0.042759165,-0.026693745,0.08139962,-0.07520844,0.047487892,-0.042029046,-0.018319508,0.017889718,-0.02233131,-0.1466605,-0.098880045,-0.065935455,-0.025144003,-0.02662887,-0.07733523,0.0056865457,-0.010336141,0.05546172,0.022995953,-0.01385913,-0.022101056,0.00639849,-0.0061882474,-0.016272154,-0.033926234,0.03868061,-0.0641875,0.08435123,0.027438195,-0.035886936,-0.030028068,-0.09156977,-0.031529903,-0.07828217,-0.09764137,0.03250598,-0.01558481,-0.051768366,-0.024412695,0.03429184,0.029507719,0.007835911,0.07196779,-0.061879084,-0.025043448,0.06058724,-0.093746506,-0.078973636,-0.09456144,0.019180968,0.034464855,-0.05606054,0.029571934,-0.016024435,0.013886056,0.03733385,-0.052575294,0.04231646,0.098989174,0.108045,-0.07353182,-0.14763293,-0.06808583,0.04635004,0.0663333,-0.06790736,-0.029008498,0.092028886,0.07065053,-0.051748164,-0.048136953,0.085144036,0.05112178,-0.030432185,-0.00095548946,0.027970422,0.08120734,-0.009189623,-0.15909022
hg38 STAR 36bp b20000 k100 n10.bed,-0.029052526,-0.024038136,-0.047028136,-0.04047105,0.006481064,-0.069975674,-0.07616401,0.06298671,-0.04327842,-0.051987894,0.15149315,0.10340592,0.09866396,0.119392365,0.0019163828,0.021944232,-0.030963186,-0.04187208,0.048177827,-0.018529924,0.07854307,-0.0043817433,-0.035362467,0.06084209,-0.042435165,-0.008169806,-0.018292816,0.028592965,0.036806304,-0.011119961,-0.08518137,-0.073979795,-0.0497593,-0.041936968,-0.019818846,-0.053027745,-0.010392335,0.011821392,0.04293038,-0.0035270983,-0.035818044,0.042693593,-0.006610747,0.015341481,-0.04687817,-0.023279103,0.026696522,-0.034978654,0.058039937,0.003602738,-0.030077273,-0.03326635,-0.05128224,-0.017407,-0.059852995,-0.1494321,0.02938106,-0.02492979,-0.051907785,-0.02207239,0.07500605,0.065658905,0.026809003,0.026034558,-0.038815808,-0.01902323,0.042708255,-0.04115066,-0.023306226,-0.08839666,0.074713975,-0.008564369,-0.033131205,-0.012840063,0.008931471,0.030010045,0.0045674695,-0.04431658,-0.024500422,0.06124551,0.074897654,-0.05442055,-0.0844524,-0.043794725,0.037472654,0.07784378,-0.11139013,-0.023818789,0.09947885,0.052658476,0.004859856,-0.034995902,0.06160132,0.05911439,-0.035145972,-0.018407168,0.008248126,0.06488823,0.022930924,-0.12266469
hg38 STAR 36bp b20000 k36 n100.bed,-0.107560866,-0.040523704,0.005860477,0.015847862,-0.020387499,-0.08596638,-0.07376516,0.057689648,-0.013126279,0.014234743,0.15236033,0.0601543,0.13151917,0.13770123,0.014931549,0.0145990895,-0.07002526,-0.10719702,0.044834208,-0.068472184,0.08048468,-0.0513763,-0.022384623,0.05669566,-0.07240824,0.051722568,-0.050994083,-0.037923336,0.0068282094,-0.050553527,-0.14241646,-0.11563085,-0.06119285,-0.014878193,-0.014874154,-0.07379818,0.0051877084,0.006627243,0.066804305,0.03565177,-0.021055724,-0.029120209,-0.0022049346,-0.025058353,-0.024667375,-0.022259807,0.041808195,-0.07252191,0.08063071,0.05003238,-0.07214095,-0.016922882,-0.08089572,-0.04041008,-0.069815144,-0.08349185,0.03477625,-0.03289362,-0.05510818,-0.0472121,0.023795428,0.028246604,-0.018440062,0.08872843,-0.05684956,-0.04302414,0.06608909,-0.11756058,-0.07353387,-0.10039676,-0.008010275,0.03543048,-0.06417075,0.036179885,-0.010639297,0.030202806,0.034235433,-0.037702277,0.05697541,0.10141007,0.079173625,-0.05480372,-0.14362548,-0.082402326,0.043137982,0.06402874,-0.07165069,-0.05129045,0.10218296,0.045995858,-0.055422053,-0.01743579,0.09801659,0.06820514,-0.019346373,0.013792165,0.053010315,0.065632455,0.01571886,-0.17032705
hg38 STAR 36bp b20000 k36 n200.bed,-0.10990113,-0.037194345,0.007576599,0.018115075,-0.024708359,-0.0850514,-0.075753115,0.055430032,-0.019066447,0.0032598493,0.14915624,0.055964153,0.13252954,0.133354,0.011184375,0.01656178,-0.06352768,-0.11528964,0.04719959,-0.05907427,0.08936615,-0.05554329,-0.02463969,0.048216335,-0.074215,0.052095972,-0.06090056,-0.039913584,0.0055519124,-0.046643555,-0.14748928,-0.10980029,-0.06656981,-0.0134132765,-0.012329112,-0.078369975,0.007473195,0.0010682414,0.05587192,0.043598276,-0.0120185595,-0.032457206,-0.0053759157,-0.028103007,-0.023387799,-0.025890196,0.038280778,-0.07688122,0.08489021,0.042683836,-0.060237106,-0.017399503,-0.08534667,-0.04566344,-0.053356588,-0.07846895,0.03578568,-0.032717045,-0.050111596,-0.044541296,0.017904382,0.027120585,-0.020013176,0.09796289,-0.047933366,-0.0406334,0.06958826,-0.10855755,-0.083033115,-0.09689094,-0.012144044,0.030405512,-0.071375564,0.037449677,-0.0142786745,0.028958585,0.03791524,-0.044702422,0.0581908,0.09963425,0.07975326,-0.052738898,-0.14317155,-0.08483257,0.033711687,0.069216795,-0.06295319,-0.04741139,0.09766913,0.045947026,-0.058262475,-0.017390732,0.09910211,0.069507,-0.014252747,0.009534585,0.053023033,0.065909415,0.0026116886,-0.16718894
hg38 STAR 36bp b20000 k50 n100.bed,-0.091985196,-0.031162268,-0.013999944,0.03594695,-0.0135310395,-0.09527688,-0.06521131,0.07301195,-0.023475189,0.0071336324,0.13007392,0.08009289,0.14336,0.1332941,-0.007975679,0.0062158294,-0.04511127,-0.121522136,0.053334977,-0.0466972,0.10961197,-0.050188262,-0.026236624,0.08543102,-0.07434998,0.049011756,-0.047270015,-0.016903026,0.020069221,-0.021445036,-0.14793646,-0.104684845,-0.0687862,-0.021745276,-0.037222005,-0.07248173,0.0022235836,-0.0073293266,0.060045473,0.02338937,-0.022067267,-0.023166938,0.017984618,-0.004788881,-0.019691935,-0.03878109,0.046042286,-0.0537662,0.07802558,0.019381328,-0.046826933,-0.036960814,-0.088258825,-0.032880537,-0.084717534,-0.099927224,0.026080737,-0.008916423,-0.05775629,-0.020685567,0.039561763,0.029141417,0.007368761,0.06622907,-0.06262944,-0.023233233,0.061453626,-0.09473884,-0.07748375,-0.09587953,0.032405924,0.032504246,-0.05393783,0.024996134,-0.0190353,0.0067267315,0.03036069,-0.057430074,0.037680615,0.093995705,0.10756446,-0.07076463,-0.15085474,-0.069599114,0.044024494,0.06450863,-0.07040927,-0.029896403,0.09271682,0.072770745,-0.04734577,-0.047929063,0.094726466,0.049131308,-0.036547862,0.0054724966,0.027418965,0.090824895,-0.00974041,-0.17034103
hg38 STAR 36bp b20000 k100 n100.bed,-0.050218035,-0.036267743,-0.02673932,-0.032198593,0.001841696,-0.08496079,-0.07712676,0.057505876,-0.052095328,-0.030802162,0.1450667,0.12729287,0.11961486,0.12488553,-0.03212749,0.023974467,-0.022764683,-0.09018893,0.05299487,-0.0038290743,0.112104714,-0.005710377,-0.02454264,0.10200632,-0.047308527,0.02323171,-0.012631122,0.024661276,0.027611949,0.003604166,-0.11385971,-0.07539416,-0.06028894,-0.056285698,-0.035118792,-0.059344146,-0.014851828,-0.00074760267,0.04629935,-0.0018868365,-0.032214105,0.016371861,0.032585543,0.018733775,-0.041848216,-0.03471439,0.034732357,-0.048943922,0.0665181,0.0045860247,0.00122349,-0.05825559,-0.07710758,-0.036199793,-0.09805008,-0.15904067,0.028315106,0.0062019983,-0.06392942,0.007231297,0.07076507,0.062755026,0.051126424,0.016159004,-0.058886837,-0.0068580117,0.04750355,-0.04956679,0.0005366867,-0.0702995,0.09003468,-0.017381316,-0.042449333,-0.0015458822,-0.0072266012,0.033119205,0.010546142,-0.05190297,-0.018163083,0.07697092,0.08358868,-0.076400355,-0.12728459,-0.05420701,0.024886625,0.075335026,-0.12119637,-0.018587833,0.09469802,0.0671067,-0.028937249,-0.037415303,0.07184845,0.060309615,-0.03991489,-0.016331078,-0.00023363475,0.102804475,-0.006167615,-0.1303385
hg38 STAR 36bp b1000 k36 n200.bed,-0.11518957,-0.029202402,0.025053997,0.03261474,-0.033672955,-0.0702869,-0.05079685,0.042014442,-0.01943632,0.01147228,0.10065514,0.04786457,0.11310885,0.10448432,0.00108078,0.02819127,-0.041626424,-0.13805875,0.029993199,-0.04667275,0.083553754,-0.036084138,0.004378698,0.052681424,-0.04740484,0.06597337,-0.044914067,-0.039746262,0.0078103277,-0.05752509,-0.13538335,-0.11023638,-0.07269993,-0.0039937873,-0.024709843,-0.07832232,0.02735668,-0.0080847265,0.05670345,0.023774644,-0.0065590134,-0.05908965,0.020511955,-0.0037958904,-0.01953974,-0.041066714,0.030560834,-0.07931977,0.080349185,0.065375976,-0.046479985,-0.021350028,-0.088307455,-0.044563834,-0.058209892,-0.07104077,0.025528066,-0.015065045,-0.047689658,-0.03958574,0.019733528,0.017354203,-0.007782522,0.097963855,-0.0541703,-0.038846195,0.04870219,-0.105079226,-0.061302453,-0.067902945,-0.016626263,0.014878611,-0.05565307,0.039576523,-0.0055342396,0.02275716,0.034138985,-0.025473012,0.04207921,0.10053844,0.0867504,-0.053622775,-0.15530388,-0.063727856,0.024174478,0.07156925,-0.07006911,-0.029728072,0.088910304,0.0319348,-0.06723899,-0.013866917,0.08487286,0.065114126,-0.017687555,0.020722473,0.04932276,0.08056481,-0.0023325882,-0.14088397
hg38 STAR 36bp b10000 k36 n200.bed,-0.12520705,-0.039565798,0.010876541,0.022723796,-0.030016385,-0.08975778,-0.072532035,0.054924686,-0.0148304375,0.010983762,0.14834006,0.05945414,0.15151805,0.14259559,-0.013578663,0.018237883,-0.07359625,-0.12965429,0.052407525,-0.060845952,0.10167247,-0.058588155,-0.020782487,0.05867233,-0.08318248,0.072044864,-0.06721103,-0.044378277,0.004288313,-0.046248592,-0.16151288,-0.11843364,-0.07548514,-0.011014967,-0.019124186,-0.08991925,0.007868782,-0.0022014596,0.06801902,0.035795532,-0.004970052,-0.054065812,0.005100933,-0.023854388,-0.009925206,-0.037707575,0.04064707,-0.08110964,0.094315976,0.06155685,-0.052090604,-0.020525325,-0.09328293,-0.058970857,-0.06376004,-0.07967987,0.033622827,-0.023517545,-0.05245613,-0.04807888,0.014341679,0.021379396,-0.015352715,0.10539043,-0.06082677,-0.04068917,0.0678245,-0.11821412,-0.08042199,-0.092551984,-0.02048976,0.035963707,-0.07619706,0.04414282,-0.009952019,0.032142907,0.04376405,-0.041525133,0.057861537,0.11441021,0.09651225,-0.05812475,-0.16441613,-0.09015934,0.03443468,0.07885083,-0.062062163,-0.046032302,0.10195962,0.054360937,-0.06784869,-0.012747912,0.113548495,0.06552922,-0.017065024,0.004396031,0.05688755,0.075831614,-0.008070474,-0.165209
