,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
hg38 STAR 36bp List.bed,-0.12039767,-0.042959347,0.021467285,0.027572019,-0.025095776,-0.09388397,-0.07371715,0.052327603,-0.015970042,0.011933773,0.14971933,0.05619596,0.14570701,0.13348043,0.0077853287,0.010738565,-0.069859944,-0.109692216,0.05644856,-0.06720375,0.08775522,-0.053248268,-0.033558987,0.056239717,-0.08474763,0.0525206,-0.06425275,-0.042075276,0.0063798507,-0.045881774,-0.14466958,-0.10877563,-0.06616516,-0.010843776,-0.009029973,-0.08020787,0.0083818855,0.009980314,0.049679216,0.044948604,-0.025160007,-0.041625455,-0.011533709,-0.036089294,-0.018710157,-0.033692606,0.048683647,-0.07050514,0.08446412,0.043842584,-0.06524242,-0.02309039,-0.0835869,-0.044978887,-0.06068031,-0.07358775,0.026625313,-0.028998734,-0.0424497,-0.042494792,0.0080629755,0.020202372,-0.026157627,0.10893498,-0.056586556,-0.031877585,0.07033221,-0.10449952,-0.088527545,-0.10313487,-0.014453455,0.034332678,-0.08360283,0.043325722,-0.014381256,0.032608327,0.043004274,-0.03494659,0.06565746,0.10613844,0.07905793,-0.051507525,-0.15140067,-0.09968912,0.040664207,0.06501095,-0.062300425,-0.05537272,0.09510392,0.03868804,-0.061970398,-0.0061969655,0.10635567,0.06701781,-0.026387004,0.0026948645,0.0569315,0.06530567,0.000280456,-0.17524835
hg38 Bwa-sampe 101bp List.bed,-0.06512437,-0.04598442,0.09063732,-0.041582584,0.020579448,0.018022606,-0.10819246,-0.038752362,-0.04470958,0.020285217,0.13620146,0.028267672,0.050701812,0.106926106,0.098034844,0.03992414,-0.12997276,0.026420616,0.04220888,-0.07919833,-0.032458108,-0.03772268,-0.056980696,-0.042298686,-0.089971766,0.025028244,-0.03959711,-0.032244783,-0.070778385,-0.056987956,-0.040574163,-0.050250035,-0.03791265,0.017275004,0.05622046,-0.029340027,0.0059159906,0.06611522,-0.0045706145,0.092464164,-0.023259645,-0.049234245,-0.109594494,-0.12978545,-0.0866639,-0.030012274,0.023432871,0.017516078,0.007613745,0.03438025,-0.059729956,0.040422827,-0.03337224,-0.033668585,-0.0026357519,0.02948082,-0.022348318,-0.07530505,-0.054447193,-0.024969913,0.028310768,0.026409335,-0.1042949,0.056842,-0.010578227,-0.054499198,0.012261025,-0.044450402,-0.013374994,-0.023444168,-0.06624179,-0.07103303,-0.100399844,0.029070918,0.06890284,0.09191707,-0.05533294,-0.008019812,0.044678103,0.013299261,-0.06678983,-0.046043046,-0.05858723,-0.08943852,-0.028462425,0.07564618,-0.052168004,-0.0813879,0.07345621,-0.10253624,0.026927715,0.09623288,0.047202166,0.14075819,-0.07404715,0.0460326,0.034391116,-0.0049849246,0.061522555,-0.07165175
hg38 Bowtie2 101bp List.bed,-0.082465254,-0.04294848,0.088428624,-0.05088652,0.012597702,-0.015195229,-0.12076328,-0.02723987,-0.054995023,0.021446727,0.16227762,0.022402138,0.0625471,0.1178099,0.093375534,0.047847778,-0.12793782,-0.0063882093,0.036839392,-0.074236274,-0.029943638,-0.047554128,-0.023313526,-0.041793507,-0.09315395,0.039539255,-0.028993003,-0.039324533,-0.06769037,-0.071199186,-0.07446511,-0.067207545,-0.03763782,0.010966398,0.030093543,-0.035314564,0.019501211,0.070227385,0.010468041,0.0765751,-0.023856578,-0.06411666,-0.09894049,-0.12323109,-0.08722222,-0.02986569,0.019516757,-0.02300739,0.04500223,0.06346828,-0.059804782,0.038321767,-0.0589648,-0.039603632,-0.0006845241,-0.011623495,-0.010895735,-0.080351666,-0.07328587,-0.04752619,0.051721018,0.03408881,-0.10325282,0.07072634,-0.023282059,-0.075518414,0.021668456,-0.063686475,-0.006175747,-0.03676814,-0.06115167,-0.06623957,-0.08971199,0.02214294,0.066216625,0.09118492,-0.03658918,-0.00052363594,0.037353925,0.04790533,-0.052743807,-0.04197931,-0.090347804,-0.08659443,-0.016576068,0.09470382,-0.070229985,-0.07706081,0.102846704,-0.090358816,0.017740835,0.09288592,0.05535748,0.14044252,-0.07165369,0.060305513,0.03771047,0.0068695326,0.07666314,-0.078859344
hg38 Bwa-mem2 36bp List.bed,-0.06544987,-0.049193714,0.0076465835,-0.01926999,0.00038038,-0.06297207,-0.08778753,0.02369504,-0.058172632,0.0035962604,0.14430279,0.10393226,0.123880185,0.119736955,-0.023914613,0.029799528,-0.02711759,-0.088942945,0.048927855,-0.01680824,0.08950354,-0.028853048,-0.01611265,0.086078234,-0.06895997,0.051737867,-0.025032101,0.008582973,0.004321068,-0.010479689,-0.11950413,-0.087810256,-0.08551179,-0.032653026,-0.02404696,-0.077889584,-0.0007991996,0.017760588,0.035355333,0.021152578,-0.0376289,-0.04640194,0.008365431,-0.009049798,-0.041844472,-0.041089866,0.04234389,-0.05374858,0.085740395,0.025825594,-0.024025062,-0.033352423,-0.09110406,-0.052944567,-0.08532337,-0.112820156,0.023952259,0.0039911945,-0.040648147,-0.00024427183,0.06050974,0.05200154,0.033230375,0.036291968,-0.065228924,-0.027374865,0.050685927,-0.060486462,-0.007574581,-0.04608168,0.04888877,-0.045497358,-0.06243048,0.022826955,0.0058976477,0.037368815,-0.0026773182,-0.033512328,0.020357585,0.08971799,0.06973615,-0.08939571,-0.13126114,-0.060657892,0.015918879,0.059731368,-0.11359708,-0.02923123,0.09865632,0.0352125,-0.035715226,-0.007773938,0.07984432,0.08092518,-0.04147591,-0.0016842772,0.024021065,0.10839625,-0.0054465886,-0.14206451
hg38 STAR 101bp List.bed,-0.08086734,-0.041363157,0.08307058,-0.052231092,0.014313379,-0.0012964435,-0.116475865,-0.0380797,-0.062160652,0.0176649,0.14532135,0.025702264,0.060766906,0.1143738,0.09484042,0.054768063,-0.1274239,0.012835138,0.038262527,-0.074337326,-0.035631392,-0.044909026,-0.045690626,-0.04546671,-0.096220836,0.033477288,-0.032024052,-0.031090826,-0.07815174,-0.07467291,-0.060569886,-0.05342164,-0.030271381,0.0068757534,0.045432232,-0.033997588,0.01583029,0.068294555,0.0078028413,0.081330575,-0.0267892,-0.054740246,-0.10806925,-0.1279455,-0.09432957,-0.028333139,0.029164664,-0.0031597528,0.027999286,0.05954209,-0.05249087,0.04318668,-0.044295523,-0.038938507,-0.0037055428,0.008270863,-0.01029505,-0.08571312,-0.07156198,-0.04103465,0.048956033,0.033419237,-0.106289595,0.062983446,-0.024143636,-0.070685595,0.015570504,-0.059518337,-0.007847008,-0.033972446,-0.063772164,-0.07166569,-0.087562285,0.029025739,0.0617451,0.091952674,-0.048781782,-0.00090135325,0.037395213,0.04274493,-0.060105618,-0.04300856,-0.07257077,-0.08948331,-0.024843954,0.08757397,-0.06493636,-0.07032013,0.09934453,-0.10028461,0.024360657,0.09512814,0.05627505,0.14626774,-0.08282436,0.05420601,0.04194798,-0.004999638,0.07332086,-0.070609905
hg38 Kundaje Unified.bed,-0.23167035,-0.086492375,-0.057446875,0.44484615,0.030060126,-0.06405485,0.14391631,0.23551556,0.015088748,0.13688886,0.07563153,0.2215138,0.3049376,0.2672927,0.04216686,-0.07399992,-0.14164743,0.037420087,0.11625311,-0.089479566,0.37025908,-0.12620208,-0.28883344,0.38950598,-0.13485207,0.13626684,-0.20615394,-0.112432554,-0.10803367,-0.09862759,-0.18421699,-0.2944242,-0.20123452,0.09339116,-0.06796245,-0.047481544,-0.016561855,-0.13041385,0.0076869233,0.2027447,-0.083351985,-0.0878857,-0.11177482,-0.17601414,0.007650245,-0.12590541,0.27449676,0.092422925,-0.08122621,-0.1848765,-0.2342587,-0.1994835,-0.23529331,-0.024672585,-0.20184045,0.22255985,-0.038279776,0.09796612,0.12796943,0.05420513,-0.12837315,-0.08739262,-0.09913254,0.21372259,-0.114774525,0.15058184,0.35509595,-0.1586264,-0.513722,-0.3171095,0.0067903954,0.27197424,-0.19820188,0.08035078,0.051791146,-0.12922533,0.086769156,-0.11234754,0.3975878,-0.04729957,0.32121605,-0.25060505,-0.16362058,-0.20889345,0.0997706,-0.14107169,0.19279896,-0.14531983,-0.049698755,0.17086382,-0.09935308,-0.099817164,0.2561656,-0.10486967,-0.17022811,-0.027515542,-0.043173045,0.35096377,-0.056809876,-0.4069783
hg38 Bwa-mem2 101bp List.bed,-0.08507158,-0.035717547,0.07245318,-0.04471148,0.013824444,-0.013027391,-0.12214172,-0.024793614,-0.055351224,0.0172526,0.15445139,0.021289255,0.061737806,0.117548786,0.09206817,0.05010677,-0.12608945,-0.0069814282,0.0347311,-0.07165073,-0.027788872,-0.04079267,-0.025646945,-0.04148772,-0.084555864,0.031673357,-0.02390697,-0.032320976,-0.058115657,-0.07459237,-0.073364146,-0.06006009,-0.03494526,0.002029336,0.030325174,-0.0343661,0.019622305,0.061543774,0.015936904,0.07058747,-0.030642927,-0.05391869,-0.103716314,-0.11454887,-0.08817308,-0.03502579,0.019688189,-0.02100615,0.044247594,0.06623165,-0.053977363,0.033611055,-0.057273224,-0.033470597,-0.0006310045,-0.009517709,-0.010925339,-0.08042798,-0.06609299,-0.044092864,0.054392755,0.030760035,-0.09842085,0.067507155,-0.021409577,-0.07696085,0.022836737,-0.059591774,-0.0058155074,-0.0330578,-0.057744067,-0.06741943,-0.08354343,0.02351967,0.060135752,0.08660226,-0.039225437,-0.0014016465,0.038074583,0.043425083,-0.044724494,-0.04510231,-0.08156012,-0.078783,-0.014507891,0.09852112,-0.071468994,-0.07275543,0.10045703,-0.082890406,0.01921804,0.08060824,0.054966886,0.13705674,-0.06749742,0.05787624,0.040517535,0.0072172577,0.07440335,-0.07433379
hg38 Bowtie2 36bp List.bed,-0.08017213,-0.044812128,0.0046858415,0.0013856516,-0.00444605,-0.07290801,-0.08800273,0.042883985,-0.056532398,-0.0082791755,0.14507617,0.09479986,0.14093089,0.12524377,-0.02965809,0.021080798,-0.029236274,-0.11127032,0.0476206,-0.0145887965,0.101512276,-0.025153771,-0.0127739115,0.08451455,-0.06901644,0.04936997,-0.024777336,-7.426653e-05,0.0029218125,-0.009684199,-0.14244509,-0.1001519,-0.092964165,-0.037990134,-0.023486763,-0.08374679,0.0030467177,0.00749726,0.03697974,0.015171184,-0.031033067,-0.043471646,0.016969196,-0.009013048,-0.03753162,-0.046521373,0.042880062,-0.057389528,0.09141009,0.035643578,-0.036122374,-0.046434317,-0.09166021,-0.043654986,-0.09069261,-0.118087426,0.024356188,0.0035243595,-0.042559795,-0.011182956,0.048038427,0.044904277,0.030659286,0.041154165,-0.06445931,-0.022687975,0.049754538,-0.08583684,-0.029557046,-0.053338557,0.04658736,-0.024737837,-0.06361688,0.027168801,0.0014685541,0.030113442,0.011196118,-0.038794406,0.027714767,0.09230092,0.08234565,-0.08560313,-0.14051948,-0.06444723,0.01480419,0.05697544,-0.1095984,-0.021948457,0.10476086,0.04824149,-0.046998993,-0.015353831,0.08646444,0.079258405,-0.045952782,-0.005417191,0.036948718,0.11766202,-0.012961824,-0.15201871
hg38 Generated List.bed,-0.07655387,-0.049276955,0.051236358,0.009454302,0.0021360265,-0.043657687,-0.05953873,0.010506331,-0.02072907,0.0031765352,0.10717358,0.026474884,0.09546758,0.10751305,0.02524122,0.028864717,-0.06750857,-0.06491011,0.02608423,-0.05984573,0.02430135,-0.03966284,-0.010264885,0.0049080933,-0.06228174,0.043991104,-0.0343607,-0.034116156,-0.031228907,-0.06481221,-0.083532296,-0.082029924,-0.053090546,0.011257502,0.023205757,-0.066507325,0.018229865,0.025651392,0.030015297,0.038862806,-0.008720134,-0.06853592,-0.034549356,-0.06605911,-0.05642632,-0.039999526,0.018493764,-0.03359695,0.055567324,0.06378986,-0.054005966,0.008952873,-0.07662928,-0.03702532,-0.014927192,-0.015991906,-0.008569937,-0.031560846,-0.042921588,-0.03844816,0.021361679,0.026751606,-0.042766865,0.06708881,-0.020060299,-0.05746542,0.018926725,-0.058368076,-0.053066723,-0.03604151,-0.015400306,-0.008561801,-0.06365585,0.01452569,0.019715132,0.058381464,-0.00526812,-0.012088266,0.04638507,0.0584672,-0.0049298014,-0.05289295,-0.10170284,-0.06732143,-0.0036129374,0.04460092,-0.05870556,-0.043792136,0.08612643,-0.024427468,-0.014943237,0.042410176,0.061927795,0.0791408,-0.04050655,0.027643565,0.059311643,0.03367794,0.029070243,-0.11169431
hg38 GitHub List.bed,-0.13797246,-0.034366198,0.07202832,0.06585558,-0.047885273,-0.085341804,-0.042256635,0.042702597,-0.037276413,0.040592458,0.1351402,0.016064035,0.1421829,0.14312851,-0.010310286,0.01039887,-0.08373662,-0.17144501,0.04567141,-0.070888,0.09650184,-0.07011516,0.011746186,0.03977587,-0.08197412,0.09319719,-0.058245007,-0.063715585,-0.037161905,-0.05478057,-0.16598138,-0.11362599,-0.07980508,0.00525686,-0.017120741,-0.10717021,0.049638122,-0.0003787385,0.047450844,0.03558953,-0.023844423,-0.11054176,0.0029206655,-0.0271643,-0.013793132,-0.074751556,0.04442173,-0.08656492,0.099312924,0.09667379,-0.06643765,-0.026093174,-0.10068872,-0.03765982,-0.06339691,-0.065953515,0.011838088,-0.011450094,-0.02171918,-0.032689966,-0.005027006,0.026761591,-0.035771344,0.11289797,-0.064611085,-0.053386234,0.06918967,-0.118398175,-0.088186495,-0.057802446,-0.046591237,0.034824193,-0.10125374,0.07772639,-0.0116923405,0.048964664,0.047966767,-0.005817693,0.10395531,0.13210179,0.06647118,-0.072508544,-0.16118874,-0.10191465,-0.0074429745,0.05349533,-0.062444597,-0.066013105,0.10964301,0.045331255,-0.080880366,0.020160744,0.13440895,0.08520116,-0.03375972,0.00833765,0.09630998,0.06150861,-0.011329386,-0.19149764
