File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF382YJO	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BHU	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										RXRA-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF527WLW/, /files/ENCFF914DPO/, /files/ENCFF356LFX/, /files/ENCFF875HPK/, /files/ENCFF714SQH/	347763	ENCODE Processing Pipeline	077d09eb4aeba266a762d5170b740db2		https://www.encodeproject.org/files/ENCFF382YJO/@@download/ENCFF382YJO.bed.gz				released	s3://encode-public/2021/01/01/57ed3aa7-31e6-48ed-8980-5773cd56dd33/ENCFF382YJO.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/01/01/57ed3aa7-31e6-48ed-8980-5773cd56dd33/ENCFF382YJO.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read depth, low read length, mild to moderate bottlenecking, borderline replicate concordance		
ENCFF536DJU	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EDP	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										ARID3A-human	DNA						2012-05-14	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF900KAB/, /files/ENCFF772ZHK/, /files/ENCFF356LFX/, /files/ENCFF432MNS/	404635	ENCODE Processing Pipeline	f045c4efc21c1584e18d91942ab5f8d3		https://www.encodeproject.org/files/ENCFF536DJU/@@download/ENCFF536DJU.bed.gz				released	s3://encode-public/2020/12/12/3fe85d08-a0eb-43f0-830b-2bb9d4f21422/ENCFF536DJU.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/12/3fe85d08-a0eb-43f0-830b-2bb9d4f21422/ENCFF536DJU.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read depth, low read length, improper control_type of control experiment		
ENCFF044NSI	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EDS	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										MAX-human	DNA						2012-05-14	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF881DZX/, /files/ENCFF772ZHK/, /files/ENCFF356LFX/, /files/ENCFF008WTO/	267621	ENCODE Processing Pipeline	2b285525c23ace33a82b082f2ca7d2af		https://www.encodeproject.org/files/ENCFF044NSI/@@download/ENCFF044NSI.bed.gz				released	s3://encode-public/2020/12/10/4dbfa90e-b0e8-4d40-ba4b-cc04331dea80/ENCFF044NSI.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/10/4dbfa90e-b0e8-4d40-ba4b-cc04331dea80/ENCFF044NSI.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read depth, low read length, improper control_type of control experiment, borderline replicate concordance		
ENCFF250DNU	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EDO	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										CEBPZ-human	DNA						2012-05-14	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF772ZHK/, /files/ENCFF356LFX/, /files/ENCFF092FDP/, /files/ENCFF566WMZ/	9889	ENCODE Processing Pipeline	d2db92f6cc5bf0f18d41fa3c598c0a6e		https://www.encodeproject.org/files/ENCFF250DNU/@@download/ENCFF250DNU.bed.gz				released	s3://encode-public/2020/12/11/c6d0f718-ab1a-452f-82d2-0feac528bc59/ENCFF250DNU.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/11/c6d0f718-ab1a-452f-82d2-0feac528bc59/ENCFF250DNU.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length, improper control_type of control experiment		
ENCFF562YSV	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EEI	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										JUND-human	DNA						2011-10-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF300RQU/, /files/ENCFF772ZHK/, /files/ENCFF381KIQ/, /files/ENCFF356LFX/	727603	ENCODE Processing Pipeline	e73266496359531529a6e99c9a162a72		https://www.encodeproject.org/files/ENCFF562YSV/@@download/ENCFF562YSV.bed.gz				released	s3://encode-public/2021/01/01/122a5d42-4e49-40c3-8bb3-59105fa9f426/ENCFF562YSV.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/01/01/122a5d42-4e49-40c3-8bb3-59105fa9f426/ENCFF562YSV.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read depth, low read length, improper control_type of control experiment		
ENCFF636GBV	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BNA	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										ZBTB33-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF010YAD/, /files/ENCFF400GLJ/, /files/ENCFF459YUC/, /files/ENCFF356LFX/, /files/ENCFF285GKD/	42655	ENCODE Processing Pipeline	c41e25f8bbd5b1fae9d8b04657728c20		https://www.encodeproject.org/files/ENCFF636GBV/@@download/ENCFF636GBV.bed.gz				released	s3://encode-public/2021/01/05/fb3d2fd0-2eba-498d-a255-c9ac9e7eaa09/ENCFF636GBV.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/01/05/fb3d2fd0-2eba-498d-a255-c9ac9e7eaa09/ENCFF636GBV.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read depth, low read length, mild to moderate bottlenecking, moderate library complexity	insufficient read depth	
ENCFF205OKL	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000AMA	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										CTCF-human	DNA						2011-02-10	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF129CNS/, /files/ENCFF856IEI/, /files/ENCFF520WEM/, /files/ENCFF245IFK/, /files/ENCFF539MTH/	730421	ENCODE Processing Pipeline	e8a6113a4bcdd9a73d5a9c0f6ada58d8		https://www.encodeproject.org/files/ENCFF205OKL/@@download/ENCFF205OKL.bed.gz				released	s3://encode-public/2020/09/26/53a3b10c-3344-4105-b1b9-2c0f39171e9e/ENCFF205OKL.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/09/26/53a3b10c-3344-4105-b1b9-2c0f39171e9e/ENCFF205OKL.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	low read depth, low read length, inconsistent platforms, borderline replicate concordance		extremely low read depth
ENCFF130LVT	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR488EES	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										NFE2L2-human	DNA						2014-07-07	ENCODE			150-350	1, 2	1_1, 2_1							/files/ENCFF958XVX/, /files/ENCFF356LFX/, /files/ENCFF548TWG/, /files/ENCFF275ONH/, /files/ENCFF357ZZF/	173863	ENCODE Processing Pipeline	3741b159e14168029e42b3d2d7e35486		https://www.encodeproject.org/files/ENCFF130LVT/@@download/ENCFF130LVT.bed.gz				released	s3://encode-public/2020/12/01/5f4811e3-678e-4a73-afd4-6627d5a32946/ENCFF130LVT.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/01/5f4811e3-678e-4a73-afd4-6627d5a32946/ENCFF130LVT.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length		
ENCFF652ELW	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EEF	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										USF2-human	DNA						2011-10-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF787PWA/, /files/ENCFF356LFX/, /files/ENCFF772ZHK/, /files/ENCFF800WEH/	145554	ENCODE Processing Pipeline	3faf4a3f841372df7e9cd763d30d4e06		https://www.encodeproject.org/files/ENCFF652ELW/@@download/ENCFF652ELW.bed.gz				released	s3://encode-public/2020/12/27/4aab29c5-290d-44ee-a1a4-9055b5759bf9/ENCFF652ELW.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/27/4aab29c5-290d-44ee-a1a4-9055b5759bf9/ENCFF652ELW.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read depth, low read length		
ENCFF759YCY	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BNI	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										FOXA2-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF285GKD/, /files/ENCFF459YUC/, /files/ENCFF329ZAR/, /files/ENCFF993LBR/, /files/ENCFF356LFX/	825632	ENCODE Processing Pipeline	58b0d0162d0dd37b67d3ffda0ce6ae75		https://www.encodeproject.org/files/ENCFF759YCY/@@download/ENCFF759YCY.bed.gz				released	s3://encode-public/2020/12/26/64d9e757-2891-45ed-b3ff-a4e5caf05c71/ENCFF759YCY.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/26/64d9e757-2891-45ed-b3ff-a4e5caf05c71/ENCFF759YCY.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length, mild to moderate bottlenecking	severe bottlenecking, poor library complexity, insufficient read depth, insufficient replicate concordance	
