#plotCorrelation --outFileCorMatrix
	'PBX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_Aligned.sortedByCoord.out.autosomes.bam'	'HSF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_Aligned.sortedByCoord.out.autosomes.bam'
'PBX3-human_Aligned.sortedByCoord.out.autosomes.bam'	1.0000	0.2426	0.0771	0.1196	0.1143	0.2365	0.1140	0.1168	0.1096	0.1493	0.1911	0.3075	0.2240	0.1767	0.2178	0.1337	0.1979	0.1657	0.1925	0.1200	0.1386	0.1444	0.1517	0.1368	0.1333	0.1427	0.1448	0.1386	0.1402	0.1388	0.4589	0.1739	0.2138	0.2863	0.1906	0.1672	0.1447	0.1564	0.3328	0.1616	0.7451	0.1096
'YY1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2426	1.0000	0.5414	0.5333	0.5398	0.6029	0.6286	0.5807	0.5628	0.5534	0.5183	0.5258	0.6211	0.4624	0.4803	0.5327	0.5656	0.6004	0.6756	0.4461	0.4614	0.5197	0.5265	0.4672	0.4688	0.5204	0.4949	0.4778	0.4900	0.4837	0.6231	0.6739	0.6281	0.6068	0.6207	0.6117	0.5593	0.6149	0.6259	0.5897	0.5050	0.3586
'RUNX3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.0771	0.5414	1.0000	0.6749	0.8450	0.7688	0.7955	0.7851	0.7255	0.4331	0.3335	0.4036	0.4400	0.3464	0.3255	0.6830	0.6189	0.6300	0.6697	0.3778	0.2882	0.3652	0.4217	0.3793	0.3670	0.4135	0.3671	0.3575	0.3752	0.3469	0.5068	0.6839	0.6250	0.5125	0.5536	0.6004	0.5425	0.5557	0.5354	0.5318	0.2970	0.1177
'EBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1196	0.5333	0.6749	1.0000	0.6423	0.6582	0.6982	0.6477	0.6020	0.5069	0.5744	0.5752	0.6015	0.5290	0.4884	0.7057	0.6874	0.6656	0.6873	0.5474	0.5523	0.6137	0.6549	0.6058	0.5823	0.6292	0.6258	0.6061	0.6103	0.5808	0.6415	0.7212	0.7043	0.6360	0.6808	0.7321	0.7193	0.7285	0.7147	0.7276	0.4514	0.3712
'NFIC-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1143	0.5398	0.8450	0.6423	1.0000	0.9005	0.8367	0.9112	0.8402	0.5407	0.3638	0.4275	0.4244	0.3878	0.3868	0.7491	0.7216	0.7528	0.7560	0.5217	0.4016	0.4402	0.4990	0.5169	0.5295	0.5559	0.4574	0.4663	0.5059	0.4910	0.5668	0.7223	0.7257	0.6633	0.6009	0.6666	0.6108	0.5914	0.5672	0.5551	0.3386	0.1357
'MEF2A-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2365	0.6029	0.7688	0.6582	0.9005	1.0000	0.8271	0.9070	0.8296	0.6386	0.5062	0.5543	0.5588	0.5094	0.5031	0.7831	0.7609	0.8259	0.8468	0.6501	0.5678	0.5867	0.6303	0.6454	0.6746	0.6974	0.5882	0.6041	0.6492	0.6478	0.7043	0.8052	0.8638	0.8043	0.7156	0.7740	0.7073	0.6975	0.6985	0.6696	0.5113	0.2977
'STAT5A-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1140	0.6286	0.7955	0.6982	0.8367	0.8271	1.0000	0.8557	0.8967	0.5972	0.5288	0.5544	0.6030	0.5279	0.4928	0.7333	0.8140	0.8083	0.8347	0.5799	0.4981	0.5842	0.6315	0.6106	0.5871	0.6345	0.5972	0.5752	0.6003	0.5638	0.6790	0.8365	0.7743	0.7247	0.7538	0.7493	0.7070	0.7087	0.6984	0.6753	0.4269	0.2460
'ATF2-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1168	0.5807	0.7851	0.6477	0.9112	0.9070	0.8557	1.0000	0.8803	0.5982	0.4262	0.4811	0.4885	0.4460	0.4440	0.7492	0.7755	0.7902	0.8107	0.5889	0.4757	0.5179	0.5619	0.5820	0.6004	0.6294	0.5233	0.5312	0.5761	0.5660	0.6175	0.7781	0.7656	0.7418	0.6903	0.7262	0.6523	0.6418	0.6234	0.6101	0.3800	0.1974
'NFATC1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1096	0.5628	0.7255	0.6020	0.8402	0.8296	0.8967	0.8803	1.0000	0.5739	0.4373	0.4893	0.5043	0.4450	0.4380	0.6789	0.8070	0.7638	0.7902	0.5541	0.4557	0.5173	0.5583	0.5680	0.5666	0.5999	0.5247	0.5190	0.5572	0.5347	0.6087	0.7863	0.7240	0.7117	0.7065	0.7006	0.6276	0.6201	0.6131	0.5877	0.3714	0.1880
'SIX5-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1493	0.5534	0.4331	0.5069	0.5407	0.6386	0.5972	0.5982	0.5739	1.0000	0.5982	0.5456	0.6123	0.5410	0.5346	0.6302	0.6393	0.7399	0.8250	0.6665	0.6558	0.6665	0.6832	0.6985	0.7121	0.7420	0.6812	0.6885	0.7058	0.7385	0.6586	0.6786	0.7139	0.7355	0.6696	0.6973	0.7020	0.7193	0.6881	0.6477	0.4721	0.4150
'USF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1911	0.5183	0.3335	0.5744	0.3638	0.5062	0.5288	0.4262	0.4373	0.5982	1.0000	0.7798	0.8460	0.6997	0.6937	0.6507	0.6856	0.6531	0.6681	0.6909	0.8633	0.8960	0.8909	0.8034	0.7688	0.8271	0.8634	0.8627	0.8357	0.8339	0.7929	0.7482	0.7780	0.7835	0.8106	0.8349	0.8228	0.8342	0.8731	0.8618	0.6730	0.7807
'TCF3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3075	0.5258	0.4036	0.5752	0.4275	0.5543	0.5544	0.4811	0.4893	0.5456	0.7798	1.0000	0.7827	0.6251	0.6190	0.6420	0.6878	0.5837	0.6621	0.6017	0.7615	0.7961	0.7884	0.6899	0.6759	0.7303	0.7402	0.7468	0.7308	0.7342	0.7645	0.7577	0.7522	0.7405	0.7960	0.8023	0.7471	0.7671	0.8271	0.8403	0.6865	0.7042
'ELF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2240	0.6211	0.4400	0.6015	0.4244	0.5588	0.6030	0.4885	0.5043	0.6123	0.8460	0.7827	1.0000	0.6576	0.6564	0.6114	0.6819	0.6198	0.7241	0.6006	0.7800	0.8224	0.8081	0.6876	0.6740	0.7424	0.7576	0.7582	0.7362	0.7472	0.8072	0.8139	0.7807	0.7670	0.8276	0.8134	0.7536	0.8242	0.8615	0.8497	0.7007	0.7586
'CTCF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1767	0.4624	0.3464	0.5290	0.3878	0.5094	0.5279	0.4460	0.4450	0.5410	0.6997	0.6251	0.6576	1.0000	0.5755	0.6047	0.6144	0.6911	0.6470	0.6633	0.7028	0.7438	0.7574	0.7468	0.7184	0.7493	0.7556	0.7509	0.7493	0.7262	0.6875	0.6519	0.6943	0.6966	0.6950	0.6989	0.7502	0.7256	0.7280	0.7070	0.5321	0.5250
