#plotCorrelation --outFileCorMatrix
	'HSF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_Aligned.sortedByCoord.out.autosomes.bam'
'HSF1-human_Aligned.sortedByCoord.out.autosomes.bam'	1.0000	0.8222	0.8341	0.8419	0.5100	0.5372	0.5841	0.6505	0.6396	0.6352	0.5735	0.5629	0.5877	0.5253	0.5742	0.5645	0.5058	0.7044	0.6737	0.7120	0.1546	0.3283	0.3042	0.3063	0.2946	0.2606	0.2596	0.3183	0.2328	0.4289	0.4480	0.3864	0.3630	0.3988	0.3954	0.3771	0.3870	0.4255	0.4143	0.3714	0.4069	0.4694
'CEBPZ-human_Aligned.sortedByCoord.out.autosomes.bam'	0.8222	1.0000	0.8325	0.8306	0.5966	0.6262	0.6678	0.7184	0.7166	0.7169	0.6450	0.6344	0.6852	0.6181	0.6719	0.6681	0.6226	0.7589	0.7498	0.7712	0.2790	0.4584	0.4403	0.4424	0.4168	0.3916	0.3802	0.4264	0.3480	0.5501	0.5706	0.5101	0.4885	0.5183	0.5164	0.5019	0.5171	0.5275	0.5192	0.4746	0.5121	0.5687
'SREBF2-human_Aligned.sortedByCoord.out.autosomes.bam'	0.8341	0.8325	1.0000	0.8389	0.5717	0.6043	0.6465	0.6950	0.6952	0.6925	0.6236	0.6121	0.6646	0.5936	0.6455	0.6387	0.5939	0.7560	0.7366	0.7684	0.2519	0.4292	0.4124	0.4119	0.3870	0.3630	0.3587	0.3974	0.3183	0.5220	0.5420	0.4785	0.4572	0.4921	0.4886	0.4742	0.4858	0.5022	0.4908	0.4500	0.4893	0.5540
'SREBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.8419	0.8306	0.8389	1.0000	0.5580	0.5870	0.6298	0.6867	0.6822	0.6783	0.6143	0.6032	0.6447	0.5779	0.6265	0.6203	0.5717	0.7413	0.7192	0.7541	0.2314	0.4066	0.3853	0.3853	0.3674	0.3396	0.3337	0.3847	0.3031	0.5004	0.5189	0.4576	0.4355	0.4701	0.4669	0.4514	0.4623	0.4852	0.4759	0.4322	0.4645	0.5345
'NFATC1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5100	0.5966	0.5717	0.5580	1.0000	0.7637	0.7598	0.7861	0.7837	0.7960	0.7688	0.7736	0.7506	0.8222	0.8028	0.8589	0.7932	0.6668	0.7292	0.7121	0.6348	0.7610	0.7380	0.7315	0.7385	0.7153	0.6615	0.7196	0.7103	0.7889	0.8026	0.8077	0.7861	0.7648	0.7716	0.7728	0.7970	0.8022	0.7911	0.7149	0.6721	0.6963
'RXRA-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5372	0.6262	0.6043	0.5870	0.7637	1.0000	0.7762	0.7830	0.7954	0.8070	0.7503	0.7449	0.7711	0.7838	0.8142	0.8444	0.8020	0.7023	0.7556	0.7424	0.6318	0.7588	0.7451	0.7441	0.7253	0.7151	0.6715	0.7063	0.6822	0.7878	0.8044	0.7972	0.7801	0.7682	0.7733	0.7752	0.7900	0.7697	0.7615	0.7046	0.7019	0.7172
'SIX5-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5841	0.6678	0.6465	0.6298	0.7598	0.7762	1.0000	0.7958	0.8079	0.8211	0.7534	0.7492	0.7775	0.7883	0.8209	0.8414	0.7983	0.7247	0.7717	0.7625	0.5963	0.7338	0.7213	0.7247	0.7007	0.6871	0.6468	0.6824	0.6532	0.7725	0.7920	0.7753	0.7610	0.7513	0.7571	0.7543	0.7712	0.7551	0.7439	0.6938	0.6974	0.7094
'MEF2A-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6505	0.7184	0.6950	0.6867	0.7861	0.7830	0.7958	1.0000	0.8520	0.8553	0.7992	0.7995	0.7716	0.7999	0.8357	0.8768	0.8069	0.7364	0.7848	0.7811	0.5404	0.7043	0.6676	0.6734	0.6713	0.6395	0.5904	0.6707	0.6299	0.7637	0.7833	0.7763	0.7391	0.7314	0.7427	0.7337	0.7467	0.7629	0.7693	0.6738	0.6647	0.6836
'MEF2C-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6396	0.7166	0.6952	0.6822	0.7837	0.7954	0.8079	0.8520	1.0000	0.8641	0.7942	0.7889	0.8006	0.8083	0.8480	0.8800	0.8250	0.7579	0.8031	0.8006	0.5803	0.7361	0.7101	0.7132	0.7004	0.6777	0.6333	0.6901	0.6512	0.7880	0.8097	0.7953	0.7660	0.7612	0.7699	0.7639	0.7759	0.7726	0.7729	0.6972	0.7007	0.7203
'ETS1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6352	0.7169	0.6925	0.6783	0.7960	0.8070	0.8211	0.8553	0.8641	1.0000	0.8016	0.7961	0.8036	0.8160	0.8652	0.8933	0.8246	0.7585	0.8066	0.7996	0.5824	0.7373	0.7147	0.7204	0.7038	0.6831	0.6355	0.6914	0.6566	0.7859	0.8105	0.8021	0.7742	0.7650	0.7705	0.7652	0.7825	0.7823	0.7776	0.7014	0.7066	0.7153
