#plotCorrelation --outFileCorMatrix
	'USF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'HSF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'
'USF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	1.0000	0.4097	0.4149	0.5289	0.5022	0.5788	0.3285	0.3652	0.3586	0.5354	0.4699	0.5017	0.4554	0.4118	0.3600	0.4241	0.4544	0.5000	0.5268	0.4685	0.3735	0.4063	0.3947	0.4816	0.5354	0.5950	0.5307	0.6430	0.5990	0.6082	0.5503	0.4918	0.4647	0.5795	0.5121	0.3703	0.3061	0.3503	0.3119	0.3845	0.1552	0.1567
'YY1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4097	1.0000	0.4455	0.5268	0.4914	0.5939	0.3491	0.3672	0.3485	0.4454	0.4692	0.4253	0.4225	0.5250	0.4298	0.5145	0.4818	0.5572	0.5798	0.6135	0.5021	0.5425	0.5241	0.5617	0.5779	0.5848	0.5502	0.5031	0.5313	0.5213	0.5657	0.6126	0.5389	0.5505	0.5377	0.3348	0.3140	0.4408	0.3005	0.3700	0.1695	0.1080
'EBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4149	0.4455	1.0000	0.5369	0.5761	0.5348	0.3853	0.3966	0.3846	0.5190	0.5193	0.4902	0.4752	0.6917	0.5956	0.5605	0.6008	0.6917	0.6498	0.6404	0.6373	0.6397	0.6116	0.5665	0.6598	0.6817	0.7361	0.5593	0.5647	0.6198	0.7068	0.5756	0.6054	0.5624	0.5560	0.3326	0.3264	0.3263	0.2615	0.3395	0.0940	0.1121
'SRF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5289	0.5268	0.5369	1.0000	0.6307	0.6653	0.5150	0.5425	0.5436	0.6631	0.6546	0.6532	0.6240	0.6079	0.5727	0.6309	0.6321	0.6997	0.7021	0.7045	0.6145	0.6488	0.6563	0.6647	0.6720	0.7650	0.6772	0.7037	0.7151	0.7373	0.7355	0.7154	0.7113	0.7195	0.7344	0.4435	0.4448	0.4612	0.3610	0.6065	0.3770	0.1817
'TCF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5022	0.4914	0.5761	0.6307	1.0000	0.6260	0.3994	0.4234	0.4190	0.5654	0.5446	0.5365	0.5160	0.6222	0.5548	0.6455	0.6799	0.7370	0.7060	0.7116	0.5970	0.6402	0.6182	0.7467	0.6545	0.7403	0.7943	0.6306	0.6768	0.6937	0.6827	0.6498	0.6335	0.5840	0.6383	0.3889	0.3502	0.3745	0.3098	0.4859	0.2703	0.1809
'ELF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5788	0.5939	0.5348	0.6653	0.6260	1.0000	0.3479	0.3914	0.3592	0.5393	0.5155	0.4951	0.4694	0.5829	0.4319	0.5775	0.5702	0.6233	0.6856	0.6851	0.5079	0.5554	0.5369	0.6571	0.7044	0.7250	0.6604	0.6638	0.6540	0.6490	0.6426	0.6861	0.5819	0.6204	0.6083	0.4340	0.3294	0.4839	0.3341	0.4917	0.1993	0.1320
'HSF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3285	0.3491	0.3853	0.5150	0.3994	0.3479	1.0000	0.9462	0.9526	0.8335	0.9135	0.8880	0.8804	0.4277	0.5266	0.5566	0.5401	0.6077	0.5420	0.6120	0.5693	0.6275	0.6593	0.5213	0.5411	0.5268	0.5331	0.6381	0.6390	0.6557	0.6724	0.7478	0.7615	0.7488	0.7416	0.3957	0.7490	0.5201	0.2409	0.2825	0.0871	0.2315
'SREBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3652	0.3672	0.3966	0.5425	0.4234	0.3914	0.9462	1.0000	0.9444	0.8681	0.9265	0.8976	0.8872	0.4500	0.5555	0.5667	0.5529	0.6338	0.5628	0.6298	0.5787	0.6362	0.6652	0.5521	0.5837	0.5715	0.5580	0.6774	0.6761	0.6934	0.7047	0.7876	0.7670	0.7667	0.7521	0.3991	0.7472	0.6310	0.2796	0.2998	0.0923	0.2463
'CEBPZ-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3586	0.3485	0.3846	0.5436	0.4190	0.3592	0.9526	0.9444	1.0000	0.8629	0.9250	0.9184	0.9008	0.4315	0.5403	0.5791	0.5593	0.6321	0.5646	0.6242	0.5722	0.6349	0.6610	0.5490	0.5622	0.5546	0.5505	0.6863	0.6914	0.7077	0.6990	0.7554	0.7710	0.7691	0.7678	0.4077	0.7461	0.5268	0.2635	0.2972	0.0953	0.2707
'JUND-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5354	0.4454	0.5190	0.6631	0.5654	0.5393	0.8335	0.8681	0.8629	1.0000	0.9155	0.9321	0.8879	0.5539	0.6576	0.6223	0.6377	0.7520	0.6777	0.6796	0.6202	0.6738	0.6794	0.6515	0.6960	0.7227	0.7032	0.8519	0.8345	0.8719	0.8303	0.7798	0.7903	0.8059	0.8029	0.4873	0.6814	0.5694	0.3553	0.3827	0.1068	0.2583
