#plotCorrelation --outFileCorMatrix
	'HSF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'
'HSF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	1.0000	0.8216	0.8412	0.8335	0.5057	0.5334	0.5809	0.6467	0.6317	0.6361	0.5696	0.5589	0.5849	0.5210	0.5698	0.5605	0.5015	0.7031	0.6717	0.7103	0.1475	0.3220	0.2979	0.3002	0.2542	0.2885	0.2533	0.3122	0.2252	0.4428	0.4239	0.3805	0.3576	0.3932	0.3901	0.3717	0.3817	0.4198	0.4092	0.3681	0.4030	0.4656
'CEBPZ-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.8216	1.0000	0.8298	0.8318	0.5921	0.6228	0.6646	0.7148	0.7130	0.7129	0.6412	0.6307	0.6824	0.6135	0.6675	0.6640	0.6182	0.7569	0.7473	0.7692	0.2716	0.4519	0.4340	0.4359	0.3851	0.4105	0.3737	0.4202	0.3401	0.5654	0.5446	0.5040	0.4828	0.5128	0.5110	0.4964	0.5115	0.5217	0.5138	0.4719	0.5081	0.5647
'SREBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.8412	0.8298	1.0000	0.8378	0.5539	0.5832	0.6266	0.6831	0.6747	0.6786	0.6101	0.5990	0.6422	0.5736	0.6226	0.6164	0.5678	0.7402	0.7174	0.7522	0.2246	0.4005	0.3791	0.3791	0.3333	0.3613	0.3274	0.3786	0.2955	0.5136	0.4952	0.4517	0.4301	0.4649	0.4614	0.4463	0.4572	0.4796	0.4708	0.4293	0.4602	0.5309
'SREBF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.8335	0.8318	0.8378	1.0000	0.5674	0.6001	0.6431	0.6913	0.6885	0.6916	0.6194	0.6079	0.6618	0.5888	0.6411	0.6342	0.5893	0.7543	0.7341	0.7664	0.2446	0.4226	0.4060	0.4055	0.3565	0.3806	0.3521	0.3908	0.3102	0.5365	0.5162	0.4720	0.4514	0.4863	0.4827	0.4685	0.4804	0.4958	0.4852	0.4466	0.4850	0.5500
'NFATC1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5057	0.5921	0.5539	0.5674	1.0000	0.7619	0.7576	0.7842	0.7945	0.7822	0.7669	0.7720	0.7476	0.8208	0.8014	0.8578	0.7910	0.6632	0.7266	0.7088	0.6316	0.7588	0.7350	0.7288	0.7125	0.7357	0.6577	0.7176	0.7077	0.8005	0.7866	0.8066	0.7845	0.7622	0.7695	0.7706	0.7950	0.8006	0.7898	0.7151	0.6689	0.6933
'RXRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5334	0.6228	0.5832	0.6001	0.7619	1.0000	0.7737	0.7811	0.8054	0.7932	0.7484	0.7422	0.7688	0.7815	0.8124	0.8433	0.8001	0.6996	0.7534	0.7403	0.6282	0.7561	0.7425	0.7416	0.7119	0.7222	0.6679	0.7030	0.6783	0.8024	0.7854	0.7955	0.7781	0.7658	0.7714	0.7733	0.7881	0.7677	0.7598	0.7040	0.6993	0.7148
'SIX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5809	0.6646	0.6266	0.6431	0.7576	0.7737	1.0000	0.7941	0.8192	0.8056	0.7508	0.7469	0.7750	0.7862	0.8190	0.8399	0.7961	0.7219	0.7694	0.7603	0.5920	0.7308	0.7179	0.7212	0.6836	0.6976	0.6432	0.6792	0.6486	0.7897	0.7699	0.7730	0.7586	0.7484	0.7548	0.7516	0.7686	0.7524	0.7416	0.6933	0.6948	0.7068
'MEF2A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6467	0.7148	0.6831	0.6913	0.7842	0.7811	0.7941	1.0000	0.8541	0.8505	0.7972	0.7978	0.7688	0.7982	0.8340	0.8759	0.8044	0.7332	0.7820	0.7783	0.5358	0.7010	0.6636	0.6695	0.6359	0.6674	0.5857	0.6676	0.6261	0.7805	0.7606	0.7745	0.7368	0.7282	0.7399	0.7311	0.7441	0.7604	0.7677	0.6727	0.6616	0.6800
'ETS1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6317	0.7130	0.6747	0.6885	0.7945	0.8054	0.8192	0.8541	1.0000	0.8623	0.8000	0.7944	0.8004	0.8141	0.8636	0.8923	0.8220	0.7556	0.8040	0.7969	0.5779	0.7338	0.7106	0.7161	0.6792	0.7000	0.6306	0.6880	0.6524	0.8076	0.7830	0.8002	0.7718	0.7614	0.7676	0.7622	0.7795	0.7798	0.7759	0.7003	0.7031	0.7114
'MEF2C-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6361	0.7129	0.6786	0.6916	0.7822	0.7932	0.8056	0.8505	0.8623	1.0000	0.7926	0.7873	0.7974	0.8059	0.8463	0.8786	0.8222	0.7542	0.8006	0.7978	0.5753	0.7325	0.7056	0.7089	0.6737	0.6962	0.6282	0.6866	0.6468	0.8066	0.7849	0.7931	0.7633	0.7577	0.7669	0.7609	0.7727	0.7700	0.7709	0.6963	0.6971	0.7164
'ATF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5696	0.6412	0.6101	0.6194	0.7669	0.7484	0.7508	0.7972	0.8000	0.7926	1.0000	0.7649	0.7392	0.7763	0.7942	0.8376	0.7846	0.6838	0.7366	0.7292	0.5631	0.7089	0.6809	0.6776	0.6534	0.6770	0.6022	0.6680	0.6365	0.7741	0.7564	0.7657	0.7349	0.7285	0.7374	0.7312	0.7466	0.7549	0.7588	0.6676	0.6465	0.6730
'NFIC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5589	0.6307	0.5990	0.6079	0.7720	0.7422	0.7469	0.7978	0.7944	0.7873	0.7649	1.0000	0.7335	0.7864	0.7915	0.8355	0.7823	0.6731	0.7282	0.7194	0.5630	0.7073	0.6745	0.6735	0.6520	0.6791	0.5990	0.6690	0.6426	0.7705	0.7531	0.7663	0.7386	0.7248	0.7353	0.7283	0.7408	0.7632	0.7728	0.6681	0.6343	0.6652
'CEBPB-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5849	0.6824	0.6422	0.6618	0.7476	0.7688	0.7750	0.7688	0.8004	0.7974	0.7392	0.7335	1.0000	0.7802	0.8155	0.8356	0.8326	0.7761	0.8227	0.8097	0.6591	0.7847	0.7869	0.7755	0.7392	0.7393	0.7192	0.7139	0.6784	0.8401	0.8141	0.7932	0.7901	0.8039	0.7995	0.8024	0.8146	0.7630	0.7581	0.7113	0.7370	0.7974
'BCL3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5210	0.6135	0.5736	0.5888	0.8208	0.7815	0.7862	0.7982	0.8141	0.8059	0.7763	0.7864	0.7802	1.0000	0.8218	0.8722	0.8286	0.6922	0.7558	0.7384	0.6608	0.7966	0.7729	0.7690	0.7454	0.7764	0.6936	0.7413	0.7317	0.8358	0.8252	0.8250	0.8155	0.7954	0.8115	0.8044	0.8283	0.8164	0.8027	0.7636	0.7100	0.7317
'ATF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5698	0.6675	0.6226	0.6411	0.8014	0.8124	0.8190	0.8340	0.8636	0.8463	0.7942	0.7915	0.8155	0.8218	1.0000	0.8995	0.8531	0.7456	0.8038	0.7906	0.6458	0.7886	0.7729	0.7710	0.7410	0.7490	0.6897	0.7314	0.7016	0.8491	0.8240	0.8437	0.8183	0.8076	0.8116	0.8102	0.8255	0.8069	0.8068	0.7301	0.7418	0.7466
'BCLAF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5605	0.6640	0.6164	0.6342	0.8578	0.8433	0.8399	0.8759	0.8923	0.8786	0.8376	0.8355	0.8356	0.8722	0.8995	1.0000	0.8957	0.7483	0.8186	0.8036	0.6879	0.8416	0.8096	0.8047	0.7817	0.8004	0.7213	0.7829	0.7638	0.8984	0.8752	0.9030	0.8608	0.8507	0.8630	0.8596	0.8786	0.8647	0.8676	0.7741	0.7655	0.7717
'BATF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5015	0.6182	0.5678	0.5893	0.7910	0.8001	0.7961	0.8044	0.8220	0.8222	0.7846	0.7823	0.8326	0.8286	0.8531	0.8957	1.0000	0.7322	0.8025	0.7855	0.7147	0.8644	0.8478	0.8383	0.8053	0.8097	0.7558	0.7634	0.7391	0.9243	0.9005	0.8753	0.8531	0.8709	0.8840	0.8738	0.8848	0.8217	0.8447	0.7644	0.7672	0.8073
'UBTF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.7031	0.7569	0.7402	0.7543	0.6632	0.6996	0.7219	0.7332	0.7556	0.7542	0.6838	0.6731	0.7761	0.6922	0.7456	0.7483	0.7322	1.0000	0.8026	0.8177	0.4743	0.6288	0.6270	0.6172	0.5746	0.5780	0.5658	0.5670	0.5069	0.7099	0.6879	0.6551	0.6418	0.6686	0.6638	0.6606	0.6712	0.6404	0.6320	0.5947	0.6335	0.7000
'MAFK-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6717	0.7473	0.7174	0.7341	0.7266	0.7534	0.7694	0.7820	0.8040	0.8006	0.7366	0.7282	0.8227	0.7558	0.8038	0.8186	0.8025	0.8026	1.0000	0.8348	0.5555	0.7100	0.7050	0.6942	0.6538	0.6608	0.6343	0.6447	0.5917	0.7873	0.7618	0.7380	0.7224	0.7461	0.7401	0.7377	0.7514	0.7157	0.7114	0.6616	0.6924	0.7514
'ESRRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.7103	0.7692	0.7522	0.7664	0.7088	0.7403	0.7603	0.7783	0.7969	0.7978	0.7292	0.7194	0.8097	0.7384	0.7906	0.8036	0.7855	0.8177	0.8348	1.0000	0.5132	0.6824	0.6703	0.6610	0.6198	0.6250	0.6009	0.6127	0.5567	0.7636	0.7418	0.7133	0.6902	0.7197	0.7190	0.7124	0.7230	0.6920	0.6892	0.6411	0.6793	0.7377
'USF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1475	0.2716	0.2246	0.2446	0.6316	0.6282	0.5920	0.5358	0.5779	0.5753	0.5631	0.5630	0.6591	0.6608	0.6458	0.6879	0.7147	0.4743	0.5555	0.5132	1.0000	0.8810	0.8767	0.8658	0.8849	0.8691	0.8471	0.8357	0.8886	0.7986	0.7958	0.8259	0.8463	0.8138	0.8125	0.8414	0.8430	0.7389	0.7341	0.7494	0.7081	0.7317
'PAX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3220	0.4519	0.4005	0.4226	0.7588	0.7561	0.7308	0.7010	0.7338	0.7325	0.7089	0.7073	0.7847	0.7966	0.7886	0.8416	0.8644	0.6288	0.7100	0.6824	0.8810	1.0000	0.9304	0.9210	0.9179	0.9083	0.8639	0.8665	0.8913	0.9172	0.9110	0.9210	0.9149	0.9080	0.9168	0.9269	0.9376	0.8386	0.8438	0.8208	0.7890	0.8197
'ZBTB33-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2979	0.4340	0.3791	0.4060	0.7350	0.7425	0.7179	0.6636	0.7106	0.7056	0.6809	0.6745	0.7869	0.7729	0.7729	0.8096	0.8478	0.6270	0.7050	0.6703	0.8767	0.9304	1.0000	0.9252	0.9133	0.8890	0.8755	0.8423	0.8574	0.9045	0.8912	0.8903	0.9003	0.8961	0.8952	0.9117	0.9246	0.8154	0.8104	0.7986	0.7876	0.8220
'EP300-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3002	0.4359	0.3791	0.4055	0.7288	0.7416	0.7212	0.6695	0.7161	0.7089	0.6776	0.6735	0.7755	0.7690	0.7710	0.8047	0.8383	0.6172	0.6942	0.6610	0.8658	0.9210	0.9252	1.0000	0.9006	0.8867	0.8606	0.8373	0.8565	0.8900	0.8813	0.8813	0.8940	0.8812	0.8869	0.9011	0.9121	0.8079	0.8020	0.7979	0.7848	0.8083
'REST-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2542	0.3851	0.3333	0.3565	0.7125	0.7119	0.6836	0.6359	0.6792	0.6737	0.6534	0.6520	0.7392	0.7454	0.7410	0.7817	0.8053	0.5746	0.6538	0.6198	0.8849	0.9179	0.9133	0.9006	1.0000	0.8829	0.8554	0.8451	0.8757	0.8683	0.8613	0.8817	0.8894	0.8687	0.8696	0.8897	0.8999	0.8001	0.7971	0.7885	0.7604	0.7842
'TCF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2885	0.4105	0.3613	0.3806	0.7357	0.7222	0.6976	0.6674	0.7000	0.6962	0.6770	0.6791	0.7393	0.7764	0.7490	0.8004	0.8097	0.5780	0.6608	0.6250	0.8691	0.9083	0.8890	0.8867	0.8829	1.0000	0.8344	0.8497	0.8767	0.8691	0.8626	0.8795	0.8831	0.8640	0.8702	0.8883	0.8943	0.8120	0.8087	0.8014	0.7493	0.7748
'MYC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2533	0.3737	0.3274	0.3521	0.6577	0.6679	0.6432	0.5857	0.6306	0.6282	0.6022	0.5990	0.7192	0.6936	0.6897	0.7213	0.7558	0.5658	0.6343	0.6009	0.8471	0.8639	0.8755	0.8606	0.8554	0.8344	1.0000	0.7937	0.8151	0.8209	0.8097	0.8146	0.8330	0.8230	0.8182	0.8399	0.8467	0.7424	0.7355	0.7396	0.7275	0.7657
'ZEB1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3122	0.4202	0.3786	0.3908	0.7176	0.7030	0.6792	0.6676	0.6880	0.6866	0.6680	0.6690	0.7139	0.7413	0.7314	0.7829	0.7634	0.5670	0.6447	0.6127	0.8357	0.8665	0.8423	0.8373	0.8451	0.8497	0.7937	1.0000	0.8761	0.8222	0.8189	0.8643	0.8591	0.8202	0.8266	0.8492	0.8516	0.7885	0.7851	0.7738	0.7144	0.7426
