#plotCorrelation --outFileCorMatrix
	'HSF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_Aligned.sortedByCoord.out.autosomes.bam'
'HSF1-human_Aligned.sortedByCoord.out.autosomes.bam'	1.0000	0.7854	0.8005	0.8101	0.4494	0.4245	0.4387	0.5040	0.5864	0.5708	0.5665	0.4965	0.4867	0.5034	0.4926	0.4872	0.4117	0.6448	0.6074	0.6536	0.1145	-0.0060	0.2038	0.1693	0.1709	0.1636	0.1215	0.1913	0.1000	0.3206	0.3424	0.2802	0.2426	0.2843	0.2831	0.2590	0.2717	0.3251	0.3174	0.2538	0.2914	0.3607
'CEBPZ-human_Aligned.sortedByCoord.out.autosomes.bam'	0.7854	1.0000	0.7978	0.7955	0.5554	0.5287	0.5501	0.6039	0.6682	0.6631	0.6647	0.5829	0.5727	0.6198	0.6103	0.6117	0.5511	0.7082	0.6974	0.7239	0.2578	0.1421	0.3588	0.3313	0.3331	0.3094	0.2780	0.3197	0.2372	0.4652	0.4888	0.4279	0.3925	0.4279	0.4268	0.4080	0.4267	0.4468	0.4417	0.3775	0.4168	0.4798
'SREBF2-human_Aligned.sortedByCoord.out.autosomes.bam'	0.8005	0.7978	1.0000	0.8057	0.5298	0.4984	0.5204	0.5786	0.6403	0.6372	0.6357	0.5566	0.5456	0.5957	0.5786	0.5763	0.5171	0.7060	0.6831	0.7210	0.2326	0.1100	0.3242	0.2988	0.2970	0.2739	0.2435	0.2847	0.2015	0.4321	0.4551	0.3902	0.3553	0.3967	0.3944	0.3752	0.3903	0.4160	0.4085	0.3475	0.3895	0.4628
'SREBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.8101	0.7955	0.8057	1.0000	0.5095	0.4831	0.5022	0.5590	0.6311	0.6226	0.6193	0.5462	0.5355	0.5722	0.5565	0.5553	0.4914	0.6893	0.6624	0.7041	0.2043	0.0860	0.2977	0.2672	0.2661	0.2510	0.2162	0.2701	0.1841	0.4069	0.4278	0.3656	0.3302	0.3709	0.3688	0.3488	0.3625	0.3969	0.3916	0.3274	0.3608	0.4404
'RXRA-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4494	0.5554	0.5298	0.5095	1.0000	0.7227	0.7450	0.7349	0.7434	0.7570	0.7715	0.7057	0.7006	0.7305	0.7800	0.8174	0.7662	0.6475	0.7104	0.6951	0.6109	0.5654	0.7154	0.6980	0.6972	0.6766	0.6640	0.6529	0.6307	0.7491	0.7691	0.7647	0.7404	0.7266	0.7334	0.7346	0.7524	0.7305	0.7236	0.6508	0.6481	0.6647
'NFATC1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4245	0.5287	0.4984	0.4831	0.7227	1.0000	0.7922	0.7193	0.7483	0.7473	0.7608	0.7278	0.7347	0.7130	0.7696	0.8335	0.7583	0.6118	0.6862	0.6651	0.6032	0.5721	0.7201	0.6934	0.6869	0.6942	0.6667	0.6704	0.6621	0.7530	0.7696	0.7749	0.7493	0.7244	0.7329	0.7336	0.7617	0.7681	0.7565	0.6659	0.6164	0.6470
'BCL3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4387	0.5501	0.5204	0.5022	0.7450	0.7922	1.0000	0.7507	0.7648	0.7748	0.7827	0.7387	0.7524	0.7485	0.7928	0.8517	0.8002	0.6430	0.7173	0.6961	0.6419	0.6040	0.7632	0.7349	0.7308	0.7396	0.7028	0.6984	0.6914	0.7957	0.8085	0.7983	0.7852	0.7611	0.7801	0.7717	0.7994	0.7870	0.7733	0.7210	0.6625	0.6892
'SIX5-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5040	0.6039	0.5786	0.5590	0.7349	0.7193	0.7507	1.0000	0.7591	0.7713	0.7885	0.7110	0.7066	0.7364	0.7882	0.8150	0.7610	0.6726	0.7290	0.7175	0.5804	0.5233	0.6864	0.6688	0.6727	0.6481	0.6303	0.6249	0.5979	0.7309	0.7537	0.7401	0.7176	0.7055	0.7141	0.7093	0.7296	0.7139	0.7046	0.6386	0.6415	0.6546
'MEF2A-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5864	0.6682	0.6403	0.6311	0.7434	0.7483	0.7648	0.7591	1.0000	0.8249	0.8284	0.7625	0.7643	0.7326	0.8055	0.8550	0.7721	0.6895	0.7473	0.7422	0.5160	0.4582	0.6516	0.6072	0.6141	0.6130	0.5752	0.6112	0.5687	0.7206	0.7438	0.7385	0.6922	0.6825	0.6970	0.6853	0.7009	0.7221	0.7315	0.6159	0.6045	0.6263
'MEF2C-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5708	0.6631	0.6372	0.6226	0.7570	0.7473	0.7748	0.7713	0.8249	1.0000	0.8382	0.7572	0.7523	0.7644	0.8198	0.8598	0.7927	0.7123	0.7671	0.7627	0.5639	0.5031	0.6885	0.6553	0.6591	0.6463	0.6187	0.6330	0.5939	0.7486	0.7743	0.7622	0.7227	0.7167	0.7282	0.7202	0.7347	0.7344	0.7377	0.6422	0.6455	0.6674
