#plotCorrelation --outFileCorMatrix
	'SREBF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_Aligned.sortedByCoord.out.autosomes.bam'	'HSF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_Aligned.sortedByCoord.out.autosomes.bam'
'SREBF2-human_Aligned.sortedByCoord.out.autosomes.bam'	1.0000	0.1844	0.2360	0.2466	0.2803	0.2682	0.3187	0.2192	0.1500	0.5072	0.5854	0.5889	0.2643	0.3144	0.3664	0.3530	0.3072	0.5009	0.4747	0.4609	0.3707	0.4078	0.3672	0.3490	0.3999	0.3825	0.4282	0.4349	0.3976	0.3554	0.3475	0.3158	0.3390	0.3390	0.4324	0.4692	0.5380	0.5433	0.5775	0.0978	0.1262	0.1009
'TCF3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1844	1.0000	0.4747	0.3877	0.3616	0.3672	0.2989	0.2699	0.2763	0.2628	0.2633	0.2950	0.4500	0.4492	0.4398	0.4773	0.5569	0.4941	0.4651	0.4674	0.5549	0.5328	0.5087	0.4761	0.4687	0.4243	0.4498	0.4846	0.4993	0.5543	0.5689	0.4816	0.3981	0.4486	0.3868	0.3862	0.3704	0.3863	0.4019	0.1145	0.2005	0.5458
'ZEB1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2360	0.4747	1.0000	0.4204	0.4097	0.4097	0.3533	0.3404	0.3496	0.3167	0.3119	0.3495	0.5604	0.5676	0.5494	0.5271	0.4799	0.5298	0.5493	0.5192	0.5190	0.5145	0.5354	0.4550	0.4507	0.4287	0.4560	0.5442	0.5590	0.5784	0.5516	0.4817	0.3913	0.4612	0.5151	0.4649	0.4335	0.4698	0.4688	0.1486	0.2408	0.3657
'EBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2466	0.3877	0.4204	1.0000	0.4975	0.4160	0.3399	0.3021	0.3101	0.3255	0.3593	0.3807	0.5039	0.5076	0.5447	0.5084	0.4904	0.5546	0.5885	0.5363	0.6538	0.5905	0.6221	0.5269	0.5967	0.6134	0.5832	0.6979	0.6046	0.6712	0.7194	0.5643	0.5794	0.6698	0.5226	0.4962	0.4671	0.4999	0.5268	0.0615	0.2300	0.1567
'SP1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2803	0.3616	0.4097	0.4975	1.0000	0.4820	0.4214	0.3018	0.3425	0.6258	0.3894	0.4307	0.5832	0.5174	0.5675	0.5377	0.5196	0.5976	0.5621	0.5509	0.5788	0.5838	0.5841	0.5018	0.5392	0.5255	0.5344	0.6231	0.5812	0.6304	0.5995	0.4856	0.4745	0.5656	0.5396	0.5183	0.4793	0.5005	0.5428	0.0914	0.2383	0.3406
'YY1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2682	0.3672	0.4097	0.4160	0.4820	1.0000	0.5338	0.3122	0.3416	0.3168	0.3490	0.3812	0.6194	0.5088	0.5108	0.5321	0.5491	0.6526	0.5435	0.5463	0.5568	0.6151	0.5862	0.5201	0.5381	0.4989	0.5222	0.5698	0.5270	0.5872	0.5588	0.4651	0.4239	0.5284	0.5442	0.4435	0.4328	0.4393	0.5024	0.0602	0.2302	0.1940
'SIX5-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3187	0.2989	0.3533	0.3399	0.4214	0.5338	1.0000	0.2754	0.2815	0.4317	0.4683	0.5359	0.5349	0.4692	0.4973	0.5050	0.4346	0.7176	0.5429	0.5666	0.4845	0.5483	0.5245	0.4834	0.4931	0.4740	0.5022	0.5486	0.5236	0.5064	0.4780	0.4437	0.4079	0.4580	0.5841	0.5103	0.5085	0.5268	0.5647	0.0879	0.2062	0.1753
'CTCF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2192	0.2699	0.3404	0.3021	0.3018	0.3122	0.2754	1.0000	0.2654	0.2780	0.2995	0.3105	0.4066	0.3879	0.4538	0.4097	0.3176	0.3915	0.3814	0.4278	0.3480	0.3719	0.3968	0.3092	0.3106	0.2833	0.3209	0.4438	0.4415	0.4321	0.3902	0.3061	0.2735	0.3221	0.4757	0.4007	0.3859	0.4223	0.4235	0.0553	0.2011	0.1730
'USF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1500	0.2763	0.3496	0.3101	0.3425	0.3416	0.2815	0.2654	1.0000	0.2090	0.1847	0.2346	0.4764	0.3873	0.5055	0.4315	0.3246	0.3637	0.3323	0.3747	0.3578	0.3401	0.3956	0.3072	0.2836	0.2827	0.2772	0.4147	0.4597	0.4587	0.4076	0.3261	0.2552	0.3204	0.5829	0.3856	0.3212	0.3660	0.3398	0.1345	0.2210	0.1437
'CEBPZ-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5072	0.2628	0.3167	0.3255	0.6258	0.3168	0.4317	0.2780	0.2090	1.0000	0.8068	0.8095	0.3275	0.4261	0.5179	0.5191	0.4341	0.6088	0.6327	0.6321	0.5200	0.5371	0.4744	0.4888	0.5305	0.5028	0.5575	0.5753	0.5483	0.4786	0.4698	0.4475	0.4521	0.4048	0.5805	0.6560	0.7386	0.7546	0.7818	0.3295	0.1775	0.2521
