#plotCorrelation --outFileCorMatrix
	'SREBF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'HSF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'
'SREBF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	1.0000	0.2529	0.1111	0.1525	0.2004	0.1333	0.4846	0.5666	0.5607	0.2374	0.2507	0.2954	0.3244	0.3321	0.3265	0.4163	0.4372	0.5102	0.5154	0.5531	0.3024	0.3433	0.3124	0.4906	0.4399	0.3675	0.3372	0.3306	0.4143	0.3553	0.3595	0.4044	0.3394	0.4573	0.3989	0.3776	0.4179	0.2414	0.2222	0.2669	0.2624	0.3008
'UBTF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2529	1.0000	0.1180	0.1358	0.1761	0.1453	0.3712	0.4077	0.3957	0.2311	0.2166	0.2648	0.3077	0.3269	0.2540	0.3338	0.3728	0.3976	0.4189	0.4284	0.2586	0.2762	0.2640	0.3440	0.3576	0.3355	0.2936	0.2963	0.3330	0.3037	0.2887	0.3078	0.2458	0.3494	0.2950	0.2768	0.3022	0.2097	0.2011	0.2185	0.2017	0.2389
'REST-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1111	0.1180	1.0000	0.1543	0.1919	0.2090	0.1524	0.2002	0.1402	0.2570	0.2930	0.2814	0.3140	0.3473	0.2182	0.2741	0.2799	0.2433	0.2833	0.2611	0.2567	0.2501	0.2476	0.2779	0.2859	0.3430	0.3301	0.2967	0.3212	0.2842	0.3055	0.2747	0.2556	0.2610	0.2415	0.2284	0.2309	0.2275	0.2309	0.2291	0.2254	0.1941
'PBX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1525	0.1358	0.1543	1.0000	0.2127	0.2105	0.4250	0.2432	0.2222	0.5422	0.3431	0.3485	0.3464	0.3543	0.2548	0.3196	0.3018	0.2917	0.3127	0.3219	0.3454	0.3378	0.3654	0.3558	0.3559	0.3600	0.3954	0.3427	0.3528	0.3487	0.3673	0.3561	0.3004	0.3281	0.3183	0.2930	0.3056	0.2584	0.3860	0.5679	0.2762	0.2492
'CTCF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2004	0.1761	0.1919	0.2127	1.0000	0.2549	0.2615	0.2924	0.2800	0.3458	0.4004	0.3738	0.4025	0.4455	0.2640	0.4666	0.3890	0.3730	0.4118	0.4135	0.3241	0.3070	0.3091	0.3852	0.4188	0.4329	0.4238	0.3843	0.4342	0.3433	0.3936	0.3726	0.3225	0.3713	0.3114	0.2781	0.3145	0.2997	0.3329	0.2946	0.3096	0.2634
'USF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1333	0.1453	0.2090	0.2105	0.2549	1.0000	0.1694	0.2042	0.1575	0.3630	0.4676	0.3738	0.4135	0.4900	0.2445	0.5802	0.3634	0.2979	0.3480	0.3185	0.3263	0.3064	0.3279	0.3571	0.3586	0.4423	0.4447	0.3951	0.3998	0.3472	0.3939	0.3369	0.3217	0.3174	0.2855	0.2795	0.2714	0.3083	0.3389	0.3328	0.3384	0.2693
'CEBPZ-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4846	0.3712	0.1524	0.4250	0.2615	0.1694	1.0000	0.7828	0.7914	0.3303	0.3068	0.4048	0.4652	0.4607	0.4507	0.5838	0.6064	0.7057	0.7285	0.7578	0.4345	0.5081	0.4586	0.6179	0.6129	0.5009	0.4542	0.4450	0.5577	0.5071	0.4885	0.5484	0.4298	0.6273	0.5590	0.5256	0.5725	0.3319	0.2878	0.6415	0.3219	0.4211
'SREBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5666	0.4077	0.2002	0.2432	0.2924	0.2042	0.7828	1.0000	0.8903	0.3821	0.3702	0.4529	0.5054	0.5016	0.5284	0.6527	0.7608	0.7835	0.8000	0.8529	0.4908	0.5575	0.5118	0.7113	0.6773	0.5746	0.5198	0.5145	0.6336	0.5791	0.5467	0.6209	0.5054	0.7107	0.6319	0.6024	0.6538	0.3870	0.3286	0.4232	0.3869	0.5280
'HSF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5607	0.3957	0.1402	0.2222	0.2800	0.1575	0.7914	0.8903	1.0000	0.3408	0.3131	0.4084	0.4485	0.4399	0.4874	0.6224	0.6441	0.7667	0.7740	0.8355	0.4480	0.5316	0.4822	0.6755	0.6471	0.4892	0.4591	0.4729	0.5865	0.5356	0.5059	0.5913	0.4664	0.6884	0.6083	0.5771	0.6343	0.3637	0.2931	0.3794	0.3513	0.4534
'TCF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2374	0.2311	0.2570	0.5422	0.3458	0.3630	0.3303	0.3821	0.3408	1.0000	0.5990	0.5712	0.6363	0.6037	0.5379	0.5238	0.5248	0.4953	0.5286	0.5401	0.7476	0.6453	0.6685	0.6533	0.6166	0.6802	0.7232	0.7750	0.6634	0.7427	0.6972	0.7128	0.6239	0.6116	0.6414	0.5813	0.6007	0.5452	0.5383	0.4893	0.4790	0.3827
