#plotCorrelation --outFileCorMatrix
	'HSF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'
'HSF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	1.0000	0.7850	0.8094	0.8001	0.4463	0.4209	0.4348	0.5012	0.5835	0.5641	0.5679	0.4941	0.4842	0.5006	0.4889	0.4842	0.4078	0.6432	0.6059	0.6521	0.1092	-0.0120	0.1984	0.1634	0.1655	0.1155	0.1583	0.1861	0.0945	0.3379	0.3157	0.2761	0.2375	0.2793	0.2784	0.2540	0.2668	0.3208	0.3142	0.2518	0.2878	0.3566
'CEBPZ-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.7850	1.0000	0.7944	0.7967	0.5523	0.5243	0.5458	0.6010	0.6653	0.6616	0.6601	0.5802	0.5695	0.6167	0.6060	0.6083	0.5470	0.7058	0.6948	0.7219	0.2520	0.1352	0.3527	0.3251	0.3271	0.2712	0.3034	0.3140	0.2309	0.4835	0.4597	0.4233	0.3869	0.4224	0.4219	0.4026	0.4212	0.4424	0.4381	0.3756	0.4121	0.4752
'SREBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.8094	0.7944	1.0000	0.8046	0.5059	0.4793	0.4982	0.5556	0.6278	0.6163	0.6192	0.5431	0.5320	0.5688	0.5523	0.5517	0.4870	0.6867	0.6604	0.7022	0.1981	0.0790	0.2915	0.2607	0.2595	0.2092	0.2447	0.2649	0.1779	0.4225	0.4013	0.3613	0.3244	0.3657	0.3635	0.3432	0.3571	0.3923	0.3873	0.3248	0.3564	0.4356
'SREBF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.8001	0.7967	0.8046	1.0000	0.5262	0.4954	0.5166	0.5754	0.6373	0.6331	0.6346	0.5540	0.5433	0.5928	0.5755	0.5732	0.5134	0.7039	0.6812	0.7195	0.2271	0.1040	0.3188	0.2931	0.2917	0.2378	0.2687	0.2801	0.1961	0.4503	0.4270	0.3862	0.3502	0.3917	0.3898	0.3703	0.3853	0.4119	0.4053	0.3456	0.3859	0.4588
'RXRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4463	0.5523	0.5059	0.5262	1.0000	0.7209	0.7432	0.7322	0.7415	0.7699	0.7551	0.7037	0.6984	0.7282	0.7783	0.8166	0.7645	0.6448	0.7089	0.6925	0.6081	0.5625	0.7130	0.6955	0.6945	0.6603	0.6739	0.6504	0.6281	0.7673	0.7468	0.7635	0.7384	0.7244	0.7316	0.7323	0.7502	0.7294	0.7229	0.6514	0.6458	0.6621
'NFATC1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4209	0.5243	0.4793	0.4954	0.7209	1.0000	0.7910	0.7174	0.7467	0.7592	0.7454	0.7259	0.7326	0.7105	0.7678	0.8324	0.7566	0.6090	0.6846	0.6621	0.6011	0.5703	0.7188	0.6917	0.6850	0.6648	0.6923	0.6699	0.6609	0.7680	0.7511	0.7745	0.7484	0.7226	0.7311	0.7320	0.7601	0.7666	0.7556	0.6676	0.6151	0.6448
'BCL3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4348	0.5458	0.4982	0.5166	0.7432	0.7910	1.0000	0.7488	0.7634	0.7813	0.7723	0.7373	0.7508	0.7454	0.7909	0.8507	0.7989	0.6393	0.7154	0.6934	0.6393	0.6014	0.7613	0.7326	0.7285	0.7003	0.7375	0.6962	0.6893	0.8069	0.7939	0.7973	0.7830	0.7592	0.7786	0.7699	0.7975	0.7860	0.7728	0.7222	0.6601	0.6860
'SIX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5012	0.6010	0.5556	0.5754	0.7322	0.7174	0.7488	1.0000	0.7577	0.7870	0.7692	0.7086	0.7050	0.7340	0.7862	0.8140	0.7590	0.6701	0.7265	0.7147	0.5770	0.5197	0.6837	0.6660	0.6696	0.6271	0.6447	0.6224	0.5944	0.7514	0.7285	0.7387	0.7152	0.7031	0.7115	0.7064	0.7269	0.7120	0.7030	0.6390	0.6395	0.6518
'MEF2A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5835	0.6653	0.6278	0.6373	0.7415	0.7467	0.7634	0.7577	1.0000	0.8275	0.8235	0.7606	0.7622	0.7307	0.8042	0.8543	0.7703	0.6872	0.7456	0.7400	0.5129	0.4549	0.6492	0.6044	0.6115	0.5721	0.6100	0.6090	0.5661	0.7420	0.7183	0.7373	0.6900	0.6801	0.6947	0.6832	0.6988	0.7205	0.7306	0.6163	0.6028	0.6237
'ETS1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5641	0.6616	0.6163	0.6331	0.7699	0.7592	0.7813	0.7870	0.8275	1.0000	0.8365	0.7633	0.7592	0.7669	0.8382	0.8741	0.7908	0.7126	0.7706	0.7611	0.5638	0.5034	0.6879	0.6592	0.6658	0.6226	0.6480	0.6327	0.5972	0.7737	0.7449	0.7684	0.7305	0.7193	0.7271	0.7196	0.7406	0.7431	0.7413	0.6479	0.6519	0.6599
'MEF2C-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5679	0.6601	0.6192	0.6346	0.7551	0.7454	0.7723	0.7692	0.8235	0.8365	1.0000	0.7555	0.7509	0.7619	0.8182	0.8585	0.7907	0.7094	0.7650	0.7604	0.5605	0.4994	0.6856	0.6521	0.6556	0.6153	0.6428	0.6304	0.5907	0.7718	0.7460	0.7603	0.7200	0.7137	0.7259	0.7170	0.7321	0.7322	0.7363	0.6422	0.6430	0.6639
'ATF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4941	0.5802	0.5431	0.5540	0.7037	0.7259	0.7373	0.7086	0.7606	0.7633	0.7555	1.0000	0.7244	0.6975	0.7577	0.8089	0.7477	0.6295	0.6936	0.6837	0.5335	0.4887	0.6595	0.6264	0.6230	0.5946	0.6227	0.6110	0.5786	0.7353	0.7145	0.7271	0.6889	0.6819	0.6932	0.6847	0.7026	0.7130	0.7192	0.6106	0.5886	0.6180
'NFIC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4842	0.5695	0.5320	0.5433	0.6984	0.7326	0.7508	0.7050	0.7622	0.7592	0.7509	0.7244	1.0000	0.6933	0.7563	0.8076	0.7467	0.6202	0.6859	0.6741	0.5324	0.4904	0.6590	0.6205	0.6201	0.5941	0.6259	0.6137	0.5859	0.7332	0.7121	0.7283	0.6949	0.6790	0.6916	0.6831	0.6973	0.7234	0.7362	0.6130	0.5747	0.6123
'CEBPB-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5006	0.6167	0.5688	0.5928	0.7282	0.7105	0.7454	0.7340	0.7307	0.7669	0.7619	0.6975	0.6933	1.0000	0.7842	0.8141	0.8058	0.7296	0.7873	0.7710	0.6671	0.5984	0.7506	0.7488	0.7347	0.6945	0.6961	0.6651	0.6326	0.8142	0.7840	0.7679	0.7549	0.7710	0.7682	0.7695	0.7847	0.7303	0.7287	0.6615	0.6877	0.7562
'ATF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4889	0.6060	0.5523	0.5755	0.7783	0.7678	0.7909	0.7862	0.8042	0.8382	0.8182	0.7577	0.7563	0.7842	1.0000	0.8831	0.8280	0.6991	0.7701	0.7528	0.6347	0.5842	0.7525	0.7328	0.7304	0.6953	0.7060	0.6845	0.6558	0.8228	0.7929	0.8199	0.7858	0.7741	0.7793	0.7766	0.7951	0.7755	0.7778	0.6827	0.6963	0.7022
'BCLAF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4842	0.6083	0.5517	0.5732	0.8166	0.8324	0.8507	0.8140	0.8543	0.8741	0.8585	0.8089	0.8076	0.8141	0.8831	1.0000	0.8795	0.7088	0.7928	0.7736	0.6750	0.6358	0.8154	0.7787	0.7733	0.7452	0.7675	0.7457	0.7272	0.8826	0.8549	0.8879	0.8375	0.8260	0.8407	0.8362	0.8581	0.8419	0.8467	0.7362	0.7287	0.7368
'BATF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4078	0.5470	0.4870	0.5134	0.7645	0.7566	0.7989	0.7590	0.7703	0.7908	0.7907	0.7477	0.7467	0.8058	0.8280	0.8795	1.0000	0.6837	0.7682	0.7470	0.7128	0.6661	0.8415	0.8212	0.8093	0.7717	0.7773	0.7230	0.7014	0.9106	0.8824	0.8591	0.8281	0.8488	0.8644	0.8522	0.8651	0.7940	0.8244	0.7234	0.7260	0.7744
'UBTF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6432	0.7058	0.6867	0.7039	0.6448	0.6090	0.6393	0.6701	0.6872	0.7126	0.7094	0.6295	0.6202	0.7296	0.6991	0.7088	0.6837	1.0000	0.7619	0.7801	0.4823	0.3766	0.5638	0.5567	0.5444	0.4967	0.5033	0.4899	0.4283	0.6564	0.6314	0.6022	0.5761	0.6081	0.6050	0.5989	0.6125	0.5839	0.5780	0.5214	0.5626	0.6384
'MAFK-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6059	0.6948	0.6604	0.6812	0.7089	0.6846	0.7154	0.7265	0.7456	0.7706	0.7650	0.6936	0.6859	0.7873	0.7701	0.7928	0.7682	0.7619	1.0000	0.8021	0.5648	0.4743	0.6604	0.6502	0.6368	0.5918	0.6012	0.5819	0.5287	0.7497	0.7197	0.7012	0.6730	0.7013	0.6961	0.6907	0.7082	0.6725	0.6722	0.6019	0.6341	0.7009
