#plotCorrelation --outFileCorMatrix
	'UBTF-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_Aligned.sortedByCoord.out.autosomes.bam'	'HSF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_Aligned.sortedByCoord.out.autosomes.bam'
'UBTF-human_Aligned.sortedByCoord.out.autosomes.bam'	1.0000	0.7600	0.7467	0.6070	0.6057	0.4967	0.5544	0.6213	0.5578	0.5822	0.4801	0.3442	0.3021	0.2253	0.3009	0.4658	0.4752	0.6773	0.5031	0.5446	0.5837	0.6259	0.5623	0.5847	0.4748	0.4575	0.6471	0.5655	0.4058	0.2752	0.3550	0.3471	0.5603	0.4515	0.2066	0.2393	0.1187	0.1575	0.1333	0.2009	0.0863	0.0733
'CEBPZ-human_Aligned.sortedByCoord.out.autosomes.bam'	0.7600	1.0000	0.9065	0.8742	0.8843	0.9015	0.9179	0.9447	0.8902	0.9212	0.8812	0.5960	0.6146	0.6080	0.6392	0.6787	0.7733	0.7858	0.7331	0.8250	0.7945	0.7946	0.8008	0.8355	0.6994	0.6959	0.7693	0.6677	0.5244	0.5318	0.7300	0.5454	0.6685	0.6398	0.3405	0.4286	0.4239	0.4447	0.4516	0.5191	0.3828	0.2852
'ZBTB33-human_Aligned.sortedByCoord.out.autosomes.bam'	0.7467	0.9065	1.0000	0.9243	0.9339	0.8042	0.8857	0.8702	0.8839	0.8891	0.8589	0.6417	0.6813	0.6425	0.6783	0.7525	0.7821	0.8844	0.8359	0.8528	0.8875	0.8719	0.8701	0.8933	0.7776	0.7362	0.8323	0.7761	0.5826	0.5524	0.6678	0.6020	0.7472	0.6644	0.4400	0.5207	0.5099	0.5674	0.5102	0.5480	0.4341	0.3958
'MYC-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6070	0.8742	0.9243	1.0000	0.9613	0.8426	0.9213	0.8878	0.9420	0.9228	0.9312	0.6373	0.7130	0.6909	0.6887	0.7009	0.7728	0.8631	0.8086	0.8458	0.8826	0.8521	0.8465	0.8910	0.7914	0.7518	0.8157	0.7723	0.5980	0.5739	0.7215	0.6339	0.7729	0.6640	0.4361	0.5441	0.5146	0.5850	0.5122	0.5543	0.4455	0.4025
'EP300-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6057	0.8843	0.9339	0.9613	1.0000	0.8477	0.9277	0.8949	0.9490	0.9267	0.9295	0.7011	0.7448	0.7129	0.7162	0.7499	0.8153	0.8834	0.8424	0.8744	0.9077	0.8880	0.8937	0.9220	0.8060	0.7608	0.8201	0.7642	0.5940	0.5740	0.7277	0.6294	0.7517	0.6704	0.4419	0.5788	0.5639	0.6273	0.5742	0.6152	0.5151	0.4661
'HSF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4967	0.9015	0.8042	0.8426	0.8477	1.0000	0.9580	0.9623	0.9029	0.9418	0.9389	0.6349	0.6759	0.7331	0.7411	0.6819	0.8178	0.7113	0.7207	0.8401	0.7501	0.7422	0.7775	0.8190	0.6979	0.6580	0.6851	0.5994	0.4915	0.5888	0.8215	0.5772	0.6110	0.5794	0.3686	0.4677	0.5320	0.5366	0.5760	0.6368	0.5078	0.3725
'ESRRA-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5544	0.9179	0.8857	0.9213	0.9277	0.9580	1.0000	0.9659	0.9473	0.9680	0.9658	0.6944	0.7335	0.7685	0.7796	0.7515	0.8541	0.8078	0.8075	0.8918	0.8499	0.8326	0.8608	0.8996	0.7786	0.7392	0.7664	0.6987	0.5553	0.6289	0.8137	0.6293	0.6929	0.6411	0.4349	0.5438	0.5805	0.6132	0.6143	0.6656	0.5469	0.4452
'SREBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6213	0.9447	0.8702	0.8878	0.8949	0.9623	0.9659	1.0000	0.9421	0.9561	0.9404	0.6413	0.6682	0.6992	0.7270	0.6940	0.8124	0.7735	0.7513	0.8515	0.7978	0.7882	0.8092	0.8518	0.7230	0.6919	0.7430	0.6602	0.5376	0.6301	0.8018	0.5822	0.6695	0.6099	0.3727	0.4662	0.4957	0.5128	0.5347	0.6000	0.4671	0.3513
'JUND-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5578	0.8902	0.8839	0.9420	0.9490	0.9029	0.9473	0.9421	1.0000	0.9458	0.9608	0.6542	0.6952	0.6804	0.6727	0.6576	0.7686	0.8063	0.7701	0.8277	0.8273	0.8062	0.8219	0.8634	0.7462	0.7108	0.7614	0.6923	0.5623	0.5735	0.7669	0.6148	0.7181	0.6252	0.3784	0.5007	0.4910	0.5326	0.5126	0.5633	0.4508	0.3682
'MAFK-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5822	0.9212	0.8891	0.9228	0.9267	0.9418	0.9680	0.9561	0.9458	1.0000	0.9606	0.6649	0.7095	0.7294	0.7308	0.7135	0.8226	0.8032	0.7853	0.8704	0.8306	0.8160	0.8378	0.8794	0.7593	0.7093	0.7635	0.6825	0.5537	0.5882	0.7969	0.6164	0.6969	0.6303	0.3962	0.5090	0.5393	0.5696	0.5650	0.6192	0.4975	0.3957
'CEBPB-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4801	0.8812	0.8589	0.9312	0.9295	0.9389	0.9658	0.9404	0.9608	0.9606	1.0000	0.6544	0.7214	0.7373	0.7169	0.6729	0.7986	0.7731	0.7671	0.8502	0.8108	0.7858	0.8147	0.8612	0.7487	0.6920	0.7344	0.6587	0.5511	0.5800	0.8057	0.6234	0.6885	0.6167	0.3792	0.5063	0.5444	0.5756	0.5631	0.6116	0.4987	0.3948
'BATF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3442	0.5960	0.6417	0.6373	0.7011	0.6349	0.6944	0.6413	0.6542	0.6649	0.6544	1.0000	0.7066	0.6964	0.7193	0.7671	0.7957	0.6855	0.7092	0.7401	0.7485	0.7557	0.8402	0.8540	0.6755	0.6484	0.5899	0.5471	0.4172	0.4952	0.5485	0.4412	0.4858	0.5030	0.4475	0.6401	0.6671	0.7143	0.7686	0.7858	0.7818	0.7374
'BCL3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3021	0.6146	0.6813	0.7130	0.7448	0.6759	0.7335	0.6682	0.6952	0.7095	0.7214	0.7066	1.0000	0.7266	0.7496	0.7974	0.7836	0.7567	0.7780	0.7832	0.7669	0.7671	0.8051	0.7989	0.7092	0.6703	0.6447	0.6300	0.4507	0.5257	0.5861	0.4914	0.5529	0.5994	0.4741	0.6401	0.8120	0.8070	0.7905	0.7420	0.7301	0.6510
'ATF3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2253	0.6080	0.6425	0.6909	0.7129	0.7331	0.7685	0.6992	0.6804	0.7294	0.7373	0.6964	0.7266	1.0000	0.8684	0.7879	0.8387	0.6392	0.7102	0.8243	0.7412	0.7081	0.7500	0.7958	0.7407	0.6840	0.6129	0.6260	0.4458	0.6396	0.6464	0.5834	0.6460	0.5419	0.5421	0.5896	0.7352	0.7848	0.7698	0.7920	0.7346	0.6531
'ETS1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3009	0.6392	0.6783	0.6887	0.7162	0.7411	0.7796	0.7270	0.6727	0.7308	0.7169	0.7193	0.7496	0.8684	1.0000	0.8949	0.8807	0.7134	0.8122	0.8517	0.7883	0.7647	0.8088	0.8253	0.7650	0.7422	0.6452	0.7115	0.4560	0.7739	0.6752	0.5175	0.5417	0.5729	0.6219	0.6215	0.7890	0.8305	0.8225	0.8384	0.7653	0.7062
'BCLAF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4658	0.6787	0.7525	0.7009	0.7499	0.6819	0.7515	0.6940	0.6576	0.7135	0.6729	0.7671	0.7974	0.7879	0.8949	1.0000	0.8918	0.8138	0.9016	0.8703	0.8536	0.8488	0.8947	0.8764	0.7829	0.7597	0.7127	0.7501	0.4770	0.6037	0.5926	0.5121	0.5709	0.6120	0.6068	0.6733	0.8482	0.8729	0.8554	0.8487	0.7952	0.7525
'MEF2C-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4752	0.7733	0.7821	0.7728	0.8153	0.8178	0.8541	0.8124	0.7686	0.8226	0.7986	0.7957	0.7836	0.8387	0.8807	0.8918	1.0000	0.7943	0.8217	0.9041	0.8448	0.8488	0.8906	0.9031	0.7965	0.7496	0.7362	0.6965	0.5018	0.6085	0.7022	0.5540	0.6028	0.6169	0.5356	0.6459	0.7486	0.7919	0.8099	0.8956	0.7766	0.6917
'TCF3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6773	0.7858	0.8844	0.8631	0.8834	0.7113	0.8078	0.7735	0.8063	0.8032	0.7731	0.6855	0.7567	0.6392	0.7134	0.8138	0.7943	1.0000	0.8857	0.8294	0.9021	0.9427	0.8966	0.8843	0.7867	0.7696	0.8288	0.8134	0.5630	0.5200	0.5980	0.5806	0.7411	0.6736	0.4938	0.6334	0.6028	0.6721	0.5994	0.6292	0.5414	0.5380
'POU2F2-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5031	0.7331	0.8359	0.8086	0.8424	0.7207	0.8075	0.7513	0.7701	0.7853	0.7671	0.7092	0.7780	0.7102	0.8122	0.9016	0.8217	0.8857	1.0000	0.8486	0.8831	0.8653	0.9172	0.8701	0.7875	0.7683	0.7578	0.7837	0.5251	0.5686	0.6165	0.5544	0.6540	0.6503	0.5444	0.6204	0.7415	0.7717	0.7284	0.7175	0.6352	0.6077
'RXRA-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5446	0.8250	0.8528	0.8458	0.8744	0.8401	0.8918	0.8515	0.8277	0.8704	0.8502	0.7401	0.7832	0.8243	0.8517	0.8703	0.9041	0.8294	0.8486	1.0000	0.8722	0.8585	0.8889	0.9114	0.8160	0.7556	0.7697	0.7407	0.5453	0.6215	0.7201	0.6033	0.6685	0.6554	0.5219	0.6014	0.7181	0.7562	0.7336	0.7663	0.6676	0.5869
'PAX5-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5837	0.7945	0.8875	0.8826	0.9077	0.7501	0.8499	0.7978	0.8273	0.8306	0.8108	0.7485	0.7669	0.7412	0.7883	0.8536	0.8448	0.9021	0.8831	0.8722	1.0000	0.9218	0.9252	0.9363	0.8299	0.8143	0.8208	0.8170	0.5739	0.5979	0.6492	0.6034	0.7256	0.6822	0.5452	0.6881	0.6539	0.7396	0.6751	0.6970	0.6205	0.6237
'TCF12-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6259	0.7946	0.8719	0.8521	0.8880	0.7422	0.8326	0.7882	0.8062	0.8160	0.7858	0.7557	0.7671	0.7081	0.7647	0.8488	0.8488	0.9427	0.8653	0.8585	0.9218	1.0000	0.9254	0.9250	0.8047	0.7935	0.8155	0.7906	0.5546	0.5579	0.6283	0.5797	0.7041	0.6549	0.5240	0.7145	0.6340	0.7156	0.6808	0.7051	0.6271	0.6255
'BCL11A-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5623	0.8008	0.8701	0.8465	0.8937	0.7775	0.8608	0.8092	0.8219	0.8378	0.8147	0.8402	0.8051	0.7500	0.8088	0.8947	0.8906	0.8966	0.9172	0.8889	0.9252	0.9254	1.0000	0.9526	0.8131	0.7857	0.7907	0.7519	0.5474	0.5763	0.6579	0.5623	0.6734	0.6588	0.5259	0.6969	0.7216	0.7703	0.7582	0.7812	0.7124	0.6829
