#plotCorrelation --outFileCorMatrix
	'HSF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_Aligned.sortedByCoord.out.autosomes.bam'
'HSF1-human_Aligned.sortedByCoord.out.autosomes.bam'	1.0000	0.8492	0.8593	0.8664	0.2603	0.3518	0.4032	0.3227	0.4929	0.4792	0.4979	0.5149	0.4743	0.4661	0.4601	0.4452	0.4565	0.4632	0.4076	0.3929	0.3929	0.3765	0.3516	0.4453	0.4836	0.5468	0.5686	0.5980	0.6417	0.6959	0.6897	0.6843	0.6261	0.6157	0.6494	0.5846	0.6305	0.6196	0.5665	0.7492	0.7233	0.7555
'CEBPZ-human_Aligned.sortedByCoord.out.autosomes.bam'	0.8492	1.0000	0.8581	0.8565	0.3668	0.4563	0.4954	0.4213	0.5803	0.5689	0.6025	0.6207	0.5774	0.5707	0.5659	0.5524	0.5640	0.5749	0.5202	0.5105	0.5106	0.4824	0.4650	0.5343	0.5735	0.6319	0.6422	0.6743	0.7131	0.7532	0.7543	0.7529	0.6871	0.6766	0.7324	0.6635	0.7134	0.7074	0.6668	0.7952	0.7873	0.8053
'SREBF2-human_Aligned.sortedByCoord.out.autosomes.bam'	0.8593	0.8581	1.0000	0.8634	0.3432	0.4373	0.4709	0.3962	0.5587	0.5449	0.5778	0.5958	0.5546	0.5461	0.5393	0.5258	0.5401	0.5479	0.4948	0.4863	0.4841	0.4566	0.4400	0.5121	0.5529	0.6191	0.6209	0.6554	0.6946	0.7337	0.7360	0.7327	0.6684	0.6576	0.7149	0.6425	0.6911	0.6822	0.6416	0.7923	0.7761	0.8024
'SREBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.8664	0.8565	0.8634	1.0000	0.3265	0.4166	0.4606	0.3841	0.5449	0.5327	0.5603	0.5765	0.5364	0.5284	0.5221	0.5080	0.5213	0.5285	0.4761	0.4632	0.4617	0.4402	0.4203	0.4983	0.5326	0.6031	0.6104	0.6410	0.6812	0.7275	0.7259	0.7216	0.6616	0.6509	0.6984	0.6300	0.6758	0.6677	0.6235	0.7803	0.7623	0.7911
'USF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2603	0.3668	0.3432	0.3265	1.0000	0.8618	0.8528	0.8995	0.7672	0.7622	0.8155	0.8179	0.8331	0.8283	0.8444	0.8629	0.8573	0.8586	0.8922	0.8870	0.8757	0.8807	0.8958	0.7710	0.7340	0.7606	0.6735	0.6718	0.6406	0.5925	0.6280	0.6303	0.6151	0.6140	0.6975	0.7002	0.6886	0.7243	0.7440	0.5397	0.6090	0.5734
'MYC-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3518	0.4563	0.4373	0.4166	0.8618	1.0000	0.8159	0.8325	0.7698	0.7624	0.8308	0.8418	0.8439	0.8366	0.8332	0.8512	0.8583	0.8642	0.8779	0.8898	0.8758	0.8510	0.8712	0.7616	0.7548	0.7941	0.6958	0.7079	0.6862	0.6359	0.6744	0.6758	0.6492	0.6455	0.7533	0.7290	0.7269	0.7536	0.7834	0.6210	0.6800	0.6519
'ZEB1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4032	0.4954	0.4709	0.4606	0.8528	0.8159	1.0000	0.8889	0.8105	0.8058	0.8355	0.8387	0.8392	0.8404	0.8785	0.8754	0.8650	0.8668	0.8795	0.8573	0.8514	0.8635	0.8610	0.7957	0.7414	0.7715	0.7491	0.7373	0.7172	0.7080	0.7246	0.7262	0.7069	0.7068	0.7464	0.7712	0.7631	0.8075	0.7865	0.6214	0.6874	0.6610
'ELF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3227	0.4213	0.3962	0.3841	0.8995	0.8325	0.8889	1.0000	0.8147	0.8114	0.8314	0.8293	0.8399	0.8429	0.8914	0.8852	0.8701	0.8750	0.9005	0.8683	0.8656	0.8866	0.8868	0.8011	0.7370	0.7549	0.7385	0.7129	0.6871	0.6686	0.6864	0.6917	0.6766	0.6814	0.7111	0.7604	0.7343	0.7890	0.7625	0.5640	0.6362	0.6075
'STAT5A-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4929	0.5803	0.5587	0.5449	0.7672	0.7698	0.8105	0.8147	1.0000	0.8522	0.8536	0.8666	0.8446	0.8486	0.8821	0.8660	0.8558	0.8696	0.8548	0.8342	0.8264	0.8300	0.8213	0.7782	0.7449	0.7688	0.8232	0.7939	0.7803	0.7890	0.7970	0.8057	0.7832	0.7903	0.7871	0.8368	0.8289	0.8801	0.8389	0.6824	0.7470	0.7278
'RUNX3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4792	0.5689	0.5449	0.5327	0.7622	0.7624	0.8058	0.8114	0.8522	1.0000	0.8605	0.8757	0.8508	0.8570	0.8900	0.8642	0.8594	0.8673	0.8585	0.8283	0.8192	0.8257	0.8176	0.7674	0.7372	0.7645	0.8111	0.7841	0.7676	0.7916	0.7944	0.7991	0.7845	0.7971	0.7786	0.8225	0.8260	0.8812	0.8578	0.6702	0.7389	0.7210
