#plotCorrelation --outFileCorMatrix
	'SREBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'HSF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'
'SREBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	1.0000	0.9129	0.9380	0.8640	0.9185	0.8924	0.8802	0.4697	0.5576	0.5603	0.4892	0.5682	0.5907	0.5723	0.6382	0.5811	0.6431	0.5812	0.5707	0.5947	0.6509	0.6765	0.7006	0.6462	0.6759	0.7039	0.7497	0.7873	0.7619	0.7777	0.7053	0.6104	0.3551	0.4028	0.4385	0.5125	0.4450	0.3957	0.3899	0.3261	0.2827	0.3894
'CEBPZ-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.9129	1.0000	0.9268	0.8062	0.9015	0.8940	0.8757	0.4454	0.5332	0.5528	0.4730	0.5569	0.5656	0.5544	0.6250	0.5753	0.6278	0.5851	0.5681	0.5788	0.6406	0.6608	0.6869	0.6465	0.6718	0.6857	0.7387	0.7466	0.7622	0.7673	0.6861	0.5060	0.3325	0.3850	0.5211	0.5672	0.4345	0.3616	0.3891	0.3121	0.2617	0.3978
'HSF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.9380	0.9268	1.0000	0.8014	0.9120	0.8888	0.8792	0.4480	0.5329	0.5351	0.4615	0.5394	0.5488	0.5491	0.6148	0.5619	0.6272	0.5731	0.5597	0.5856	0.6440	0.6722	0.6550	0.6156	0.6413	0.6758	0.7353	0.7529	0.7539	0.7745	0.7090	0.5082	0.3363	0.3909	0.4225	0.4736	0.4232	0.3516	0.3888	0.2948	0.2445	0.3838
'JUND-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.8640	0.8062	0.8014	1.0000	0.8800	0.8924	0.8510	0.5579	0.6384	0.6609	0.6335	0.6548	0.7241	0.6936	0.7358	0.6753	0.6776	0.6195	0.6366	0.6195	0.6712	0.6746	0.8592	0.7654	0.8168	0.8015	0.7638	0.7646	0.7889	0.7796	0.6242	0.5500	0.4184	0.5097	0.5126	0.5973	0.5525	0.5253	0.4589	0.4456	0.3440	0.3772
'ESRRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.9185	0.9015	0.9120	0.8800	1.0000	0.9400	0.9180	0.5944	0.6431	0.6743	0.6259	0.6927	0.7300	0.7076	0.7661	0.7167	0.7573	0.6858	0.6732	0.6879	0.7465	0.7550	0.8161	0.7696	0.7987	0.8272	0.8316	0.8505	0.8517	0.8536	0.7041	0.5889	0.4515	0.5253	0.5273	0.6103	0.5500	0.5150	0.4752	0.4115	0.3303	0.4028
'CEBPB-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.8924	0.8940	0.8888	0.8924	0.9400	1.0000	0.9198	0.5538	0.6175	0.6696	0.6184	0.6596	0.7137	0.6875	0.7388	0.6975	0.7058	0.6600	0.6635	0.6461	0.7040	0.7127	0.8433	0.7879	0.8316	0.8107	0.8141	0.8032	0.8418	0.8287	0.6879	0.5374	0.4026	0.4969	0.5183	0.5655	0.5518	0.4870	0.4710	0.4300	0.3448	0.3947
'MAFK-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.8802	0.8757	0.8792	0.8510	0.9180	0.9198	1.0000	0.5434	0.6052	0.6420	0.5909	0.6477	0.6825	0.6623	0.7180	0.6755	0.7031	0.6490	0.6415	0.6407	0.6988	0.7087	0.7922	0.7434	0.7749	0.7822	0.7955	0.7956	0.8181	0.8121	0.6798	0.5331	0.4016	0.4806	0.4972	0.5540	0.5224	0.4639	0.4501	0.3962	0.3182	0.3867
'RUNX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4697	0.4454	0.4480	0.5579	0.5944	0.5538	0.5434	1.0000	0.7769	0.6348	0.7272	0.7058	0.7756	0.7918	0.8362	0.8103	0.8213	0.7381	0.7153	0.8693	0.8318	0.8237	0.6954	0.6158	0.5961	0.8369	0.6692	0.7265	0.6876	0.7670	0.3892	0.4166	0.5093	0.7002	0.4735	0.6415	0.5372	0.5844	0.3474	0.3662	0.2874	0.1991
'BATF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5576	0.5332	0.5329	0.6384	0.6431	0.6175	0.6052	0.7769	1.0000	0.5841	0.6345	0.6337	0.6964	0.7177	0.8260	0.7051	0.7247	0.6611	0.6602	0.8074	0.7822	0.7743	0.6907	0.5994	0.5753	0.8573	0.6512	0.6705	0.6765	0.7478	0.4214	0.4017	0.4034	0.5991	0.4247	0.5480	0.4632	0.4254	0.3157	0.3100	0.2654	0.2370
'SRF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5603	0.5528	0.5351	0.6609	0.6743	0.6696	0.6420	0.6348	0.5841	1.0000	0.6766	0.6823	0.7409	0.7015	0.7137	0.7259	0.7214	0.6496	0.6405	0.6317	0.6698	0.6559	0.7497	0.7012	0.7261	0.7563	0.7099	0.7260	0.7193	0.7102	0.4408	0.4734	0.4971	0.5516	0.5268	0.6148	0.5984	0.6495	0.4276	0.4485	0.3399	0.2757
