#plotCorrelation --outFileCorMatrix
	'HSF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'
'HSF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	1.0000	0.8500	0.8669	0.8599	0.2631	0.3539	0.4057	0.3250	0.4956	0.4825	0.5168	0.4997	0.4757	0.4683	0.4634	0.4476	0.4581	0.4649	0.4098	0.3949	0.3948	0.3539	0.3789	0.4494	0.4862	0.5477	0.5712	0.5999	0.6430	0.6976	0.6862	0.6913	0.6285	0.6182	0.6505	0.5869	0.6322	0.6217	0.5681	0.7507	0.7242	0.7563
'CEBPZ-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.8500	1.0000	0.8569	0.8586	0.3687	0.4571	0.4971	0.4226	0.5822	0.5714	0.6214	0.6032	0.5777	0.5718	0.5682	0.5539	0.5644	0.5755	0.5210	0.5111	0.5111	0.4660	0.4836	0.5380	0.5748	0.6317	0.6439	0.6756	0.7137	0.7546	0.7542	0.7554	0.6889	0.6787	0.7325	0.6649	0.7144	0.7088	0.6674	0.7958	0.7873	0.8053
'SREBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.8669	0.8569	1.0000	0.8639	0.3288	0.4181	0.4625	0.3855	0.5470	0.5353	0.5776	0.5612	0.5372	0.5299	0.5246	0.5097	0.5221	0.5296	0.4773	0.4644	0.4628	0.4216	0.4417	0.5021	0.5344	0.6033	0.6124	0.6424	0.6820	0.7289	0.7232	0.7271	0.6635	0.6529	0.6989	0.6316	0.6771	0.6694	0.6247	0.7813	0.7627	0.7915
'SREBF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.8599	0.8586	0.8639	1.0000	0.3453	0.4386	0.4729	0.3978	0.5608	0.5476	0.5969	0.5787	0.5552	0.5475	0.5418	0.5275	0.5409	0.5489	0.4961	0.4872	0.4851	0.4413	0.4582	0.5160	0.5547	0.6192	0.6230	0.6566	0.6954	0.7350	0.7342	0.7372	0.6705	0.6596	0.7152	0.6442	0.6924	0.6838	0.6426	0.7933	0.7764	0.8027
'USF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2631	0.3687	0.3288	0.3453	1.0000	0.8632	0.8537	0.9001	0.7688	0.7640	0.8197	0.8172	0.8343	0.8300	0.8461	0.8637	0.8584	0.8597	0.8930	0.8884	0.8773	0.8965	0.8814	0.7741	0.7367	0.7621	0.6755	0.6738	0.6422	0.5943	0.6317	0.6293	0.6174	0.6164	0.6989	0.7014	0.6902	0.7259	0.7462	0.5413	0.6105	0.5751
'MYC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3539	0.4571	0.4181	0.4386	0.8632	1.0000	0.8177	0.8343	0.7721	0.7650	0.8423	0.8316	0.8444	0.8374	0.8362	0.8528	0.8588	0.8647	0.8785	0.8901	0.8761	0.8720	0.8514	0.7660	0.7564	0.7945	0.6984	0.7095	0.6876	0.6383	0.6776	0.6760	0.6519	0.6483	0.7534	0.7303	0.7288	0.7556	0.7844	0.6217	0.6805	0.6525
'ZEB1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4057	0.4971	0.4625	0.4729	0.8537	0.8177	1.0000	0.8888	0.8125	0.8079	0.8414	0.8377	0.8409	0.8429	0.8797	0.8755	0.8665	0.8682	0.8806	0.8594	0.8535	0.8622	0.8644	0.7978	0.7439	0.7732	0.7514	0.7390	0.7189	0.7096	0.7275	0.7259	0.7093	0.7092	0.7480	0.7722	0.7646	0.8094	0.7892	0.6231	0.6890	0.6625
'ELF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3250	0.4226	0.3855	0.3978	0.9001	0.8343	0.8888	1.0000	0.8159	0.8124	0.8315	0.8331	0.8412	0.8448	0.8920	0.8852	0.8712	0.8761	0.9015	0.8700	0.8674	0.8876	0.8876	0.8033	0.7395	0.7560	0.7400	0.7142	0.6883	0.6696	0.6924	0.6871	0.6783	0.6829	0.7121	0.7609	0.7353	0.7900	0.7648	0.5652	0.6374	0.6087
'STAT5A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4956	0.5822	0.5470	0.5608	0.7688	0.7721	0.8125	0.8159	1.0000	0.8526	0.8684	0.8550	0.8461	0.8502	0.8832	0.8671	0.8570	0.8708	0.8562	0.8361	0.8285	0.8229	0.8316	0.7827	0.7481	0.7709	0.8240	0.7952	0.7814	0.7897	0.8061	0.7976	0.7843	0.7911	0.7888	0.8379	0.8296	0.8805	0.8405	0.6842	0.7486	0.7294
'RUNX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4825	0.5714	0.5353	0.5476	0.7640	0.7650	0.8079	0.8124	0.8526	1.0000	0.8778	0.8624	0.8526	0.8589	0.8909	0.8654	0.8611	0.8689	0.8602	0.8305	0.8217	0.8194	0.8277	0.7721	0.7410	0.7672	0.8120	0.7859	0.7692	0.7928	0.7999	0.7955	0.7859	0.7980	0.7811	0.8241	0.8271	0.8817	0.8597	0.6729	0.7411	0.7231
