#plotCorrelation --outFileCorMatrix
	'PBX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_Aligned.sortedByCoord.out.autosomes.bam'	'HSF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_Aligned.sortedByCoord.out.autosomes.bam'
'PBX3-human_Aligned.sortedByCoord.out.autosomes.bam'	1.0000	0.2427	0.0924	0.0643	0.2233	0.0921	0.0991	0.0976	0.0902	0.4909	0.1488	0.1104	0.2852	0.1980	0.1384	0.3527	0.1685	0.1320	0.1252	0.1490	0.1456	0.1776	0.1038	0.1779	0.0848	0.1019	0.1095	0.1203	0.0981	0.1088	0.1106	0.1045	0.1032	0.1050	0.1034	0.1984	0.1571	0.1743	0.3124	0.2148	0.8032	0.0748
'YY1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2427	1.0000	0.5015	0.5510	0.5925	0.6275	0.5438	0.5770	0.5613	0.6047	0.5979	0.5192	0.5839	0.6096	0.5981	0.6209	0.6090	0.5690	0.5986	0.6646	0.5910	0.6755	0.4968	0.5458	0.3862	0.3930	0.4788	0.4999	0.4098	0.4827	0.4468	0.4407	0.4284	0.4404	0.4209	0.4030	0.4144	0.4846	0.4829	0.6171	0.4596	0.2764
'EBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.0924	0.5015	1.0000	0.6688	0.6117	0.6641	0.6213	0.6148	0.5634	0.5697	0.5028	0.6737	0.5629	0.6543	0.6955	0.6766	0.6274	0.6979	0.6912	0.6792	0.6167	0.6467	0.6580	0.6342	0.4535	0.4630	0.5519	0.6076	0.4992	0.5638	0.5598	0.5487	0.4996	0.5389	0.5395	0.3846	0.4464	0.4960	0.4935	0.5307	0.3483	0.2711
'RUNX3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.0643	0.5510	0.6688	1.0000	0.7664	0.7893	0.8404	0.7777	0.7121	0.5084	0.4803	0.5639	0.5181	0.6562	0.6482	0.5722	0.5798	0.5740	0.5886	0.7162	0.6271	0.6856	0.6992	0.6344	0.3520	0.2693	0.3738	0.4467	0.3517	0.4193	0.3631	0.3682	0.3391	0.3734	0.3774	0.2976	0.3315	0.3360	0.4048	0.4612	0.2674	0.0834
'MEF2A-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2233	0.5925	0.6117	0.7664	1.0000	0.8017	0.8986	0.8970	0.8093	0.6647	0.6920	0.6773	0.7937	0.8682	0.7745	0.6824	0.6920	0.6479	0.6734	0.7967	0.7974	0.8361	0.7576	0.7311	0.5913	0.5165	0.5488	0.6002	0.6338	0.6751	0.5335	0.5701	0.6160	0.6119	0.6070	0.4239	0.4392	0.4364	0.4982	0.5086	0.4464	0.2188
'STAT5A-human_Aligned.sortedByCoord.out.autosomes.bam'	0.0921	0.6275	0.6641	0.7893	0.8017	1.0000	0.8236	0.8375	0.8842	0.6475	0.6478	0.6965	0.7069	0.7672	0.7618	0.7028	0.7612	0.6788	0.7078	0.8510	0.7820	0.8309	0.7103	0.8083	0.5156	0.4476	0.5738	0.6284	0.5361	0.6107	0.5699	0.5553	0.5234	0.5688	0.5807	0.4275	0.4841	0.4991	0.5196	0.5936	0.3582	0.1786
'NFIC-human_Aligned.sortedByCoord.out.autosomes.bam'	0.0991	0.5438	0.6213	0.8404	0.8986	0.8236	1.0000	0.9046	0.8252	0.5542	0.6065	0.6218	0.6770	0.7527	0.7044	0.5856	0.6110	0.5769	0.6057	0.7485	0.7417	0.7659	0.7552	0.7254	0.4899	0.3846	0.4414	0.5068	0.5166	0.5635	0.4402	0.4659	0.4895	0.5014	0.5089	0.3440	0.3524	0.3382	0.4110	0.4151	0.2965	0.0962
'ATF2-human_Aligned.sortedByCoord.out.autosomes.bam'	0.0976	0.5770	0.6148	0.7777	0.8970	0.8375	0.9046	1.0000	0.8658	0.5881	0.6618	0.6440	0.7472	0.7735	0.7503	0.6243	0.6935	0.6139	0.6395	0.7913	0.7684	0.8110	0.7380	0.7715	0.5456	0.4431	0.5072	0.5535	0.5748	0.6259	0.4917	0.5162	0.5519	0.5580	0.5615	0.3856	0.3955	0.3809	0.4459	0.4630	0.3192	0.1392
'NFATC1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.0902	0.5613	0.5634	0.7121	0.8093	0.8842	0.8252	0.8658	1.0000	0.5780	0.6329	0.6146	0.7106	0.7228	0.7194	0.6134	0.7189	0.5872	0.6130	0.8076	0.7359	0.7895	0.6562	0.8078	0.4993	0.4188	0.5098	0.5486	0.5286	0.5850	0.4932	0.4960	0.5088	0.5315	0.5393	0.3797	0.3942	0.3988	0.4592	0.4877	0.3110	0.1352
'SRF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4909	0.6047	0.5697	0.5084	0.6647	0.6475	0.5542	0.5881	0.5780	1.0000	0.6691	0.7466	0.7953	0.7896	0.7763	0.8554	0.7589	0.7528	0.7558	0.7558	0.7231	0.7580	0.6563	0.6848	0.5910	0.6793	0.7415	0.7668	0.6596	0.7291	0.7181	0.7233	0.6930	0.7121	0.6986	0.5596	0.5837	0.6947	0.6646	0.7251	0.7535	0.4976
