#plotCorrelation --outFileCorMatrix
	'HSF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_Aligned.sortedByCoord.out.autosomes.bam'
'HSF1-human_Aligned.sortedByCoord.out.autosomes.bam'	1.0000	0.7992	0.8125	0.8214	0.0446	0.1631	0.2298	0.1321	0.3507	0.3382	0.3546	0.3760	0.3063	0.2803	0.3201	0.3168	0.2958	0.3069	0.2405	0.2134	0.2158	0.2025	0.1641	0.2902	0.3307	0.4011	0.4466	0.4774	0.5305	0.6054	0.5931	0.5882	0.5184	0.5061	0.5348	0.4641	0.5187	0.5080	0.4416	0.6664	0.6318	0.6749
'CEBPZ-human_Aligned.sortedByCoord.out.autosomes.bam'	0.7992	1.0000	0.8109	0.8090	0.1848	0.2992	0.3517	0.2617	0.4659	0.4565	0.4911	0.5144	0.4458	0.4219	0.4551	0.4532	0.4366	0.4537	0.3871	0.3670	0.3694	0.3403	0.3121	0.4068	0.4491	0.5134	0.5441	0.5780	0.6248	0.6819	0.6799	0.6805	0.5994	0.5870	0.6450	0.5683	0.6290	0.6249	0.5733	0.7277	0.7176	0.7416
'SREBF2-human_Aligned.sortedByCoord.out.autosomes.bam'	0.8125	0.8109	1.0000	0.8182	0.1543	0.2749	0.3188	0.2285	0.4372	0.4248	0.4598	0.4820	0.4104	0.3865	0.4254	0.4218	0.4055	0.4184	0.3544	0.3357	0.3351	0.3067	0.2799	0.3789	0.4238	0.4969	0.5157	0.5532	0.6012	0.6557	0.6559	0.6527	0.5748	0.5619	0.6217	0.5409	0.5992	0.5918	0.5410	0.7243	0.7028	0.7386
'SREBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.8214	0.8090	0.8182	1.0000	0.1309	0.2465	0.3043	0.2109	0.4182	0.4074	0.4352	0.4558	0.3864	0.3619	0.4002	0.3970	0.3794	0.3916	0.3284	0.3046	0.3047	0.2843	0.2532	0.3588	0.3954	0.4747	0.5006	0.5334	0.5819	0.6464	0.6412	0.6368	0.5645	0.5514	0.5991	0.5231	0.5778	0.5708	0.5159	0.7078	0.6829	0.7223
'USF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.0446	0.1848	0.1543	0.1309	1.0000	0.8277	0.8152	0.8751	0.7071	0.7015	0.7704	0.7735	0.8049	0.8271	0.7906	0.7893	0.8217	0.8234	0.8661	0.8606	0.8490	0.8527	0.8703	0.7168	0.6723	0.6987	0.5864	0.5827	0.5430	0.4799	0.5251	0.5277	0.5103	0.5108	0.6180	0.6193	0.6030	0.6501	0.6797	0.4111	0.5019	0.4548
'MYC-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1631	0.2992	0.2749	0.2465	0.8277	1.0000	0.7679	0.7927	0.7123	0.7041	0.7868	0.7992	0.7926	0.8129	0.8017	0.7965	0.8209	0.8278	0.8472	0.8604	0.8439	0.8142	0.8379	0.7045	0.6933	0.7373	0.6168	0.6281	0.6003	0.5369	0.5852	0.5878	0.5548	0.5521	0.6861	0.6568	0.6528	0.6883	0.7267	0.5141	0.5906	0.5532
'ZEB1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2298	0.3517	0.3188	0.3043	0.8152	0.7679	1.0000	0.8609	0.7628	0.7575	0.7961	0.7996	0.8475	0.8421	0.7975	0.8043	0.8301	0.8329	0.8496	0.8220	0.8171	0.8305	0.8259	0.7449	0.6797	0.7109	0.6825	0.6672	0.6404	0.6276	0.6490	0.6508	0.6273	0.6293	0.6792	0.7098	0.6989	0.7561	0.7340	0.5154	0.6016	0.5668
'ELF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1321	0.2617	0.2285	0.2109	0.8751	0.7927	0.8609	1.0000	0.7691	0.7638	0.7948	0.7918	0.8645	0.8569	0.8008	0.8107	0.8401	0.8459	0.8784	0.8399	0.8395	0.8619	0.8609	0.7564	0.6796	0.6955	0.6712	0.6393	0.6064	0.5803	0.6041	0.6103	0.5917	0.5992	0.6403	0.6987	0.6654	0.7351	0.7075	0.4483	0.5426	0.5040
'STAT5A-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3507	0.4659	0.4372	0.4182	0.7071	0.7123	0.7628	0.7691	1.0000	0.8155	0.8194	0.8357	0.8520	0.8308	0.8057	0.8142	0.8197	0.8372	0.8192	0.7940	0.7857	0.7898	0.7761	0.7260	0.6866	0.7111	0.7762	0.7392	0.7227	0.7319	0.7426	0.7537	0.7250	0.7347	0.7355	0.7944	0.7836	0.8485	0.8006	0.5986	0.6825	0.6560
'RUNX3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3382	0.4565	0.4248	0.4074	0.7015	0.7041	0.7575	0.7638	0.8155	1.0000	0.8300	0.8491	0.8619	0.8298	0.8151	0.8264	0.8256	0.8353	0.8248	0.7877	0.7787	0.7857	0.7725	0.7134	0.6803	0.7094	0.7633	0.7300	0.7101	0.7384	0.7427	0.7482	0.7289	0.7452	0.7294	0.7777	0.7825	0.8511	0.8262	0.5889	0.6770	0.6524
