#plotCorrelation --outFileCorMatrix
	'HSF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'
'HSF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	1.0000	0.9361	0.9313	0.7709	0.8326	0.8427	0.8804	0.4176	0.4897	0.5376	0.5495	0.5682	0.6874	0.6800	0.7055	0.7120	0.6139	0.5550	0.4955	0.5788	0.4714	0.4623	0.4771	0.4876	0.5492	0.5966	0.6254	0.5181	0.4875	0.5572	0.3551	0.3384	0.2946	0.3473	0.4396	0.6831	0.1792	0.2325	0.3327	0.2369	0.0729	0.1982
'SREBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.9361	1.0000	0.9340	0.8217	0.8537	0.8705	0.9009	0.4527	0.5312	0.5905	0.6041	0.6277	0.7154	0.7091	0.7337	0.7355	0.6582	0.5971	0.5326	0.6063	0.5118	0.5147	0.5142	0.5253	0.5739	0.6207	0.6463	0.5435	0.5149	0.6025	0.3762	0.3676	0.3371	0.3823	0.4787	0.6923	0.2301	0.2565	0.3446	0.2805	0.0804	0.2198
'CEBPZ-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.9313	0.9340	1.0000	0.8099	0.8599	0.8841	0.8960	0.4235	0.5070	0.5993	0.6166	0.6348	0.7144	0.7139	0.7178	0.7246	0.6482	0.5854	0.5240	0.5958	0.5062	0.4972	0.4983	0.5150	0.5542	0.6067	0.6291	0.5470	0.5115	0.5742	0.3545	0.3412	0.3084	0.3709	0.4745	0.6797	0.2057	0.2497	0.3470	0.2713	0.0826	0.2439
'JUND-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.7709	0.8217	0.8099	1.0000	0.8456	0.9063	0.8823	0.5637	0.6456	0.8130	0.7979	0.8460	0.7605	0.7602	0.7392	0.7505	0.8084	0.7300	0.6590	0.6582	0.6274	0.6980	0.6822	0.6718	0.6083	0.6513	0.6500	0.5968	0.6064	0.6057	0.5124	0.4620	0.5186	0.5436	0.6189	0.5956	0.3147	0.3488	0.4433	0.4826	0.0952	0.2290
'MAFK-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.8326	0.8537	0.8599	0.8456	1.0000	0.8899	0.8897	0.5283	0.5777	0.7180	0.7294	0.7498	0.7680	0.7623	0.7610	0.7590	0.7499	0.6811	0.6347	0.6701	0.6028	0.6256	0.6144	0.6089	0.6125	0.6614	0.6671	0.6099	0.5870	0.6020	0.4587	0.4313	0.4385	0.4840	0.5717	0.6389	0.2684	0.3100	0.4107	0.3888	0.0883	0.2099
'CEBPB-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.8427	0.8705	0.8841	0.9063	0.8899	1.0000	0.9198	0.5433	0.5934	0.7978	0.7922	0.8181	0.7945	0.7918	0.7711	0.7767	0.7912	0.7062	0.6617	0.6732	0.6168	0.6683	0.6453	0.6342	0.6188	0.6658	0.6703	0.6219	0.6141	0.6214	0.4804	0.4377	0.4719	0.5108	0.6083	0.6475	0.3017	0.3397	0.4394	0.4439	0.1013	0.2075
'ESRRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.8804	0.9009	0.8960	0.8823	0.8897	0.9198	1.0000	0.5893	0.6243	0.7417	0.7584	0.7801	0.8149	0.8086	0.8219	0.8158	0.8023	0.7414	0.6851	0.7345	0.6528	0.6793	0.6684	0.6700	0.6722	0.7218	0.7273	0.6560	0.6256	0.6468	0.5135	0.4893	0.4892	0.5193	0.6098	0.6714	0.2832	0.3356	0.4422	0.4058	0.1004	0.2286
'RUNX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4176	0.4527	0.4235	0.5637	0.5283	0.5433	0.5893	1.0000	0.7736	0.5580	0.6185	0.6805	0.6761	0.6672	0.7331	0.7609	0.8273	0.8231	0.7921	0.8054	0.6736	0.7384	0.7601	0.7179	0.8602	0.8214	0.8111	0.7180	0.6821	0.4925	0.6800	0.5430	0.5670	0.6042	0.5901	0.3550	0.2566	0.3303	0.3144	0.3841	0.0847	0.0946
'BATF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4897	0.5312	0.5070	0.6456	0.5777	0.5934	0.6243	0.7736	1.0000	0.5332	0.5987	0.6726	0.6480	0.6469	0.6644	0.7292	0.8520	0.8110	0.6824	0.7074	0.6025	0.6627	0.6927	0.6217	0.7967	0.7682	0.7549	0.6367	0.6254	0.4676	0.5845	0.4398	0.4076	0.5335	0.5412	0.3842	0.2327	0.2858	0.2789	0.3177	0.0846	0.1214
'MYC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5376	0.5905	0.5993	0.8130	0.7180	0.7978	0.7417	0.5580	0.5332	1.0000	0.8534	0.8680	0.7256	0.7181	0.6907	0.6620	0.7933	0.6996	0.6982	0.6450	0.6486	0.7649	0.7023	0.7054	0.5325	0.5785	0.5575	0.5869	0.6122	0.5679	0.5435	0.5170	0.6486	0.6055	0.6615	0.4494	0.3640	0.3992	0.4712	0.6034	0.1120	0.1913
