#plotCorrelation --outFileCorMatrix
	'HSF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'
'HSF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	1.0000	0.7985	0.8206	0.8120	0.0376	0.1564	0.2238	0.1248	0.3449	0.3333	0.3703	0.3492	0.3005	0.2747	0.3144	0.3113	0.2902	0.3014	0.2340	0.2068	0.2094	0.1576	0.1963	0.2869	0.3267	0.3970	0.4422	0.4734	0.5271	0.6016	0.5845	0.5895	0.5143	0.5021	0.5319	0.4596	0.5143	0.5039	0.4370	0.6652	0.6297	0.6730
'CEBPZ-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.7985	1.0000	0.8083	0.8102	0.1777	0.2924	0.3454	0.2543	0.4598	0.4512	0.5087	0.4854	0.4397	0.4159	0.4493	0.4477	0.4309	0.4479	0.3804	0.3603	0.3625	0.3054	0.3339	0.4042	0.4451	0.5091	0.5395	0.5743	0.6216	0.6783	0.6765	0.6761	0.5952	0.5830	0.6420	0.5637	0.6244	0.6206	0.5686	0.7257	0.7149	0.7396
'SREBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.8206	0.8083	1.0000	0.8171	0.1242	0.2400	0.2984	0.2035	0.4125	0.4025	0.4502	0.4297	0.3805	0.3562	0.3949	0.3915	0.3741	0.3864	0.3221	0.2983	0.2984	0.2467	0.2783	0.3563	0.3912	0.4709	0.4964	0.5297	0.5787	0.6427	0.6331	0.6375	0.5601	0.5474	0.5964	0.5187	0.5738	0.5668	0.5118	0.7067	0.6812	0.7204
'SREBF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.8120	0.8102	0.8171	1.0000	0.1469	0.2678	0.3119	0.2204	0.4307	0.4193	0.4761	0.4534	0.4037	0.3803	0.4194	0.4158	0.3995	0.4126	0.3474	0.3288	0.3283	0.2729	0.3001	0.3756	0.4194	0.4923	0.5113	0.5487	0.5975	0.6518	0.6486	0.6520	0.5705	0.5576	0.6186	0.5358	0.5947	0.5870	0.5360	0.7228	0.7001	0.7363
'USF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.0376	0.1777	0.1242	0.1469	1.0000	0.8266	0.8133	0.8732	0.7046	0.6996	0.7720	0.7689	0.8030	0.8258	0.7892	0.7877	0.8203	0.8221	0.8651	0.8600	0.8478	0.8695	0.8515	0.7163	0.6696	0.6960	0.5834	0.5794	0.5388	0.4754	0.5232	0.5203	0.5066	0.5066	0.6145	0.6160	0.5997	0.6469	0.6775	0.4060	0.4976	0.4499
'MYC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1564	0.2924	0.2400	0.2678	0.8266	1.0000	0.7659	0.7902	0.7090	0.7013	0.7972	0.7845	0.7903	0.8108	0.7998	0.7943	0.8188	0.8263	0.8457	0.8590	0.8421	0.8364	0.8121	0.7054	0.6915	0.7347	0.6132	0.6245	0.5964	0.5320	0.5826	0.5798	0.5504	0.5474	0.6824	0.6534	0.6490	0.6848	0.7241	0.5093	0.5865	0.5487
'ZEB1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.2238	0.3454	0.2984	0.3119	0.8133	0.7659	1.0000	0.8590	0.7607	0.7567	0.7982	0.7945	0.8461	0.8400	0.7961	0.8034	0.8289	0.8317	0.8484	0.8209	0.8154	0.8242	0.8291	0.7436	0.6769	0.7081	0.6805	0.6638	0.6374	0.6245	0.6473	0.6454	0.6245	0.6260	0.6762	0.7071	0.6962	0.7543	0.7321	0.5106	0.5983	0.5624
'ELF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1248	0.2543	0.2035	0.2204	0.8732	0.7902	0.8590	1.0000	0.7671	0.7624	0.7894	0.7924	0.8632	0.8549	0.7986	0.8085	0.8383	0.8439	0.8766	0.8379	0.8372	0.8589	0.8600	0.7544	0.6759	0.6915	0.6690	0.6357	0.6020	0.5768	0.6064	0.6001	0.5885	0.5957	0.6357	0.6958	0.6621	0.7324	0.7046	0.4422	0.5377	0.4986
'STAT5A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3449	0.4598	0.4125	0.4307	0.7046	0.7090	0.7607	0.7671	1.0000	0.8141	0.8334	0.8170	0.8511	0.8295	0.8034	0.8124	0.8177	0.8355	0.8175	0.7914	0.7831	0.7738	0.7873	0.7264	0.6841	0.7073	0.7747	0.7373	0.7199	0.7292	0.7511	0.7400	0.7228	0.7322	0.7320	0.7924	0.7817	0.8470	0.7984	0.5937	0.6787	0.6522
'RUNX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3333	0.4512	0.4025	0.4193	0.6996	0.7013	0.7567	0.7624	0.8141	1.0000	0.8475	0.8286	0.8616	0.8292	0.8133	0.8248	0.8241	0.8342	0.8235	0.7858	0.7766	0.7709	0.7840	0.7144	0.6783	0.7061	0.7622	0.7285	0.7079	0.7370	0.7465	0.7408	0.7269	0.7428	0.7264	0.7768	0.7815	0.8501	0.8243	0.5845	0.6738	0.6491
