#plotCorrelation --outFileCorMatrix
	'UBTF-human_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_Aligned.sortedByCoord.out.autosomes.bam'	'HSF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_Aligned.sortedByCoord.out.autosomes.bam'
'UBTF-human_Aligned.sortedByCoord.out.autosomes.bam'	1.0000	0.3480	0.5160	0.5312	0.6763	0.6621	0.6458	0.7302	0.5635	0.5793	0.5847	0.6167	0.5967	0.6504	0.6781	0.7002	0.5520	0.3882	0.3146	0.4405	0.4304	0.4482	0.7712	0.5966	0.5151	0.5595	0.6095	0.6578	0.6058	0.5977	0.7487	0.6609	0.3787	0.5304	0.2800	0.1117	0.3456	0.1484	0.2911	0.2289	0.2035	0.1878
'PBX3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3480	1.0000	0.4054	0.5237	0.4281	0.4317	0.6316	0.5329	0.4629	0.4618	0.4964	0.4882	0.4641	0.4789	0.5031	0.4704	0.4400	0.4262	0.4092	0.3968	0.4500	0.3970	0.4760	0.4621	0.4430	0.4386	0.4570	0.4541	0.4630	0.4540	0.4765	0.4785	0.3603	0.3786	0.2986	0.2537	0.3463	0.3027	0.3718	0.3712	0.3384	0.3454
'CTCF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5160	0.4054	1.0000	0.6589	0.6939	0.6359	0.6404	0.6687	0.6753	0.7019	0.7218	0.7586	0.7565	0.7075	0.7400	0.7191	0.6227	0.6445	0.7060	0.6154	0.6415	0.6843	0.7045	0.7732	0.7632	0.7423	0.7682	0.7512	0.7762	0.7656	0.7530	0.7673	0.5450	0.6044	0.4071	0.3549	0.5362	0.4306	0.5510	0.5453	0.4909	0.4794
'SP1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5312	0.5237	0.6589	1.0000	0.7069	0.7373	0.6840	0.7203	0.7867	0.7979	0.7900	0.8148	0.8351	0.8219	0.8430	0.8148	0.7715	0.7711	0.7421	0.7311	0.7276	0.7007	0.7956	0.8026	0.7692	0.7606	0.7872	0.7798	0.8048	0.7806	0.8045	0.8144	0.6529	0.6207	0.5268	0.5336	0.6683	0.5893	0.6793	0.6742	0.6363	0.6036
'USF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6763	0.4281	0.6939	0.7069	1.0000	0.7602	0.7231	0.7831	0.7247	0.7210	0.7707	0.7739	0.7634	0.7749	0.8210	0.7978	0.6532	0.6269	0.6972	0.6132	0.6787	0.6663	0.7772	0.7825	0.7628	0.7317	0.7835	0.7811	0.8130	0.8062	0.8243	0.8331	0.5651	0.6598	0.4393	0.3394	0.5508	0.4027	0.5179	0.5281	0.4546	0.4590
'ELF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6621	0.4317	0.6359	0.7373	0.7602	1.0000	0.7376	0.8064	0.7926	0.7533	0.7959	0.7694	0.7210	0.7846	0.8326	0.8093	0.7764	0.7275	0.6343	0.5977	0.6858	0.5867	0.7124	0.7032	0.6522	0.6432	0.6896	0.6980	0.7172	0.7036	0.7718	0.7679	0.6067	0.6209	0.5690	0.4790	0.5996	0.4845	0.5935	0.6393	0.5543	0.5583
'TCF3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6458	0.6316	0.6404	0.6840	0.7231	0.7376	1.0000	0.7882	0.7810	0.7396	0.7573	0.7607	0.7373	0.8018	0.8143	0.8331	0.7322	0.6630	0.6011	0.6490	0.7132	0.6103	0.7246	0.7246	0.6863	0.6761	0.7196	0.7208	0.7311	0.7297	0.7772	0.7776	0.5363	0.6069	0.4624	0.4368	0.5843	0.4863	0.5935	0.5930	0.5491	0.5484
'ZEB1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.7302	0.5329	0.6687	0.7203	0.7831	0.8064	0.7882	1.0000	0.7716	0.7971	0.8230	0.8064	0.7737	0.8254	0.8562	0.8412	0.7434	0.6806	0.6481	0.6480	0.7152	0.6560	0.8077	0.7777	0.7339	0.7289	0.7730	0.7819	0.7837	0.7816	0.8380	0.8338	0.5779	0.6535	0.4821	0.4138	0.5935	0.4614	0.5882	0.5828	0.5210	0.5149
'POU2F2-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5635	0.4629	0.6753	0.7867	0.7247	0.7926	0.7810	0.7716	1.0000	0.8598	0.8321	0.8806	0.8597	0.9345	0.8985	0.8753	0.9214	0.8512	0.7522	0.7774	0.8173	0.7195	0.7881	0.8338	0.7964	0.7861	0.8196	0.8058	0.8193	0.8050	0.8630	0.8599	0.6449	0.6467	0.5599	0.5758	0.6655	0.6534	0.7632	0.7803	0.7672	0.7637
'MEF2C-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5793	0.4618	0.7019	0.7979	0.7210	0.7533	0.7396	0.7971	0.8598	1.0000	0.8712	0.9382	0.9067	0.9256	0.8989	0.8870	0.9081	0.9036	0.8700	0.8515	0.8328	0.7983	0.8432	0.8855	0.8358	0.8651	0.8657	0.8672	0.8307	0.8288	0.8571	0.8716	0.6955	0.6538	0.5658	0.6475	0.7171	0.7647	0.8940	0.7993	0.8051	0.7548
