#plotCorrelation --outFileCorMatrix
	'HSF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_Aligned.sortedByCoord.out.autosomes.bam'
'HSF1-human_Aligned.sortedByCoord.out.autosomes.bam'	1.0000	0.8222	0.8342	0.8423	0.5886	0.5312	0.5786	0.5732	0.5098	0.5185	0.5423	0.5880	0.6555	0.6435	0.6397	0.5798	0.5703	0.7051	0.6750	0.7128	0.1620	0.4343	0.4531	0.4050	0.3707	0.3993	0.4018	0.3841	0.3942	0.4355	0.4272	0.2651	0.3368	0.3099	0.3113	0.3030	0.2686	0.3280	0.2483	0.3782	0.4090	0.4705
'CEBPZ-human_Aligned.sortedByCoord.out.autosomes.bam'	0.8222	1.0000	0.8323	0.8309	0.6858	0.6251	0.6769	0.6772	0.6267	0.6058	0.6314	0.6714	0.7243	0.7208	0.7216	0.6522	0.6425	0.7595	0.7508	0.7717	0.2864	0.5557	0.5758	0.5249	0.4965	0.5236	0.5226	0.5091	0.5244	0.5377	0.5324	0.3858	0.4667	0.4457	0.4471	0.4251	0.3994	0.4360	0.3635	0.4821	0.5142	0.5704
'SREBF2-human_Aligned.sortedByCoord.out.autosomes.bam'	0.8342	0.8323	1.0000	0.8389	0.6653	0.5999	0.6501	0.6474	0.5977	0.5805	0.6093	0.6503	0.7009	0.6988	0.6973	0.6298	0.6201	0.7561	0.7381	0.7690	0.2592	0.5275	0.5471	0.4984	0.4652	0.4917	0.4951	0.4815	0.4933	0.5119	0.5037	0.3643	0.4376	0.4181	0.4165	0.3954	0.3706	0.4067	0.3339	0.4567	0.4911	0.5553
'SREBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.8423	0.8309	0.8389	1.0000	0.6460	0.5841	0.6316	0.6298	0.5762	0.5673	0.5920	0.6341	0.6926	0.6869	0.6836	0.6214	0.6116	0.7422	0.7213	0.7550	0.2392	0.5064	0.5244	0.4765	0.4436	0.4708	0.4735	0.4592	0.4697	0.4954	0.4894	0.3401	0.4152	0.3910	0.3905	0.3758	0.3474	0.3939	0.3188	0.4391	0.4666	0.5374
'CEBPB-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5886	0.6858	0.6653	0.6460	1.0000	0.7891	0.8215	0.8455	0.8385	0.7590	0.7754	0.7805	0.7768	0.8041	0.8071	0.7485	0.7444	0.7789	0.8254	0.8123	0.6678	0.8213	0.8467	0.8111	0.7978	0.8066	0.8070	0.8106	0.8224	0.7751	0.7717	0.7269	0.7935	0.7931	0.7821	0.7491	0.7475	0.7236	0.6951	0.7159	0.7409	0.8016
'BCL3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5312	0.6251	0.5999	0.5841	0.7891	1.0000	0.8267	0.8755	0.8331	0.8257	0.7874	0.7916	0.8032	0.8111	0.8180	0.7813	0.7922	0.7018	0.7636	0.7461	0.6680	0.8297	0.8403	0.8004	0.8204	0.8304	0.8165	0.8095	0.8324	0.8213	0.8083	0.7010	0.8018	0.7789	0.7755	0.7823	0.7515	0.7475	0.7406	0.7660	0.7167	0.7400
'ATF3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5786	0.6769	0.6501	0.6316	0.8215	0.8267	1.0000	0.9027	0.8573	0.8063	0.8167	0.8236	0.8375	0.8499	0.8664	0.7991	0.7973	0.7526	0.8099	0.7965	0.6542	0.8289	0.8538	0.8130	0.8225	0.8495	0.8170	0.8153	0.8304	0.8129	0.8132	0.6977	0.7945	0.7792	0.7774	0.7560	0.7473	0.7381	0.7127	0.7335	0.7474	0.7539
'BCLAF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5732	0.6772	0.6474	0.6298	0.8455	0.8755	0.9027	1.0000	0.8999	0.8608	0.8475	0.8455	0.8791	0.8832	0.8956	0.8419	0.8405	0.7594	0.8279	0.8130	0.6964	0.8800	0.9031	0.8559	0.8651	0.9062	0.8678	0.8642	0.8823	0.8687	0.8716	0.7298	0.8465	0.8162	0.8119	0.8067	0.7879	0.7881	0.7719	0.7773	0.7730	0.7818
'BATF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5098	0.6267	0.5977	0.5762	0.8385	0.8331	0.8573	0.8999	1.0000	0.7972	0.8045	0.8001	0.8100	0.8271	0.8265	0.7905	0.7901	0.7381	0.8079	0.7906	0.7211	0.9027	0.9260	0.8744	0.8576	0.8821	0.8870	0.8772	0.8877	0.8281	0.8524	0.7616	0.8678	0.8510	0.8414	0.8144	0.8098	0.7687	0.7502	0.7656	0.7698	0.8129
'NFATC1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5185	0.6058	0.5805	0.5673	0.7590	0.8257	0.8063	0.8608	0.7972	1.0000	0.7685	0.7651	0.7890	0.7878	0.7998	0.7727	0.7779	0.6751	0.7371	0.7192	0.6404	0.7935	0.8070	0.7689	0.7898	0.8109	0.7763	0.7770	0.8004	0.8060	0.7949	0.6671	0.7650	0.7427	0.7378	0.7433	0.7199	0.7236	0.7156	0.7197	0.6770	0.7036
