#plotCorrelation --outFileCorMatrix
	'HSF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'
'HSF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	1.0000	0.8220	0.8421	0.8344	0.5392	0.5149	0.5278	0.5848	0.6526	0.6373	0.6411	0.5766	0.5669	0.5868	0.5749	0.5697	0.5062	0.7046	0.6741	0.7118	0.1556	0.4491	0.4302	0.3942	0.3661	0.4007	0.3977	0.3796	0.3897	0.4310	0.4229	0.2603	0.3315	0.3046	0.3064	0.2632	0.2976	0.3226	0.2417	0.3758	0.4062	0.4677
'CEBPZ-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.8220	1.0000	0.8302	0.8319	0.6280	0.6018	0.6214	0.6687	0.7216	0.7186	0.7181	0.6493	0.6391	0.6836	0.6731	0.6735	0.6227	0.7576	0.7490	0.7703	0.2793	0.5710	0.5507	0.5181	0.4912	0.5200	0.5181	0.5042	0.5194	0.5324	0.5274	0.3802	0.4609	0.4401	0.4416	0.3933	0.4197	0.4306	0.3564	0.4801	0.5101	0.5672
'SREBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.8421	0.8302	1.0000	0.8385	0.5888	0.5634	0.5809	0.6312	0.6897	0.6812	0.6842	0.6180	0.6073	0.6439	0.6281	0.6262	0.5729	0.7410	0.7200	0.7536	0.2324	0.5202	0.5021	0.4659	0.4391	0.4726	0.4692	0.4546	0.4655	0.4907	0.4847	0.3348	0.4096	0.3860	0.3852	0.3416	0.3705	0.3888	0.3119	0.4371	0.4630	0.5340
'SREBF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.8344	0.8319	0.8385	1.0000	0.6058	0.5772	0.5963	0.6472	0.6979	0.6944	0.6966	0.6269	0.6166	0.6637	0.6469	0.6437	0.5942	0.7551	0.7365	0.7678	0.2525	0.5426	0.5228	0.4866	0.4602	0.4939	0.4906	0.4769	0.4885	0.5072	0.4994	0.3591	0.4320	0.4128	0.4112	0.3653	0.3899	0.4014	0.3268	0.4545	0.4873	0.5527
'RXRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5392	0.6280	0.5888	0.6058	1.0000	0.7668	0.7853	0.7765	0.7845	0.8082	0.7962	0.7526	0.7477	0.7737	0.8153	0.8465	0.8030	0.7043	0.7577	0.7446	0.6338	0.8056	0.7890	0.8017	0.7822	0.7700	0.7753	0.7770	0.7917	0.7726	0.7663	0.6738	0.7604	0.7461	0.7458	0.7163	0.7272	0.7084	0.6874	0.7083	0.7030	0.7192
'NFATC1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5149	0.6018	0.5634	0.5772	0.7668	1.0000	0.8244	0.7633	0.7880	0.7989	0.7869	0.7708	0.7764	0.7566	0.8056	0.8602	0.7957	0.6717	0.7350	0.7166	0.6377	0.8054	0.7916	0.8106	0.7887	0.7669	0.7745	0.7753	0.7988	0.8048	0.7939	0.6644	0.7633	0.7406	0.7355	0.7176	0.7410	0.7226	0.7137	0.7206	0.6754	0.7011
'BCL3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5278	0.6214	0.5809	0.5963	0.7853	0.8244	1.0000	0.7893	0.8015	0.8166	0.8091	0.7798	0.7906	0.7866	0.8251	0.8743	0.8320	0.6983	0.7617	0.7440	0.6649	0.8389	0.8284	0.8292	0.8185	0.7986	0.8152	0.8079	0.8307	0.8198	0.8073	0.6980	0.8000	0.7765	0.7732	0.7489	0.7802	0.7454	0.7380	0.7671	0.7145	0.7372
'SIX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5848	0.6687	0.6312	0.6472	0.7765	0.7633	0.7893	1.0000	0.7979	0.8218	0.8080	0.7560	0.7521	0.7780	0.8217	0.8441	0.7981	0.7250	0.7722	0.7628	0.5973	0.7923	0.7730	0.7806	0.7625	0.7519	0.7584	0.7550	0.7722	0.7583	0.7489	0.6472	0.7350	0.7209	0.7241	0.6877	0.7024	0.6851	0.6593	0.6977	0.6970	0.7104
'MEF2A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6526	0.7216	0.6897	0.6979	0.7845	0.7880	0.8015	0.7979	1.0000	0.8561	0.8533	0.8006	0.8007	0.7747	0.8368	0.8784	0.8081	0.7387	0.7875	0.7833	0.5424	0.7847	0.7651	0.7794	0.7410	0.7330	0.7449	0.7357	0.7480	0.7655	0.7726	0.5917	0.7062	0.6692	0.6752	0.6412	0.6729	0.6729	0.6346	0.6778	0.6669	0.6862
'ETS1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6373	0.7186	0.6812	0.6944	0.8082	0.7989	0.8166	0.8218	0.8561	1.0000	0.8641	0.8024	0.7982	0.8046	0.8653	0.8948	0.8246	0.7601	0.8085	0.8005	0.5833	0.8107	0.7865	0.8055	0.7753	0.7653	0.7715	0.7660	0.7828	0.7841	0.7814	0.6350	0.7382	0.7146	0.7200	0.6833	0.7045	0.6929	0.6609	0.7047	0.7072	0.7158
