#plotCorrelation --outFileCorMatrix
	'JUND-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'HSF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'
'JUND-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	1.0000	0.8845	0.8998	0.8584	0.7877	0.8669	0.8065	0.5519	0.6386	0.6710	0.8654	0.7687	0.8272	0.7600	0.8069	0.7492	0.7875	0.7708	0.5955	0.7200	0.6637	0.6521	0.7243	0.6890	0.6111	0.6526	0.6668	0.6062	0.6228	0.3621	0.4773	0.4472	0.4192	0.5139	0.5642	0.5454	0.5340	0.5315	0.6357	0.5393	0.3583	0.2862
'ESRRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.8845	1.0000	0.9402	0.9220	0.8763	0.9210	0.9138	0.5950	0.6478	0.6857	0.8243	0.7751	0.8028	0.8280	0.8329	0.8419	0.8539	0.8494	0.6502	0.7610	0.7109	0.7423	0.7357	0.7046	0.6856	0.7372	0.7551	0.6795	0.6617	0.3768	0.4910	0.4100	0.4598	0.5326	0.5678	0.5634	0.5335	0.5291	0.7093	0.5807	0.3442	0.2982
'CEBPB-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.8998	0.9402	1.0000	0.9234	0.8671	0.8924	0.8892	0.5491	0.6181	0.6782	0.8509	0.7902	0.8415	0.8068	0.8167	0.7842	0.8382	0.8178	0.6023	0.7245	0.6856	0.6791	0.7152	0.6785	0.6365	0.6837	0.7035	0.6445	0.6492	0.3659	0.4896	0.4311	0.4084	0.5030	0.5517	0.5185	0.5335	0.4984	0.6959	0.5225	0.3590	0.2852
'MAFK-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.8584	0.9220	0.9234	1.0000	0.8530	0.8837	0.8830	0.5437	0.6114	0.6534	0.8023	0.7503	0.7830	0.7921	0.7906	0.7856	0.8203	0.8083	0.6069	0.7139	0.6702	0.6877	0.6893	0.6598	0.6375	0.6890	0.7080	0.6423	0.6324	0.3551	0.4679	0.3963	0.4117	0.4888	0.5368	0.5121	0.5079	0.4791	0.6873	0.5225	0.3315	0.2847
'CEBPZ-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.7877	0.8763	0.8671	0.8530	1.0000	0.8869	0.9009	0.4315	0.5197	0.5442	0.6738	0.6352	0.6613	0.7109	0.6711	0.7095	0.7381	0.7356	0.5050	0.6014	0.5503	0.5915	0.5566	0.5355	0.5558	0.6078	0.6366	0.5567	0.5388	0.4370	0.3917	0.3013	0.3321	0.3817	0.4190	0.6112	0.4109	0.3675	0.6679	0.4787	0.2654	0.2919
'SREBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.8669	0.9210	0.8924	0.8837	0.8869	1.0000	0.9390	0.4696	0.5619	0.5694	0.7079	0.6525	0.6838	0.7462	0.7113	0.7782	0.7613	0.7703	0.5318	0.6340	0.5745	0.6272	0.5970	0.5710	0.5898	0.6381	0.6732	0.5726	0.5599	0.3131	0.4053	0.3241	0.3659	0.4100	0.4455	0.4760	0.4335	0.4117	0.7081	0.6104	0.2939	0.2867
'HSF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.8065	0.9138	0.8892	0.8830	0.9009	0.9390	1.0000	0.4489	0.5376	0.5440	0.6639	0.6213	0.6484	0.7318	0.6832	0.7413	0.7545	0.7687	0.5061	0.6119	0.5562	0.6120	0.5548	0.5482	0.5824	0.6324	0.6708	0.5649	0.5493	0.3029	0.4043	0.2914	0.3502	0.4002	0.4219	0.4412	0.4132	0.3688	0.7123	0.4990	0.2572	0.2765
'RUNX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5519	0.5950	0.5491	0.5437	0.4315	0.4696	0.4489	1.0000	0.7735	0.6425	0.6929	0.6231	0.5875	0.6679	0.8294	0.7301	0.6938	0.7672	0.6684	0.8244	0.8083	0.8093	0.7762	0.7778	0.8653	0.8262	0.8227	0.7370	0.7009	0.3340	0.3494	0.3669	0.5088	0.6948	0.6466	0.5800	0.5150	0.5914	0.4008	0.4059	0.2952	0.1386
'BATF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6386	0.6478	0.6181	0.6114	0.5197	0.5619	0.5376	0.7735	1.0000	0.5958	0.6948	0.6094	0.5751	0.6530	0.8547	0.6747	0.6835	0.7496	0.6063	0.8159	0.7057	0.7180	0.7021	0.7156	0.8073	0.7792	0.7768	0.6650	0.6526	0.3034	0.3213	0.3106	0.4095	0.5989	0.5739	0.4987	0.4477	0.4369	0.4300	0.3961	0.2757	0.1729
'SRF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6710	0.6857	0.6782	0.6534	0.5442	0.5694	0.5440	0.6425	0.5958	1.0000	0.7629	0.7138	0.7343	0.7237	0.7677	0.7337	0.7341	0.7274	0.6388	0.7148	0.7314	0.7143	0.7529	0.7049	0.6410	0.6728	0.6685	0.6522	0.6420	0.4044	0.4472	0.4584	0.5042	0.5619	0.6312	0.5668	0.6130	0.6623	0.4596	0.4687	0.3545	0.2132
'EP300-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.8654	0.8243	0.8509	0.8023	0.6738	0.7079	0.6639	0.6929	0.6948	0.7629	1.0000	0.8623	0.8900	0.7993	0.8939	0.7941	0.8469	0.8139	0.7240	0.8369	0.8068	0.7716	0.8629	0.8231	0.7033	0.7440	0.7356	0.7216	0.7214	0.4146	0.5038	0.5185	0.4973	0.6292	0.7086	0.6062	0.6208	0.6462	0.5649	0.5094	0.4110	0.2646
'ZBTB33-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.7687	0.7751	0.7902	0.7503	0.6352	0.6525	0.6213	0.6231	0.6094	0.7138	0.8623	1.0000	0.8378	0.7430	0.8200	0.7704	0.7970	0.7458	0.7592	0.7984	0.7708	0.7640	0.8098	0.7464	0.6281	0.7095	0.6716	0.7100	0.6867	0.4064	0.4841	0.4926	0.5040	0.5505	0.6773	0.5755	0.5884	0.6353	0.5167	0.5007	0.3859	0.2429
'MYC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.8272	0.8028	0.8415	0.7830	0.6613	0.6838	0.6484	0.5875	0.5751	0.7343	0.8900	0.8378	1.0000	0.7644	0.8301	0.7417	0.7826	0.7321	0.6311	0.7274	0.7329	0.6740	0.8117	0.7383	0.5812	0.6264	0.6222	0.6295	0.6580	0.4079	0.5165	0.5546	0.4867	0.5733	0.6407	0.5984	0.6125	0.6628	0.5474	0.5172	0.4145	0.2586
'ATF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.7600	0.8280	0.8068	0.7921	0.7109	0.7462	0.7318	0.6679	0.6530	0.7237	0.7993	0.7430	0.7644	1.0000	0.8355	0.8412	0.8448	0.8408	0.6180	0.7376	0.7642	0.7665	0.7529	0.7125	0.7349	0.7527	0.7731	0.7087	0.6813	0.3814	0.5399	0.6131	0.5219	0.5585	0.5784	0.5799	0.5859	0.6167	0.5795	0.5736	0.3504	0.2305
'IRF4-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.8069	0.8329	0.8167	0.7906	0.6711	0.7113	0.6832	0.8294	0.8547	0.7677	0.8939	0.8200	0.8301	0.8355	1.0000	0.8476	0.8566	0.8739	0.7302	0.8980	0.8602	0.8504	0.8823	0.8517	0.8427	0.8520	0.8438	0.7821	0.7743	0.4095	0.4971	0.4776	0.5444	0.7136	0.6999	0.6502	0.6108	0.6478	0.5675	0.5429	0.3901	0.2254
'ETS1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.7492	0.8419	0.7842	0.7856	0.7095	0.7782	0.7413	0.7301	0.6747	0.7337	0.7941	0.7704	0.7417	0.8412	0.8476	1.0000	0.8626	0.8725	0.7866	0.8262	0.8268	0.8962	0.8054	0.7693	0.7753	0.8375	0.8331	0.7930	0.7230	0.4028	0.4443	0.4322	0.6060	0.5825	0.6776	0.6317	0.5900	0.7033	0.6250	0.7290	0.3493	0.2281
'RXRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.7875	0.8539	0.8382	0.8203	0.7381	0.7613	0.7545	0.6938	0.6835	0.7341	0.8469	0.7970	0.7826	0.8448	0.8566	0.8626	1.0000	0.8703	0.7312	0.8184	0.8253	0.8433	0.7948	0.7603	0.7621	0.8163	0.8123	0.7944	0.7482	0.4127	0.4924	0.4429	0.5168	0.5739	0.6561	0.5820	0.5812	0.6132	0.6103	0.5308	0.3631	0.2595
'MEF2C-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.7708	0.8494	0.8178	0.8083	0.7356	0.7703	0.7687	0.7672	0.7496	0.7274	0.8139	0.7458	0.7321	0.8408	0.8739	0.8725	0.8703	1.0000	0.7141	0.8441	0.8241	0.8538	0.7851	0.7809	0.8464	0.8640	0.9326	0.7877	0.7513	0.3876	0.4504	0.4064	0.5193	0.6175	0.6539	0.5899	0.6100	0.5900	0.6151	0.5142	0.3404	0.2471
'POU2F2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5955	0.6502	0.6023	0.6069	0.5050	0.5318	0.5061	0.6684	0.6063	0.6388	0.7240	0.7592	0.6311	0.6180	0.7302	0.7866	0.7312	0.7141	1.0000	0.8741	0.7966	0.8996	0.7795	0.7508	0.6740	0.8039	0.7208	0.8022	0.7015	0.3890	0.3672	0.3820	0.5182	0.5344	0.7630	0.5558	0.5377	0.6296	0.4089	0.4291	0.3093	0.1780
'BCL11A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.7200	0.7610	0.7245	0.7139	0.6014	0.6340	0.6119	0.8244	0.8159	0.7148	0.8369	0.7984	0.7274	0.7376	0.8980	0.8262	0.8184	0.8441	0.8741	1.0000	0.8618	0.9022	0.8653	0.8582	0.8328	0.8847	0.8482	0.8342	0.7820	0.4037	0.4092	0.4228	0.5293	0.6836	0.7664	0.6073	0.5814	0.6211	0.4915	0.4658	0.3504	0.2190
'STAT5A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6637	0.7109	0.6856	0.6702	0.5503	0.5745	0.5562	0.8083	0.7057	0.7314	0.8068	0.7708	0.7329	0.7642	0.8602	0.8268	0.8253	0.8241	0.7966	0.8618	1.0000	0.9086	0.8385	0.8105	0.8307	0.8635	0.8240	0.8905	0.8373	0.4165	0.4394	0.4574	0.5574	0.6552	0.7353	0.6068	0.6018	0.6848	0.4770	0.4741	0.3621	0.1811
'BCLAF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6521	0.7423	0.6791	0.6877	0.5915	0.6272	0.6120	0.8093	0.7180	0.7143	0.7716	0.7640	0.6740	0.7665	0.8504	0.8962	0.8433	0.8538	0.8996	0.9022	0.9086	1.0000	0.8309	0.8113	0.8472	0.9227	0.8731	0.9051	0.7930	0.4027	0.4201	0.4010	0.5853	0.6318	0.7441	0.6136	0.5773	0.6830	0.5088	0.5158	0.3325	0.1957
'PAX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.7243	0.7357	0.7152	0.6893	0.5566	0.5970	0.5548	0.7762	0.7021	0.7529	0.8629	0.8098	0.8117	0.7529	0.8823	0.8054	0.7948	0.7851	0.7795	0.8653	0.8385	0.8309	1.0000	0.8509	0.7359	0.7796	0.7519	0.7481	0.7333	0.4424	0.4771	0.5152	0.5575	0.7027	0.7552	0.6610	0.6308	0.7200	0.4867	0.5111	0.3913	0.2121
'TCF12-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6890	0.7046	0.6785	0.6598	0.5355	0.5710	0.5482	0.7778	0.7156	0.7049	0.8231	0.7464	0.7383	0.7125	0.8517	0.7693	0.7603	0.7809	0.7508	0.8582	0.8105	0.8113	0.8509	1.0000	0.7505	0.7845	0.7632	0.7280	0.7284	0.3893	0.4349	0.4576	0.5260	0.7354	0.8101	0.6177	0.5997	0.6574	0.4607	0.4524	0.3529	0.2291
'NFIC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6111	0.6856	0.6365	0.6375	0.5558	0.5898	0.5824	0.8653	0.8073	0.6410	0.7033	0.6281	0.5812	0.7349	0.8427	0.7753	0.7621	0.8464	0.6740	0.8328	0.8307	0.8472	0.7359	0.7505	1.0000	0.9003	0.9034	0.8114	0.7663	0.3403	0.3306	0.3402	0.4823	0.6409	0.6196	0.5507	0.4923	0.5183	0.4599	0.4309	0.2835	0.1674
'ATF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6526	0.7372	0.6837	0.6890	0.6078	0.6381	0.6324	0.8262	0.7792	0.6728	0.7440	0.7095	0.6264	0.7527	0.8520	0.8375	0.8163	0.8640	0.8039	0.8847	0.8635	0.9227	0.7796	0.7845	0.9003	1.0000	0.9010	0.8663	0.7965	0.3702	0.3693	0.3546	0.5252	0.6368	0.6782	0.5741	0.5254	0.5697	0.5030	0.4618	0.3051	0.1841
'MEF2A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6668	0.7551	0.7035	0.7080	0.6366	0.6732	0.6708	0.8227	0.7768	0.6685	0.7356	0.6716	0.6222	0.7731	0.8438	0.8331	0.8123	0.9326	0.7208	0.8482	0.8240	0.8731	0.7519	0.7632	0.9034	0.9010	1.0000	0.8056	0.7393	0.3588	0.3800	0.3474	0.5038	0.6205	0.6428	0.5654	0.5268	0.5456	0.5353	0.4708	0.2976	0.1982
'NFATC1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6062	0.6795	0.6445	0.6423	0.5567	0.5726	0.5649	0.7370	0.6650	0.6522	0.7216	0.7100	0.6295	0.7087	0.7821	0.7930	0.7944	0.7877	0.8022	0.8342	0.8905	0.9051	0.7481	0.7280	0.8114	0.8663	0.8056	1.0000	0.8495	0.3872	0.3578	0.3683	0.4945	0.5624	0.6803	0.5283	0.5204	0.5813	0.4464	0.4384	0.3068	0.1724
'BCL3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6228	0.6617	0.6492	0.6324	0.5388	0.5599	0.5493	0.7009	0.6526	0.6420	0.7214	0.6867	0.6580	0.6813	0.7743	0.7230	0.7482	0.7513	0.7015	0.7820	0.8373	0.7930	0.7333	0.7284	0.7663	0.7965	0.7393	0.8495	1.0000	0.4160	0.3650	0.3917	0.4558	0.6010	0.6973	0.5216	0.5487	0.5624	0.4336	0.4228	0.3076	0.1786
'PBX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3621	0.3768	0.3659	0.3551	0.4370	0.3131	0.3029	0.3340	0.3034	0.4044	0.4146	0.4064	0.4079	0.3814	0.4095	0.4028	0.4127	0.3876	0.3890	0.4037	0.4165	0.4027	0.4424	0.3893	0.3403	0.3702	0.3588	0.3872	0.4160	1.0000	0.2539	0.2663	0.2823	0.3011	0.5584	0.5894	0.4257	0.3672	0.2428	0.2575	0.2009	0.1152
'CTCF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4773	0.4910	0.4896	0.4679	0.3917	0.4053	0.4043	0.3494	0.3213	0.4472	0.5038	0.4841	0.5165	0.5399	0.4971	0.4443	0.4924	0.4504	0.3672	0.4092	0.4394	0.4201	0.4771	0.4349	0.3306	0.3693	0.3800	0.3578	0.3650	0.2539	1.0000	0.3145	0.3094	0.3392	0.3904	0.3410	0.3893	0.4166	0.3322	0.2812	0.2439	0.1365
'USF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4472	0.4100	0.4311	0.3963	0.3013	0.3241	0.2914	0.3669	0.3106	0.4584	0.5185	0.4926	0.5546	0.6131	0.4776	0.4322	0.4429	0.4064	0.3820	0.4228	0.4574	0.4010	0.5152	0.4576	0.3402	0.3546	0.3474	0.3683	0.3917	0.2663	0.3145	1.0000	0.3465	0.3625	0.4269	0.3874	0.4099	0.4984	0.2692	0.3026	0.2644	0.1445
