#plotCorrelation --outFileCorMatrix
	'ZEB1-human_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_Aligned.sortedByCoord.out.autosomes.bam'	'HSF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_Aligned.sortedByCoord.out.autosomes.bam'
'ZEB1-human_Aligned.sortedByCoord.out.autosomes.bam'	1.0000	0.4244	0.3964	0.3636	0.4121	0.5743	0.5608	0.4760	0.4474	0.4865	0.4774	0.3408	0.3348	0.3689	0.3841	0.5680	0.5710	0.5369	0.5230	0.4559	0.4803	0.4568	0.4282	0.4533	0.4566	0.5266	0.5511	0.5239	0.5353	0.5356	0.5528	0.5290	0.5387	0.5827	0.5384	0.1485	0.3570	0.2625	0.2554	0.4665	0.3482	0.3685
'EBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4244	1.0000	0.4149	0.3515	0.4972	0.5179	0.5115	0.4889	0.4683	0.4959	0.5253	0.3397	0.3695	0.3878	0.5733	0.6045	0.5473	0.5204	0.6863	0.5452	0.5679	0.6719	0.6203	0.6246	0.5970	0.5299	0.5959	0.5459	0.5753	0.7079	0.6986	0.6344	0.6335	0.6814	0.5899	0.0638	0.1590	0.2655	0.2404	0.3904	0.3056	0.3187
'YY1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3964	0.4149	1.0000	0.5329	0.4647	0.4990	0.5977	0.4287	0.4192	0.4286	0.4817	0.3186	0.3459	0.3719	0.3970	0.5065	0.5070	0.5033	0.5013	0.4876	0.4374	0.5031	0.4790	0.5096	0.4972	0.5425	0.5225	0.5228	0.6269	0.5298	0.5567	0.5925	0.5585	0.5623	0.5471	0.0613	0.1878	0.2781	0.2467	0.3303	0.3117	0.3452
'SIX5-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3636	0.3515	0.5329	1.0000	0.4246	0.4864	0.5356	0.5271	0.5330	0.5483	0.5834	0.4633	0.4955	0.5568	0.4140	0.5428	0.5195	0.5275	0.4649	0.5002	0.4519	0.4613	0.4843	0.5174	0.5202	0.6040	0.5638	0.5865	0.7426	0.5229	0.5660	0.5874	0.5389	0.5210	0.5133	0.0913	0.1764	0.3530	0.2245	0.2985	0.2889	0.2986
'SP1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4121	0.4972	0.4647	0.4246	1.0000	0.5206	0.5774	0.5133	0.4789	0.4981	0.5376	0.6146	0.3969	0.4340	0.4619	0.5777	0.5706	0.5374	0.5674	0.4970	0.4776	0.5562	0.5209	0.5418	0.5313	0.5452	0.5599	0.5500	0.5991	0.5952	0.6205	0.5994	0.5798	0.6299	0.5842	0.0917	0.3346	0.2967	0.2484	0.3520	0.3055	0.3508
'SRF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5743	0.5179	0.4990	0.4864	0.5206	1.0000	0.6500	0.6068	0.5894	0.6278	0.6316	0.4572	0.4580	0.4978	0.5418	0.7109	0.6827	0.6552	0.6363	0.6090	0.5808	0.6039	0.5925	0.6216	0.6142	0.6696	0.6766	0.6801	0.6967	0.6908	0.7189	0.6936	0.6865	0.7114	0.6754	0.1313	0.2731	0.3498	0.3080	0.4481	0.4000	0.4042
'ELF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5608	0.5115	0.5977	0.5356	0.5774	0.6500	1.0000	0.5288	0.4690	0.5057	0.5281	0.3387	0.3355	0.3859	0.4042	0.6468	0.6841	0.6304	0.6159	0.5576	0.5341	0.5712	0.4919	0.5323	0.5146	0.6187	0.5737	0.6034	0.6949	0.6149	0.6420	0.6770	0.6717	0.7121	0.6597	0.1289	0.2254	0.2816	0.3144	0.4287	0.4112	0.4913
'JUND-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4760	0.4889	0.4287	0.5271	0.5133	0.6068	0.5288	1.0000	0.7827	0.8406	0.8226	0.6842	0.7082	0.8126	0.6176	0.8358	0.7655	0.7174	0.6850	0.5790	0.5734	0.5529	0.5861	0.6233	0.6262	0.6855	0.7150	0.7310	0.7004	0.7304	0.7689	0.6556	0.6410	0.7037	0.6579	0.2195	0.1912	0.5069	0.3093	0.4125	0.4084	0.3976
'MAFK-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4474	0.4683	0.4192	0.5330	0.4789	0.5894	0.4690	0.7827	1.0000	0.8813	0.8832	0.7739	0.8208	0.8334	0.5765	0.7491	0.7184	0.6943	0.6064	0.6210	0.5761	0.5501	0.6225	0.6669	0.6785	0.7387	0.7643	0.7738	0.7583	0.7104	0.7565	0.7000	0.6506	0.6596	0.6561	0.2052	0.1897	0.5823	0.2805	0.3608	0.4050	0.3416
'CEBPB-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4865	0.4959	0.4286	0.5483	0.4981	0.6278	0.5057	0.8406	0.8813	1.0000	0.9140	0.7889	0.8291	0.8473	0.6008	0.8203	0.7971	0.7560	0.6439	0.6458	0.6112	0.5756	0.6387	0.6831	0.6920	0.7657	0.7886	0.8075	0.7755	0.7507	0.8014	0.7145	0.6891	0.7077	0.6862	0.1788	0.1984	0.5880	0.3144	0.3864	0.4342	0.3829
