#plotCorrelation --outFileCorMatrix
	'HSF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_Aligned.sortedByCoord.out.autosomes.bam'
'HSF1-human_Aligned.sortedByCoord.out.autosomes.bam'	1.0000	0.7919	0.8065	0.8155	0.4662	0.4415	0.4546	0.5196	0.5988	0.5844	0.5801	0.5122	0.5018	0.5195	0.5085	0.5031	0.4294	0.6557	0.6196	0.6645	0.1419	0.0239	0.2278	0.1949	0.1964	0.1886	0.1478	0.2161	0.1267	0.3410	0.3627	0.3019	0.2657	0.3063	0.3041	0.2818	0.2942	0.3455	0.3370	0.2761	0.3127	0.3809
'CEBPZ-human_Aligned.sortedByCoord.out.autosomes.bam'	0.7919	1.0000	0.8042	0.8023	0.5699	0.5429	0.5636	0.6172	0.6786	0.6740	0.6759	0.5959	0.5858	0.6326	0.6230	0.6245	0.5656	0.7180	0.7079	0.7334	0.2816	0.1684	0.3789	0.3529	0.3543	0.3305	0.3001	0.3416	0.2608	0.4820	0.5055	0.4459	0.4121	0.4461	0.4445	0.4272	0.4454	0.4639	0.4588	0.3970	0.4344	0.4973
'SREBF2-human_Aligned.sortedByCoord.out.autosomes.bam'	0.8065	0.8042	1.0000	0.8119	0.5447	0.5135	0.5344	0.5922	0.6511	0.6485	0.6475	0.5699	0.5588	0.6090	0.5917	0.5897	0.5316	0.7149	0.6930	0.7301	0.2565	0.1365	0.3444	0.3206	0.3188	0.2957	0.2662	0.3074	0.2254	0.4492	0.4720	0.4085	0.3754	0.4151	0.4121	0.3946	0.4092	0.4340	0.4254	0.3676	0.4084	0.4798
'SREBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.8155	0.8023	0.8119	1.0000	0.5255	0.4983	0.5170	0.5733	0.6426	0.6351	0.6316	0.5599	0.5494	0.5862	0.5704	0.5694	0.5069	0.6991	0.6738	0.7139	0.2292	0.1132	0.3189	0.2899	0.2891	0.2733	0.2397	0.2933	0.2088	0.4253	0.4458	0.3849	0.3512	0.3904	0.3876	0.3693	0.3825	0.4150	0.4091	0.3482	0.3802	0.4588
'RXRA-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4662	0.5699	0.5447	0.5255	1.0000	0.7310	0.7522	0.7428	0.7510	0.7645	0.7784	0.7140	0.7090	0.7388	0.7867	0.8227	0.7726	0.6588	0.7199	0.7048	0.6227	0.5775	0.7234	0.7069	0.7060	0.6857	0.6731	0.6628	0.6408	0.7562	0.7758	0.7712	0.7476	0.7340	0.7406	0.7424	0.7595	0.7376	0.7316	0.6603	0.6581	0.6750
'NFATC1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4415	0.5429	0.5135	0.4983	0.7310	1.0000	0.7980	0.7274	0.7556	0.7545	0.7677	0.7360	0.7422	0.7212	0.7764	0.8384	0.7651	0.6232	0.6958	0.6746	0.6147	0.5841	0.7279	0.7021	0.6956	0.7025	0.6759	0.6803	0.6715	0.7602	0.7764	0.7814	0.7565	0.7321	0.7401	0.7414	0.7687	0.7749	0.7631	0.6750	0.6269	0.6572
'BCL3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4546	0.5636	0.5344	0.5170	0.7522	0.7980	1.0000	0.7577	0.7710	0.7811	0.7885	0.7463	0.7594	0.7550	0.7988	0.8554	0.8060	0.6530	0.7255	0.7047	0.6522	0.6147	0.7694	0.7425	0.7383	0.7465	0.7113	0.7068	0.6999	0.8015	0.8141	0.8038	0.7909	0.7678	0.7862	0.7781	0.8051	0.7927	0.7792	0.7286	0.6717	0.6980
'SIX5-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5196	0.6172	0.5922	0.5733	0.7428	0.7274	0.7577	1.0000	0.7663	0.7791	0.7953	0.7200	0.7155	0.7445	0.7947	0.8208	0.7681	0.6826	0.7379	0.7269	0.5922	0.5364	0.6955	0.6785	0.6821	0.6580	0.6408	0.6365	0.6092	0.7389	0.7612	0.7478	0.7259	0.7143	0.7222	0.7181	0.7381	0.7223	0.7133	0.6491	0.6520	0.6657
'MEF2A-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5988	0.6786	0.6511	0.6426	0.7510	0.7556	0.7710	0.7663	1.0000	0.8296	0.8334	0.7696	0.7709	0.7408	0.8112	0.8593	0.7787	0.6993	0.7554	0.7501	0.5304	0.4739	0.6614	0.6189	0.6253	0.6237	0.5872	0.6229	0.5808	0.7285	0.7514	0.7461	0.7014	0.6917	0.7055	0.6949	0.7098	0.7302	0.7393	0.6267	0.6153	0.6378
'MEF2C-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5844	0.6740	0.6485	0.6351	0.7645	0.7545	0.7811	0.7791	0.8296	1.0000	0.8433	0.7649	0.7594	0.7719	0.8252	0.8640	0.7986	0.7215	0.7744	0.7701	0.5773	0.5181	0.6976	0.6661	0.6695	0.6563	0.6299	0.6439	0.6055	0.7563	0.7812	0.7691	0.7310	0.7256	0.7361	0.7289	0.7428	0.7422	0.7452	0.6531	0.6560	0.6778
