#plotCorrelation --outFileCorMatrix
	'CEBPZ-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'HSF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'
'CEBPZ-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	1.0000	0.8145	0.8242	0.4597	0.6543	0.7495	0.7721	0.7943	0.5871	0.5498	0.5032	0.5792	0.5473	0.5043	0.4763	0.4574	0.6208	0.6581	0.6553	0.6476	0.5201	0.4712	0.4282	0.5303	0.5783	0.5908	0.4373	0.5099	0.5160	0.3208	0.4520	0.3111	0.6238	0.3433	0.3453	0.3145	0.5380	0.4208	0.1788	0.4203	0.2894	0.1969
'SREBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.8145	1.0000	0.9055	0.5290	0.7936	0.8138	0.8313	0.8724	0.6513	0.6116	0.5506	0.6399	0.6128	0.5513	0.5318	0.5169	0.6794	0.7295	0.7349	0.7014	0.5583	0.5146	0.4919	0.5956	0.6395	0.6608	0.4789	0.5415	0.5510	0.3754	0.5481	0.3460	0.4235	0.3910	0.3898	0.3682	0.6096	0.4530	0.2208	0.2540	0.3157	0.2283
'HSF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.8242	0.9055	1.0000	0.4898	0.6871	0.8017	0.8117	0.8601	0.6101	0.5718	0.5152	0.6149	0.5360	0.5103	0.4775	0.4797	0.6542	0.7109	0.7050	0.6762	0.5367	0.4896	0.4573	0.5737	0.6203	0.6444	0.4394	0.4921	0.4983	0.3460	0.4808	0.3148	0.3856	0.3711	0.3516	0.3168	0.6047	0.4439	0.1671	0.2364	0.3070	0.1857
'BATF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4597	0.5290	0.4898	1.0000	0.6160	0.5771	0.6056	0.6270	0.8474	0.8195	0.6740	0.7015	0.6630	0.6092	0.6644	0.6820	0.6168	0.7256	0.6464	0.6454	0.6289	0.6196	0.7648	0.7917	0.7626	0.7541	0.5371	0.5502	0.5273	0.3931	0.4027	0.3839	0.4516	0.5777	0.5247	0.3984	0.3500	0.2751	0.2255	0.2524	0.2682	0.2539
'JUND-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6543	0.7936	0.6871	0.6160	1.0000	0.7664	0.8309	0.8128	0.7668	0.7258	0.6520	0.6646	0.8224	0.6558	0.6956	0.6627	0.6890	0.7137	0.7072	0.7238	0.5883	0.5849	0.5766	0.6020	0.6430	0.6360	0.5994	0.6994	0.7485	0.4398	0.5211	0.4657	0.5099	0.5050	0.5448	0.5248	0.4868	0.4157	0.2933	0.3083	0.4004	0.3745
'MAFK-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.7495	0.8138	0.8017	0.5771	0.7664	1.0000	0.8679	0.8697	0.7484	0.7021	0.6563	0.7034	0.7284	0.6484	0.6480	0.6194	0.7365	0.7586	0.7584	0.7633	0.6281	0.5921	0.5665	0.6346	0.6823	0.6835	0.5774	0.6687	0.6925	0.4232	0.5196	0.4325	0.4700	0.4763	0.4955	0.4566	0.5605	0.4446	0.2613	0.2989	0.3899	0.3159
'CEBPB-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.7721	0.8313	0.8117	0.6056	0.8309	0.8679	1.0000	0.9064	0.7998	0.7491	0.6993	0.7246	0.8082	0.6850	0.7035	0.6657	0.7682	0.7886	0.7808	0.8043	0.6567	0.6332	0.5961	0.6547	0.7031	0.7012	0.6214	0.7399	0.7784	0.4366	0.5384	0.4754	0.4926	0.5088	0.5398	0.4977	0.5671	0.4650	0.2978	0.3194	0.4220	0.3603
'ESRRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.7943	0.8724	0.8601	0.6270	0.8128	0.8697	0.9064	1.0000	0.8106	0.7702	0.7126	0.7768	0.7666	0.7103	0.7106	0.6812	0.7873	0.8210	0.8292	0.8154	0.6793	0.6357	0.6329	0.6994	0.7494	0.7489	0.6223	0.7076	0.7273	0.4880	0.5733	0.4668	0.5326	0.5373	0.5362	0.5196	0.5992	0.4729	0.2781	0.3274	0.4252	0.3342
'IRF4-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5871	0.6513	0.6101	0.8474	0.7668	0.7484	0.7998	0.8106	1.0000	0.9306	0.8565	0.8768	0.8699	0.8048	0.8655	0.8378	0.8018	0.8538	0.8378	0.8283	0.7754	0.7560	0.8470	0.8444	0.8610	0.8343	0.7125	0.7763	0.7877	0.5564	0.5539	0.5511	0.6115	0.7074	0.6793	0.6371	0.4519	0.3675	0.3341	0.3591	0.4410	0.4127
'BCL11A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5498	0.6116	0.5718	0.8195	0.7258	0.7021	0.7491	0.7702	0.9306	1.0000	0.8506	0.8737	0.8428	0.8414	0.8549	0.8443	0.7434	0.8361	0.8050	0.7987	0.8010	0.7643	0.8484	0.8422	0.8589	0.8311	0.6826	0.7491	0.7356	0.5273	0.5095	0.5309	0.5859	0.7128	0.6964	0.6080	0.4150	0.3501	0.3132	0.3602	0.3761	0.3880
