#plotCorrelation --outFileCorMatrix
	'HSF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'
'HSF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	1.0000	0.7911	0.8152	0.8063	0.5048	0.5001	0.4252	0.5167	0.4630	0.4380	0.4510	0.5165	0.5960	0.5779	0.5815	0.5095	0.4989	0.6546	0.6181	0.6629	0.1366	0.0179	0.2222	0.1889	0.1911	0.1417	0.1831	0.2110	0.1210	0.3579	0.3357	0.2976	0.2606	0.3016	0.2993	0.2766	0.2892	0.3414	0.3336	0.2741	0.3087	0.3773
'CEBPZ-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.7911	1.0000	0.8008	0.8031	0.6186	0.6212	0.5612	0.6293	0.5666	0.5391	0.5595	0.6138	0.6756	0.6724	0.6711	0.5933	0.5821	0.7155	0.7052	0.7313	0.2759	0.1617	0.3727	0.3467	0.3484	0.2935	0.3245	0.3361	0.2545	0.5003	0.4764	0.4411	0.4067	0.4407	0.4397	0.4216	0.4397	0.4596	0.4548	0.3952	0.4298	0.4930
'SREBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.8152	0.8008	1.0000	0.8109	0.5662	0.5659	0.5023	0.5824	0.5212	0.4943	0.5126	0.5695	0.6393	0.6286	0.6314	0.5564	0.5453	0.6971	0.6714	0.7119	0.2232	0.1064	0.3125	0.2834	0.2824	0.2328	0.2672	0.2878	0.2023	0.4403	0.4190	0.3804	0.3452	0.3851	0.3823	0.3633	0.3769	0.4108	0.4047	0.3454	0.3753	0.4541
'SREBF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.8063	0.8031	0.8109	1.0000	0.5886	0.5866	0.5277	0.6059	0.5407	0.5103	0.5306	0.5885	0.6482	0.6444	0.6461	0.5673	0.5563	0.7131	0.6910	0.7286	0.2511	0.1303	0.3388	0.3148	0.3133	0.2602	0.2903	0.3027	0.2197	0.4670	0.4433	0.4043	0.3705	0.4103	0.4074	0.3893	0.4041	0.4299	0.4219	0.3656	0.4039	0.4760
'ATF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5048	0.6186	0.5662	0.5886	1.0000	0.8867	0.8331	0.7906	0.7854	0.7750	0.7969	0.7927	0.8102	0.8434	0.8238	0.7649	0.7631	0.7087	0.7776	0.7605	0.6458	0.5963	0.7598	0.7411	0.7386	0.7044	0.7146	0.6944	0.6659	0.8285	0.7994	0.8251	0.7923	0.7808	0.7858	0.7834	0.8015	0.7824	0.7842	0.6922	0.7051	0.7117
'BCLAF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5001	0.6212	0.5659	0.5866	0.8867	1.0000	0.8830	0.8194	0.8221	0.8375	0.8547	0.8194	0.8587	0.8778	0.8628	0.8151	0.8128	0.7177	0.7994	0.7808	0.6847	0.6461	0.8207	0.7854	0.7800	0.7526	0.7740	0.7536	0.7350	0.8862	0.8590	0.8909	0.8424	0.8312	0.8452	0.8413	0.8624	0.8464	0.8508	0.7439	0.7361	0.7450
'BATF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4252	0.5612	0.5023	0.5277	0.8331	0.8830	1.0000	0.8106	0.7713	0.7637	0.8047	0.7659	0.7769	0.7969	0.7969	0.7553	0.7536	0.6926	0.7748	0.7541	0.7211	0.6751	0.8460	0.8263	0.8148	0.7781	0.7835	0.7309	0.7097	0.9132	0.8860	0.8629	0.8330	0.8527	0.8681	0.8563	0.8687	0.7997	0.8293	0.7313	0.7333	0.7807
'CEBPB-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5167	0.6293	0.5824	0.6059	0.7906	0.8194	0.8106	1.0000	0.7366	0.7188	0.7517	0.7419	0.7388	0.7740	0.7695	0.7068	0.7012	0.7381	0.7938	0.7784	0.6774	0.6100	0.7575	0.7561	0.7427	0.7027	0.7043	0.6755	0.6431	0.8191	0.7895	0.7743	0.7623	0.7774	0.7740	0.7763	0.7908	0.7374	0.7360	0.6711	0.6962	0.7644
'RXRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4630	0.5666	0.5212	0.5407	0.7854	0.8221	0.7713	0.7366	1.0000	0.7297	0.7507	0.7401	0.7492	0.7771	0.7631	0.7128	0.7069	0.6563	0.7184	0.7025	0.6204	0.5754	0.7216	0.7049	0.7039	0.6701	0.6836	0.6606	0.6388	0.7743	0.7544	0.7703	0.7459	0.7325	0.7393	0.7403	0.7579	0.7370	0.7312	0.6612	0.6561	0.6732
'NFATC1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4380	0.5391	0.4943	0.5103	0.7750	0.8375	0.7637	0.7188	0.7297	1.0000	0.7967	0.7256	0.7543	0.7667	0.7531	0.7343	0.7402	0.6205	0.6941	0.6720	0.6128	0.5823	0.7268	0.7009	0.6942	0.6742	0.7010	0.6798	0.6705	0.7750	0.7586	0.7809	0.7556	0.7305	0.7388	0.7401	0.7674	0.7736	0.7624	0.6770	0.6258	0.6556
