#plotCorrelation --outFileCorMatrix
	'SIX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_Aligned.sortedByCoord.out.autosomes.bam'	'HSF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_Aligned.sortedByCoord.out.autosomes.bam'
'SIX5-human_Aligned.sortedByCoord.out.autosomes.bam'	1.0000	0.4611	0.3080	0.4586	0.3405	0.4667	0.4842	0.3154	0.3308	0.4407	0.4388	0.4609	0.4903	0.4585	0.4785	0.5259	0.4923	0.4521	0.4949	0.4210	0.4090	0.5215	0.5272	0.5219	0.5288	0.5557	0.5968	0.5512	0.5403	0.7391	0.4250	0.5071	0.5270	0.6265	0.5992	0.5539	0.5443	0.5387	0.0990	0.2323	0.2503	0.2649
'SRF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4611	1.0000	0.5293	0.5140	0.5147	0.5337	0.6368	0.4647	0.4713	0.6025	0.6142	0.6418	0.6649	0.5984	0.6153	0.6617	0.6640	0.5972	0.6697	0.5597	0.5690	0.7916	0.6523	0.6476	0.6913	0.6875	0.6877	0.7558	0.7123	0.6994	0.4405	0.5192	0.5207	0.5411	0.6292	0.6115	0.6013	0.6159	0.5101	0.2599	0.6900	0.4015
'TCF3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3080	0.5293	1.0000	0.3897	0.4323	0.4142	0.4844	0.3304	0.3458	0.5944	0.5435	0.6300	0.5934	0.5230	0.5157	0.5744	0.5536	0.4768	0.5153	0.4538	0.4762	0.6156	0.4616	0.5054	0.5290	0.5156	0.4521	0.5270	0.5214	0.5329	0.2803	0.3328	0.3357	0.3556	0.4289	0.4350	0.4071	0.4110	0.3235	0.1772	0.4364	0.2746
'YY1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4586	0.5140	0.3897	1.0000	0.4214	0.4716	0.5677	0.3255	0.3615	0.5254	0.4630	0.5166	0.5329	0.5074	0.5304	0.5938	0.5660	0.4947	0.5254	0.4159	0.5102	0.5707	0.4474	0.4843	0.4769	0.5178	0.5257	0.5258	0.5327	0.6122	0.3047	0.3276	0.3459	0.3602	0.4423	0.3987	0.3959	0.3861	0.1897	0.1613	0.3494	0.3121
'EBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3405	0.5147	0.4323	0.4214	1.0000	0.5405	0.5054	0.3616	0.3732	0.5271	0.5921	0.7093	0.6778	0.5623	0.6264	0.6251	0.6535	0.6420	0.6126	0.6061	0.6835	0.6665	0.5542	0.5477	0.6156	0.6951	0.5651	0.5529	0.6163	0.5808	0.3455	0.4030	0.4174	0.4258	0.5293	0.5094	0.4911	0.4980	0.0765	0.2011	0.2824	0.2886
'SP1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4667	0.5337	0.4142	0.4716	0.5405	1.0000	0.5878	0.3752	0.4153	0.5736	0.5343	0.6258	0.6308	0.5484	0.5858	0.6304	0.6273	0.5684	0.5800	0.5314	0.5851	0.6539	0.6102	0.6041	0.6296	0.6688	0.6048	0.5846	0.6131	0.6525	0.4041	0.6242	0.4801	0.5117	0.5857	0.5698	0.5435	0.5447	0.1180	0.2343	0.2803	0.3068
'ELF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4842	0.6368	0.4844	0.5677	0.5054	0.5878	1.0000	0.4267	0.4901	0.6377	0.5476	0.6230	0.6000	0.5764	0.5608	0.6767	0.6698	0.5159	0.5544	0.4282	0.5678	0.6992	0.5864	0.5923	0.5999	0.5960	0.6041	0.6049	0.5926	0.6985	0.3314	0.3672	0.3725	0.4061	0.5008	0.4946	0.4572	0.4659	0.2052	0.2062	0.4336	0.3440
'CTCF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3154	0.4647	0.3304	0.3255	0.3616	0.3752	0.4267	1.0000	0.3536	0.3882	0.3876	0.4515	0.4419	0.3754	0.3846	0.4393	0.4577	0.3517	0.4092	0.3599	0.3511	0.5075	0.5466	0.5203	0.5398	0.5319	0.5713	0.5216	0.4876	0.4762	0.3825	0.4478	0.4571	0.4563	0.5286	0.5156	0.5107	0.5267	0.1392	0.2217	0.2970	0.2814
'USF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3308	0.4713	0.3458	0.3615	0.3732	0.4153	0.4901	0.3536	1.0000	0.4006	0.4105	0.4663	0.4485	0.3837	0.3682	0.4154	0.4698	0.3591	0.3743	0.3462	0.3659	0.5366	0.5662	0.5192	0.5425	0.5041	0.6310	0.4715	0.4393	0.4559	0.3008	0.3555	0.3449	0.3736	0.4467	0.4795	0.4373	0.4650	0.1451	0.2067	0.3137	0.2999
'POU2F2-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4407	0.6025	0.5944	0.5254	0.5271	0.5736	0.6377	0.3882	0.4006	1.0000	0.6890	0.7376	0.8775	0.8048	0.7999	0.9048	0.7984	0.6720	0.7227	0.6175	0.6553	0.7612	0.6143	0.7567	0.7156	0.7159	0.6179	0.7129	0.7194	0.7957	0.4287	0.5192	0.5200	0.5417	0.6415	0.5911	0.6056	0.5945	0.1377	0.2538	0.3544	0.3300
