#plotCorrelation --outFileCorMatrix
	'HSF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_Aligned.sortedByCoord.out.autosomes.bam'
'HSF1-human_Aligned.sortedByCoord.out.autosomes.bam'	1.0000	0.8318	0.8435	0.8511	0.6122	0.5552	0.5311	0.5940	0.6006	0.5416	0.5651	0.6094	0.6727	0.6619	0.6581	0.5998	0.5902	0.7221	0.6932	0.7295	0.3000	0.2044	0.3677	0.3438	0.3421	0.3347	0.3042	0.3622	0.2850	0.4583	0.4761	0.4276	0.4029	0.4352	0.4257	0.4150	0.4239	0.4618	0.4520	0.5009	0.4343	0.4086
'CEBPZ-human_Aligned.sortedByCoord.out.autosomes.bam'	0.8318	1.0000	0.8418	0.8404	0.7036	0.6428	0.6423	0.6917	0.6926	0.6233	0.6491	0.6886	0.7363	0.7340	0.7345	0.6675	0.6580	0.7723	0.7643	0.7849	0.4143	0.3215	0.4910	0.4728	0.4714	0.4505	0.4283	0.4636	0.3930	0.5734	0.5930	0.5437	0.5212	0.5487	0.5406	0.5332	0.5469	0.5579	0.5503	0.5947	0.5340	0.5065
'SREBF2-human_Aligned.sortedByCoord.out.autosomes.bam'	0.8435	0.8418	1.0000	0.8480	0.6845	0.6192	0.6143	0.6637	0.6676	0.5995	0.6288	0.6685	0.7146	0.7140	0.7120	0.6469	0.6362	0.7700	0.7525	0.7823	0.3935	0.2961	0.4629	0.4462	0.4420	0.4216	0.4007	0.4360	0.3649	0.5463	0.5652	0.5138	0.4916	0.5235	0.5139	0.5066	0.5173	0.5338	0.5235	0.5804	0.5123	0.4824
'SREBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.8511	0.8404	0.8480	1.0000	0.6665	0.6055	0.5946	0.6477	0.6509	0.5878	0.6132	0.6532	0.7081	0.7031	0.6999	0.6391	0.6295	0.7572	0.7370	0.7695	0.3714	0.2776	0.4423	0.4215	0.4179	0.4039	0.3797	0.4252	0.3520	0.5270	0.5442	0.4952	0.4724	0.5036	0.4940	0.4863	0.4959	0.5189	0.5111	0.5639	0.4891	0.4669
'CEBPB-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6122	0.7036	0.6845	0.6665	1.0000	0.7987	0.8431	0.8515	0.8297	0.7687	0.7858	0.7916	0.7873	0.8135	0.8160	0.7592	0.7550	0.7913	0.8354	0.8231	0.7379	0.6833	0.8013	0.8019	0.7892	0.7579	0.7587	0.7358	0.7072	0.8257	0.8496	0.8121	0.8069	0.8199	0.8107	0.8187	0.8296	0.7832	0.7781	0.8126	0.7482	0.7294
'BCL3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5552	0.6428	0.6192	0.6055	0.7987	1.0000	0.8370	0.8809	0.8352	0.8332	0.7966	0.8009	0.8126	0.8207	0.8266	0.7909	0.8013	0.7158	0.7746	0.7578	0.7129	0.6839	0.8089	0.7870	0.7816	0.7893	0.7620	0.7593	0.7521	0.8328	0.8430	0.8371	0.8286	0.8088	0.8192	0.8172	0.8387	0.8282	0.8152	0.7522	0.7243	0.7760
'BATF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5311	0.6423	0.6143	0.5946	0.8431	0.8370	1.0000	0.9002	0.8597	0.8016	0.8110	0.8078	0.8136	0.8313	0.8298	0.7960	0.7944	0.7478	0.8138	0.7976	0.7717	0.7313	0.8731	0.8573	0.8482	0.8219	0.8171	0.7752	0.7545	0.9062	0.9287	0.8799	0.8605	0.8785	0.8912	0.8818	0.8918	0.8317	0.8520	0.8187	0.7798	0.7749
'BCLAF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5940	0.6917	0.6637	0.6477	0.8515	0.8809	0.9002	1.0000	0.9072	0.8669	0.8540	0.8522	0.8849	0.8887	0.9005	0.8487	0.8474	0.7700	0.8352	0.8209	0.7399	0.7108	0.8513	0.8224	0.8158	0.8124	0.7967	0.7981	0.7824	0.8800	0.9024	0.9098	0.8715	0.8611	0.8676	0.8692	0.8860	0.8738	0.8762	0.7912	0.7772	0.7866
'ATF3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6006	0.6926	0.6676	0.6509	0.8297	0.8352	0.8597	0.9072	1.0000	0.8159	0.8255	0.8320	0.8462	0.8577	0.8732	0.8083	0.8064	0.7646	0.8188	0.8062	0.7094	0.6707	0.8018	0.7873	0.7831	0.7640	0.7582	0.7507	0.7261	0.8315	0.8552	0.8555	0.8313	0.8206	0.8194	0.8228	0.8367	0.8208	0.8201	0.7654	0.7529	0.7451
'NFATC1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5416	0.6233	0.5995	0.5878	0.7687	0.8332	0.8016	0.8669	0.8159	1.0000	0.7777	0.7744	0.7994	0.7977	0.8090	0.7825	0.7875	0.6890	0.7479	0.7315	0.6791	0.6570	0.7729	0.7514	0.7436	0.7510	0.7310	0.7369	0.7292	0.7966	0.8098	0.8196	0.7996	0.7777	0.7791	0.7850	0.8069	0.8133	0.8031	0.7166	0.6848	0.7306
