#plotCorrelation --outFileCorMatrix
	'PBX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'HSF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'
'PBX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	1.0000	0.1361	0.1016	0.0969	0.1126	0.1210	0.1120	0.1195	0.1096	0.1035	0.1018	0.1343	0.1269	0.1380	0.1523	0.1317	0.1667	0.2602	0.1834	0.1609	0.1214	0.1751	0.1424	0.1287	0.1533	0.1212	0.1227	0.1898	0.3380	0.1357	0.1036	0.1843	0.3675	0.2699	0.1993	0.0760	0.1568	0.7495	0.1592	0.0964	0.1218	0.1358
'CEBPZ-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1361	1.0000	0.8908	0.9052	0.7961	0.8813	0.8923	0.8738	0.8587	0.4331	0.5248	0.6704	0.6436	0.6820	0.7186	0.6770	0.7173	0.7391	0.7420	0.5069	0.5637	0.5471	0.6029	0.5590	0.5963	0.5608	0.6132	0.6399	0.5509	0.5390	0.3848	0.6119	0.5312	0.4178	0.3720	0.6807	0.2688	0.3073	0.3330	0.4807	0.3961	0.3066
'SREBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1016	0.8908	1.0000	0.9410	0.8715	0.9241	0.9190	0.8965	0.8871	0.4692	0.5635	0.6906	0.6590	0.7126	0.7524	0.7139	0.7850	0.7606	0.7742	0.5328	0.5784	0.5665	0.6327	0.5815	0.6304	0.5929	0.6418	0.6743	0.5889	0.5726	0.4103	0.4802	0.5544	0.4427	0.4164	0.7181	0.2959	0.3231	0.3658	0.6132	0.4079	0.3290
'HSF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.0969	0.9052	0.9410	1.0000	0.8147	0.9176	0.9267	0.8949	0.8875	0.4489	0.5410	0.6577	0.6304	0.6714	0.7386	0.6873	0.7473	0.7548	0.7735	0.5077	0.5713	0.5571	0.6120	0.5638	0.6155	0.5861	0.6367	0.6721	0.5485	0.5515	0.4009	0.4450	0.5311	0.4207	0.3735	0.7231	0.2610	0.3085	0.3498	0.5001	0.4077	0.2981
'JUND-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1126	0.7961	0.8715	0.8147	1.0000	0.8887	0.8790	0.9031	0.8627	0.5502	0.6411	0.8291	0.7729	0.8661	0.7657	0.8077	0.7537	0.7850	0.7746	0.5956	0.6119	0.6279	0.7175	0.6686	0.6543	0.6153	0.6569	0.6686	0.7085	0.6876	0.5119	0.5480	0.6474	0.5569	0.5316	0.6399	0.3574	0.3912	0.4187	0.5400	0.4790	0.4464
'ESRRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1210	0.8813	0.9241	0.9176	0.8887	1.0000	0.9439	0.9427	0.9245	0.5914	0.6488	0.8062	0.7792	0.8256	0.8312	0.8327	0.8445	0.8494	0.8506	0.6487	0.6835	0.6669	0.7572	0.7149	0.7423	0.6869	0.7389	0.7538	0.7206	0.7022	0.5300	0.5642	0.6624	0.5610	0.5299	0.7153	0.3444	0.3944	0.4577	0.5803	0.4918	0.4112
'UBTF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1120	0.8923	0.9190	0.9267	0.8790	0.9439	1.0000	0.9495	0.9213	0.4840	0.5697	0.7888	0.7408	0.7892	0.7864	0.7596	0.7721	0.8073	0.7954	0.5638	0.6057	0.6037	0.6704	0.6321	0.6467	0.5917	0.6467	0.6716	0.6415	0.6244	0.4513	0.4927	0.6138	0.4940	0.4603	0.7116	0.3275	0.3650	0.3869	0.5117	0.4671	0.3862
'CEBPB-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1195	0.8738	0.8965	0.8949	0.9031	0.9427	0.9495	1.0000	0.9257	0.5449	0.6200	0.8418	0.7921	0.8507	0.8108	0.8153	0.7858	0.8336	0.8193	0.6006	0.6476	0.6528	0.7204	0.6875	0.6787	0.6389	0.6859	0.7033	0.6986	0.6761	0.4996	0.5196	0.6550	0.5432	0.4967	0.6977	0.3584	0.3944	0.4061	0.5209	0.4900	0.4303
'MAFK-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1096	0.8587	0.8871	0.8875	0.8627	0.9245	0.9213	0.9257	1.0000	0.5411	0.6129	0.7865	0.7544	0.8035	0.7966	0.7906	0.7884	0.8159	0.8103	0.6056	0.6463	0.6367	0.7110	0.6741	0.6883	0.6400	0.6916	0.7077	0.6743	0.6586	0.4866	0.5141	0.6308	0.5299	0.4797	0.6929	0.3321	0.3725	0.4101	0.5216	0.4693	0.3976
'RUNX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.1035	0.4331	0.4692	0.4489	0.5502	0.5914	0.4840	0.5449	0.5411	1.0000	0.7739	0.5839	0.6213	0.6869	0.6650	0.8249	0.7244	0.6831	0.7616	0.6690	0.7395	0.7036	0.8199	0.8084	0.8079	0.8661	0.8260	0.8182	0.7561	0.7748	0.6921	0.5815	0.6165	0.6396	0.5931	0.3880	0.2921	0.3757	0.5072	0.4018	0.3466	0.3630
