#plotCorrelation --outFileCorMatrix
	'HSF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'
'HSF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	1.0000	0.8312	0.8503	0.8430	0.6089	0.5506	0.5263	0.5960	0.5898	0.5371	0.5607	0.6058	0.6689	0.6548	0.6584	0.5960	0.5865	0.7204	0.6911	0.7276	0.2939	0.1970	0.3612	0.3376	0.3364	0.2977	0.3282	0.3561	0.2781	0.4710	0.4527	0.4217	0.3969	0.4297	0.4203	0.4094	0.4182	0.4564	0.4472	0.4961	0.4053	0.4301
'CEBPZ-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.8312	1.0000	0.8390	0.8410	0.7003	0.6382	0.6376	0.6877	0.6875	0.6189	0.6448	0.6850	0.7328	0.7307	0.7302	0.6643	0.6540	0.7701	0.7617	0.7826	0.4083	0.3140	0.4843	0.4664	0.4653	0.4212	0.4442	0.4572	0.3857	0.5875	0.5678	0.5377	0.5150	0.5430	0.5356	0.5272	0.5411	0.5521	0.5452	0.5899	0.5041	0.5296
'SREBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.8503	0.8390	1.0000	0.8472	0.6627	0.6009	0.5896	0.6458	0.6433	0.5830	0.6083	0.6489	0.7041	0.6957	0.6988	0.6350	0.6249	0.7549	0.7345	0.7672	0.3648	0.2697	0.4354	0.4147	0.4112	0.3723	0.3976	0.4185	0.3442	0.5386	0.5211	0.4894	0.4656	0.4979	0.4885	0.4801	0.4899	0.5132	0.5056	0.5583	0.4637	0.4843
'SREBF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.8430	0.8410	0.8472	1.0000	0.6816	0.6152	0.6103	0.6634	0.6598	0.5959	0.6241	0.6642	0.7111	0.7083	0.7107	0.6433	0.6333	0.7678	0.7506	0.7806	0.3879	0.2891	0.4569	0.4405	0.4367	0.3947	0.4161	0.4305	0.3583	0.5603	0.5412	0.5086	0.4860	0.5184	0.5092	0.5013	0.5120	0.5283	0.5190	0.5764	0.4798	0.5079
'CEBPB-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6089	0.7003	0.6627	0.6816	1.0000	0.7954	0.8408	0.8274	0.8490	0.7654	0.7834	0.7884	0.7844	0.8129	0.8100	0.7564	0.7513	0.7889	0.8333	0.8207	0.7347	0.6794	0.7987	0.7994	0.7863	0.7555	0.7546	0.7337	0.7034	0.8476	0.8233	0.8095	0.8046	0.8174	0.8088	0.8160	0.8270	0.7799	0.7753	0.8096	0.7294	0.7464
'BCL3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5506	0.6382	0.6009	0.6152	0.7954	1.0000	0.8354	0.8331	0.8798	0.8314	0.7941	0.7986	0.8105	0.8253	0.8180	0.7894	0.7993	0.7120	0.7723	0.7553	0.7102	0.6810	0.8070	0.7848	0.7794	0.7596	0.7872	0.7571	0.7497	0.8414	0.8313	0.8361	0.8265	0.8069	0.8181	0.8154	0.8369	0.8271	0.8146	0.7489	0.7768	0.7221
'BATF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5263	0.6376	0.5896	0.6103	0.8408	0.8354	1.0000	0.8581	0.8990	0.7996	0.8092	0.8052	0.8113	0.8276	0.8288	0.7937	0.7915	0.7444	0.8115	0.7949	0.7694	0.7293	0.8720	0.8561	0.8470	0.8154	0.8203	0.7742	0.7529	0.9278	0.9055	0.8790	0.8591	0.8772	0.8902	0.8803	0.8906	0.8300	0.8510	0.8164	0.7768	0.7786
'ATF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5960	0.6877	0.6458	0.6634	0.8274	0.8331	0.8581	1.0000	0.9068	0.8144	0.8234	0.8292	0.8446	0.8718	0.8558	0.8061	0.8047	0.7610	0.8170	0.8033	0.7064	0.6675	0.7998	0.7849	0.7807	0.7555	0.7615	0.7488	0.7234	0.8537	0.8300	0.8547	0.8294	0.8186	0.8177	0.8208	0.8349	0.8193	0.8192	0.7625	0.7450	0.7509
'BCLAF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5898	0.6875	0.6433	0.6598	0.8490	0.8798	0.8990	0.9068	1.0000	0.8661	0.8530	0.8504	0.8838	0.8996	0.8872	0.8474	0.8455	0.7666	0.8331	0.8183	0.7372	0.7079	0.8497	0.8204	0.8139	0.7945	0.8102	0.7966	0.7804	0.9009	0.8788	0.9093	0.8702	0.8594	0.8664	0.8677	0.8845	0.8726	0.8752	0.7882	0.7873	0.7755
'NFATC1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5371	0.6189	0.5830	0.5959	0.7654	0.8314	0.7996	0.8144	0.8661	1.0000	0.7760	0.7722	0.7978	0.8077	0.7963	0.7802	0.7855	0.6856	0.7455	0.7281	0.6766	0.6543	0.7711	0.7494	0.7416	0.7287	0.7486	0.7354	0.7273	0.8079	0.7946	0.8188	0.7980	0.7756	0.7775	0.7832	0.8051	0.8120	0.8021	0.7134	0.7310	0.6831
