#plotCorrelation --outFileCorMatrix
	'UBTF-human_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'HSF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_Aligned.sortedByCoord.out.autosomes.bam'
'UBTF-human_Aligned.sortedByCoord.out.autosomes.bam'	1.0000	0.0795	0.1527	0.1080	0.0981	0.0826	0.2333	0.2861	0.1546	0.2776	0.3835	0.2235	0.3057	0.3639	0.2763	0.3171	0.2626	0.4792	0.4555	0.4195	0.3061	0.3231	0.3666	0.2424	0.3756	0.4079	0.2485	0.1726	0.3430	0.3987	0.3879	0.4653	0.5207	0.3509	0.5540	0.5245	0.2840	0.2425	0.2244	0.0877	0.4149	0.5909
'PBX3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.0795	1.0000	0.1988	0.1227	0.1177	0.1255	0.1579	0.2198	0.1403	0.2019	0.4210	0.1373	0.1492	0.1480	0.1426	0.1482	0.1469	0.1518	0.1561	0.1623	0.1526	0.1536	0.1505	0.1944	0.2119	0.1724	0.1527	0.1706	0.1776	0.1832	0.1930	0.3278	0.1743	0.2145	0.1935	0.3244	0.1869	0.1425	0.2260	0.0995	0.7357	0.2198
'MEF2A-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1527	0.1988	1.0000	0.9145	0.9568	0.9536	0.8378	0.9150	0.8510	0.8126	0.7591	0.7360	0.7875	0.7571	0.7346	0.7015	0.6874	0.6600	0.6505	0.6408	0.6252	0.6203	0.6474	0.8315	0.8658	0.8345	0.7491	0.8228	0.6454	0.7094	0.6775	0.7039	0.6492	0.6821	0.4754	0.5538	0.5307	0.6131	0.6095	0.7099	0.5050	0.4655
'NFATC1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1080	0.1227	0.9145	1.0000	0.9389	0.9212	0.7986	0.8713	0.9013	0.8491	0.6983	0.6693	0.7259	0.6848	0.6559	0.6379	0.6297	0.5793	0.6267	0.6134	0.5946	0.5915	0.5948	0.8056	0.7968	0.8144	0.7043	0.7741	0.6212	0.7333	0.7083	0.6775	0.6281	0.6506	0.4568	0.5440	0.4919	0.5952	0.6094	0.7099	0.4017	0.4726
'ATF2-human_Aligned.sortedByCoord.out.autosomes.bam'	0.0981	0.1177	0.9568	0.9389	1.0000	0.9565	0.8144	0.8976	0.8404	0.7974	0.6802	0.6682	0.7244	0.6841	0.6536	0.6209	0.6091	0.5681	0.5862	0.5683	0.5497	0.5506	0.5659	0.7758	0.7852	0.7946	0.6896	0.7611	0.5848	0.6563	0.6363	0.6337	0.5843	0.6522	0.4079	0.4959	0.4503	0.5663	0.5969	0.6968	0.4061	0.4269
'NFIC-human_Aligned.sortedByCoord.out.autosomes.bam'	0.0826	0.1255	0.9536	0.9212	0.9565	1.0000	0.7907	0.8616	0.8597	0.8004	0.6845	0.6597	0.7121	0.6726	0.6476	0.6193	0.6111	0.5626	0.5819	0.5785	0.5768	0.5570	0.5721	0.7808	0.7995	0.7899	0.7250	0.7717	0.6025	0.6766	0.6255	0.6468	0.6026	0.6307	0.4184	0.4979	0.4605	0.6112	0.5942	0.7747	0.4022	0.4246
'SIX5-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2333	0.1579	0.8378	0.7986	0.8144	0.7907	1.0000	0.8949	0.7782	0.7786	0.7605	0.7962	0.8497	0.8327	0.7950	0.7831	0.7728	0.7419	0.7637	0.7487	0.7227	0.7460	0.7520	0.8725	0.8374	0.8347	0.7614	0.8481	0.7218	0.7059	0.7043	0.7557	0.6993	0.7137	0.5746	0.5660	0.6222	0.6030	0.6123	0.5466	0.4467	0.4897
'RXRA-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2861	0.2198	0.9150	0.8713	0.8976	0.8616	0.8949	1.0000	0.8135	0.8219	0.8001	0.8280	0.8904	0.8628	0.8183	0.8066	0.7911	0.7672	0.7943	0.7717	0.7305	0.7638	0.7648	0.8543	0.8801	0.8949	0.7925	0.8651	0.7235	0.7174	0.7295	0.7918	0.7254	0.7745	0.5890	0.6043	0.6282	0.6154	0.5752	0.5586	0.5047	0.4844
'STAT5A-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1546	0.1403	0.8510	0.9013	0.8404	0.8597	0.7782	0.8135	1.0000	0.8832	0.7797	0.7280	0.7746	0.7374	0.7203	0.7282	0.7253	0.6652	0.7388	0.7461	0.7470	0.7170	0.7102	0.8888	0.8673	0.8674	0.8090	0.8454	0.7560	0.8683	0.8228	0.8070	0.7746	0.6633	0.5925	0.6401	0.6435	0.7466	0.6526	0.7994	0.4397	0.5772
'BCL3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2776	0.2019	0.8126	0.8491	0.7974	0.8004	0.7786	0.8219	0.8832	1.0000	0.8158	0.7710	0.8252	0.8081	0.7860	0.7952	0.7942	0.7609	0.7995	0.8071	0.7833	0.7790	0.7936	0.8583	0.8777	0.8809	0.8166	0.8402	0.7671	0.8288	0.8238	0.8377	0.8158	0.6923	0.6527	0.6972	0.6793	0.7324	0.5799	0.6759	0.5259	0.5637
'SRF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.3835	0.4210	0.7591	0.6983	0.6802	0.6845	0.7605	0.8001	0.7797	0.8158	1.0000	0.7829	0.8360	0.8308	0.8136	0.8258	0.8164	0.8213	0.8213	0.8283	0.7937	0.7973	0.8231	0.8552	0.8815	0.8518	0.7910	0.8442	0.7826	0.8091	0.8088	0.8872	0.8221	0.7138	0.7213	0.7287	0.7388	0.7016	0.5984	0.5820	0.7405	0.6510
'SREBF2-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2235	0.1373	0.7360	0.6693	0.6682	0.6597	0.7962	0.8280	0.7280	0.7710	0.7829	1.0000	0.9590	0.9541	0.9561	0.9509	0.9480	0.9073	0.8888	0.8900	0.8935	0.9070	0.9210	0.8872	0.8818	0.8584	0.8671	0.9101	0.8026	0.7632	0.7778	0.8178	0.7841	0.6867	0.6346	0.5820	0.7778	0.6675	0.4396	0.4580	0.4229	0.3726
