#plotCorrelation --outFileCorMatrix
	'HSF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_Aligned.sortedByCoord.out.autosomes.bam'
'HSF1-human_Aligned.sortedByCoord.out.autosomes.bam'	1.0000	0.8080	0.8214	0.8299	0.5574	0.4925	0.5440	0.5369	0.4649	0.4778	0.5037	0.5538	0.6270	0.6146	0.6105	0.5444	0.5332	0.6829	0.6496	0.6912	0.0918	0.3817	0.4020	0.3472	0.3186	0.3547	0.3447	0.3316	0.3418	0.3862	0.3761	0.2011	0.2779	0.2507	0.2489	0.2405	0.2055	0.2723	0.1838	0.4302	0.3554	0.3251
'CEBPZ-human_Aligned.sortedByCoord.out.autosomes.bam'	0.8080	1.0000	0.8198	0.8185	0.6623	0.5924	0.6493	0.6487	0.5918	0.5712	0.6000	0.6442	0.6999	0.6970	0.6984	0.6219	0.6105	0.7404	0.7311	0.7549	0.2252	0.5131	0.5352	0.4801	0.4536	0.4842	0.4760	0.4664	0.4822	0.4964	0.4886	0.3315	0.4185	0.3977	0.3963	0.3725	0.3472	0.3879	0.3071	0.5373	0.4688	0.4370
'SREBF2-human_Aligned.sortedByCoord.out.autosomes.bam'	0.8214	0.8198	1.0000	0.8270	0.6405	0.5659	0.6209	0.6170	0.5601	0.5439	0.5762	0.6216	0.6753	0.6743	0.6723	0.5983	0.5861	0.7376	0.7175	0.7518	0.1961	0.4827	0.5036	0.4462	0.4201	0.4557	0.4456	0.4362	0.4485	0.4687	0.4583	0.3074	0.3866	0.3676	0.3632	0.3396	0.3159	0.3564	0.2751	0.5213	0.4441	0.4099
'SREBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.8299	0.8185	0.8270	1.0000	0.6198	0.5500	0.6014	0.5981	0.5373	0.5301	0.5583	0.6038	0.6676	0.6616	0.6583	0.5890	0.5778	0.7229	0.6998	0.7371	0.1747	0.4602	0.4797	0.4244	0.3975	0.4327	0.4225	0.4128	0.4238	0.4517	0.4430	0.2821	0.3626	0.3389	0.3353	0.3189	0.2913	0.3435	0.2598	0.5020	0.4174	0.3920
'CEBPB-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5574	0.6623	0.6405	0.6198	1.0000	0.7699	0.8061	0.8309	0.8210	0.7368	0.7555	0.7616	0.7584	0.7879	0.7915	0.7264	0.7211	0.7622	0.8123	0.7980	0.6378	0.8008	0.8281	0.7862	0.7793	0.7933	0.7840	0.7922	0.8046	0.7530	0.7479	0.7004	0.7723	0.7734	0.7590	0.7232	0.7239	0.6982	0.6652	0.7857	0.7135	0.6905
'BCL3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4925	0.5924	0.5659	0.5500	0.7699	1.0000	0.8115	0.8641	0.8144	0.8101	0.7676	0.7725	0.7859	0.7952	0.8024	0.7616	0.7736	0.6760	0.7430	0.7239	0.6388	0.8095	0.8212	0.8145	0.8045	0.7816	0.7943	0.7913	0.8158	0.8042	0.7898	0.6729	0.7818	0.7572	0.7515	0.7595	0.7285	0.7253	0.7167	0.7174	0.6863	0.7443
'ATF3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5440	0.6493	0.6209	0.6014	0.8061	0.8115	1.0000	0.8942	0.8406	0.7900	0.8006	0.8078	0.8244	0.8370	0.8553	0.7820	0.7791	0.7315	0.7933	0.7793	0.6243	0.8087	0.8356	0.8354	0.8075	0.7956	0.7951	0.7979	0.8140	0.7956	0.7952	0.6692	0.7741	0.7579	0.7535	0.7314	0.7244	0.7154	0.6868	0.7327	0.7195	0.7093
'BCLAF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5369	0.6487	0.6170	0.5981	0.8309	0.8641	0.8942	1.0000	0.8870	0.8481	0.8332	0.8312	0.8684	0.8728	0.8864	0.8274	0.8256	0.7380	0.8120	0.7961	0.6697	0.8641	0.8896	0.8972	0.8533	0.8420	0.8500	0.8512	0.8704	0.8560	0.8588	0.7043	0.8308	0.7981	0.7911	0.7866	0.7683	0.7695	0.7512	0.7621	0.7474	0.7568
'BATF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4649	0.5918	0.5601	0.5373	0.8210	0.8144	0.8406	0.8870	1.0000	0.7746	0.7846	0.7803	0.7886	0.8085	0.8070	0.7683	0.7665	0.7124	0.7877	0.7692	0.6935	0.8931	0.9185	0.8645	0.8415	0.8614	0.8758	0.8652	0.8766	0.8092	0.8331	0.7398	0.8551	0.8374	0.8271	0.7967	0.7915	0.7436	0.7205	0.7933	0.7492	0.7433
'NFATC1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.4778	0.5712	0.5439	0.5301	0.7368	0.8101	0.7900	0.8481	0.7746	1.0000	0.7469	0.7429	0.7708	0.7693	0.7819	0.7521	0.7576	0.6463	0.7135	0.6947	0.6082	0.7692	0.7844	0.7941	0.7714	0.7473	0.7493	0.7553	0.7803	0.7873	0.7753	0.6352	0.7413	0.7175	0.7093	0.7166	0.6938	0.6997	0.6903	0.6776	0.6423	0.6934
