#plotCorrelation --outFileCorMatrix
	'SIX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'HSF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'
'SIX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	1.0000	0.5071	0.3435	0.4292	0.4651	0.5061	0.4710	0.5729	0.4955	0.5273	0.5807	0.5330	0.5282	0.4343	0.3860	0.4103	0.5273	0.5105	0.5115	0.5892	0.5556	0.7289	0.5605	0.5446	0.5055	0.4692	0.4397	0.4705	0.4464	0.4644	0.4937	0.4975	0.4804	0.5109	0.5414	0.3578	0.2802	0.2247	0.2860	0.2931	0.1010	0.1208
'YY1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5071	1.0000	0.4161	0.4648	0.5034	0.5900	0.3191	0.3654	0.3409	0.4191	0.4693	0.4083	0.4114	0.5290	0.4775	0.4100	0.4990	0.5044	0.4821	0.5310	0.5431	0.6303	0.5318	0.5309	0.5700	0.5324	0.5131	0.5021	0.4633	0.4868	0.5315	0.5136	0.5356	0.5666	0.5981	0.2770	0.3552	0.2658	0.3011	0.3443	0.1604	0.0930
'EBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.3435	0.4161	1.0000	0.5093	0.5164	0.5078	0.3519	0.3904	0.3735	0.4980	0.5234	0.4887	0.4709	0.5055	0.5518	0.5905	0.6147	0.5236	0.5518	0.5393	0.7018	0.5664	0.5490	0.6004	0.6735	0.7203	0.6805	0.5402	0.5838	0.6266	0.6193	0.5986	0.6621	0.6348	0.6080	0.2807	0.3345	0.2492	0.3143	0.3334	0.0948	0.0992
'SP1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4292	0.4648	0.5093	1.0000	0.5186	0.5769	0.6094	0.4441	0.4085	0.5231	0.5441	0.4987	0.4886	0.5246	0.5017	0.4812	0.5878	0.5496	0.5741	0.5557	0.6292	0.6067	0.5579	0.5702	0.6276	0.5965	0.5672	0.5076	0.5004	0.5330	0.5538	0.5427	0.5826	0.5891	0.5906	0.3113	0.3221	0.2543	0.3143	0.3593	0.1772	0.1154
'SRF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4651	0.5034	0.5164	0.5186	1.0000	0.6439	0.4646	0.4979	0.4643	0.6005	0.6218	0.6116	0.5830	0.5923	0.5997	0.5447	0.6971	0.6417	0.6637	0.6698	0.7012	0.6887	0.7025	0.6840	0.7390	0.6481	0.5969	0.5997	0.6016	0.5924	0.6179	0.6284	0.6532	0.6744	0.6654	0.3607	0.6003	0.3317	0.4061	0.4183	0.3684	0.1559
'ELF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5061	0.5900	0.5078	0.5769	0.6439	1.0000	0.3292	0.3769	0.3323	0.5104	0.5104	0.4774	0.4547	0.6028	0.5987	0.4156	0.6270	0.6098	0.6416	0.6071	0.6216	0.6933	0.6042	0.5785	0.7048	0.6384	0.5759	0.5633	0.5505	0.5013	0.5482	0.5300	0.5949	0.6703	0.6641	0.2845	0.4777	0.3143	0.3968	0.4821	0.1940	0.1142
'CEBPZ-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4710	0.3191	0.3519	0.6094	0.4646	0.3292	1.0000	0.8603	0.8684	0.7328	0.8416	0.8281	0.8096	0.4580	0.3715	0.4868	0.6135	0.5736	0.5959	0.6549	0.6266	0.6645	0.6807	0.6852	0.4988	0.4891	0.4146	0.5200	0.4930	0.5290	0.5727	0.5947	0.5511	0.5105	0.5560	0.5961	0.2618	0.2178	0.3395	0.2450	0.1297	0.2302
'SREBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5729	0.3654	0.3904	0.4441	0.4979	0.3769	0.8603	1.0000	0.9281	0.8350	0.9015	0.8698	0.8570	0.4911	0.4058	0.5404	0.6606	0.5972	0.6218	0.7033	0.6769	0.7360	0.7206	0.7408	0.5438	0.5364	0.4673	0.5502	0.5280	0.5811	0.6208	0.6497	0.5954	0.5493	0.6036	0.6522	0.2844	0.2534	0.3614	0.2717	0.0906	0.2227
'HSF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4955	0.3409	0.3735	0.4085	0.4643	0.3323	0.8684	0.9281	1.0000	0.7552	0.8899	0.8556	0.8476	0.4592	0.3743	0.5086	0.5979	0.5540	0.5757	0.6825	0.6395	0.7048	0.7011	0.7276	0.4961	0.5045	0.4383	0.5327	0.5075	0.5645	0.6058	0.6381	0.5632	0.5197	0.5819	0.6491	0.2633	0.2070	0.3535	0.2337	0.0840	0.2043
'JUND-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5273	0.4191	0.4980	0.5231	0.6005	0.5104	0.7328	0.8350	0.7552	1.0000	0.8529	0.8726	0.8200	0.5550	0.5279	0.6208	0.8411	0.7267	0.7911	0.7138	0.7819	0.7032	0.7397	0.7282	0.6821	0.6622	0.5462	0.5750	0.5892	0.5908	0.6230	0.6290	0.6828	0.6373	0.6203	0.5532	0.3575	0.3203	0.4366	0.4058	0.1012	0.2239
