#plotCorrelation --outFileCorMatrix
	'HSF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'
'HSF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	1.0000	0.8074	0.8295	0.8208	0.5546	0.4879	0.4601	0.5391	0.5326	0.4729	0.4995	0.5503	0.6234	0.6071	0.6110	0.5399	0.5287	0.6814	0.6479	0.6890	0.0846	0.3967	0.3762	0.3407	0.3125	0.3494	0.3394	0.3260	0.3361	0.3801	0.3706	0.1950	0.2713	0.2443	0.2434	0.1988	0.2340	0.2657	0.1756	0.4260	0.3216	0.3515
'CEBPZ-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.8074	1.0000	0.8171	0.8190	0.6591	0.5880	0.5869	0.6442	0.6442	0.5663	0.5958	0.6407	0.6967	0.6942	0.6934	0.6177	0.6063	0.7380	0.7282	0.7523	0.2181	0.5297	0.5077	0.4734	0.4474	0.4786	0.4710	0.4606	0.4764	0.4897	0.4830	0.3256	0.4119	0.3913	0.3904	0.3400	0.3662	0.3815	0.2988	0.5328	0.4346	0.4646
'SREBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.8295	0.8171	1.0000	0.8261	0.6161	0.5454	0.5324	0.5963	0.5935	0.5254	0.5539	0.5995	0.6635	0.6542	0.6574	0.5842	0.5728	0.7209	0.6975	0.7348	0.1674	0.4739	0.4542	0.4178	0.3909	0.4270	0.4169	0.4065	0.4179	0.4454	0.4373	0.2759	0.3559	0.3323	0.3288	0.2838	0.3128	0.3367	0.2508	0.4968	0.3887	0.4130
'SREBF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.8208	0.8190	0.8261	1.0000	0.6378	0.5621	0.5561	0.6164	0.6127	0.5396	0.5718	0.6175	0.6716	0.6686	0.6709	0.5939	0.5827	0.7357	0.7157	0.7500	0.1898	0.4989	0.4774	0.4401	0.4144	0.4506	0.4410	0.4310	0.4434	0.4626	0.4532	0.3022	0.3809	0.3620	0.3579	0.3099	0.3343	0.3504	0.2673	0.5177	0.4069	0.4403
'CEBPB-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5546	0.6591	0.6161	0.6378	1.0000	0.7671	0.8189	0.8034	0.8281	0.7332	0.7535	0.7588	0.7552	0.7877	0.7843	0.7232	0.7172	0.7597	0.8101	0.7959	0.6341	0.8259	0.7982	0.7829	0.7769	0.7908	0.7817	0.7894	0.8020	0.7492	0.7443	0.6973	0.7698	0.7708	0.7561	0.7204	0.7197	0.6957	0.6603	0.7828	0.6909	0.7111
'BCL3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4879	0.5880	0.5454	0.5621	0.7671	1.0000	0.8126	0.8091	0.8628	0.8079	0.7652	0.7702	0.7835	0.8006	0.7921	0.7592	0.7715	0.6717	0.7407	0.7211	0.6358	0.8195	0.8080	0.8126	0.8020	0.7799	0.7930	0.7894	0.8141	0.8027	0.7884	0.6699	0.7799	0.7548	0.7489	0.7257	0.7573	0.7226	0.7131	0.7136	0.7452	0.6837
'BATF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4601	0.5869	0.5324	0.5561	0.8189	0.8126	1.0000	0.8390	0.8853	0.7726	0.7829	0.7780	0.7857	0.8044	0.8054	0.7654	0.7634	0.7090	0.7853	0.7664	0.6919	0.9176	0.8922	0.8631	0.8399	0.8601	0.8747	0.8636	0.8755	0.8069	0.8312	0.7376	0.8541	0.8360	0.8258	0.7897	0.7949	0.7425	0.7179	0.7909	0.7457	0.7479
'ATF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5391	0.6442	0.5963	0.6164	0.8034	0.8091	0.8390	1.0000	0.8934	0.7881	0.7985	0.8047	0.8224	0.8534	0.8349	0.7793	0.7770	0.7277	0.7909	0.7760	0.6208	0.8339	0.8070	0.8341	0.8054	0.7935	0.7932	0.7957	0.8119	0.7936	0.7939	0.6660	0.7719	0.7552	0.7508	0.7213	0.7286	0.7129	0.6833	0.7296	0.7093	0.7175
'BCLAF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5326	0.6442	0.5935	0.6127	0.8281	0.8628	0.8853	0.8934	1.0000	0.8471	0.8323	0.8292	0.8673	0.8853	0.8708	0.8257	0.8237	0.7342	0.8097	0.7929	0.6667	0.8879	0.8626	0.8964	0.8517	0.8401	0.8485	0.8494	0.8687	0.8545	0.8575	0.7016	0.8290	0.7957	0.7888	0.7656	0.7840	0.7678	0.7484	0.7591	0.7575	0.7454
'NFATC1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4729	0.5663	0.5254	0.5396	0.7332	0.8079	0.7726	0.7881	0.8471	1.0000	0.7450	0.7400	0.7689	0.7803	0.7671	0.7495	0.7554	0.6422	0.7107	0.6906	0.6056	0.7822	0.7671	0.7930	0.7696	0.7448	0.7475	0.7533	0.7785	0.7856	0.7742	0.6324	0.7397	0.7151	0.7070	0.6911	0.7140	0.6982	0.6877	0.6744	0.6937	0.6402
'RXRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.4995	0.5958	0.5539	0.5718	0.7535	0.7652	0.7829	0.7985	0.8323	0.7450	1.0000	0.7563	0.7644	0.7909	0.7774	0.7295	0.7236	0.6784	0.7363	0.7221	0.6005	0.7850	0.7663	0.7812	0.7619	0.7489	0.7510	0.7562	0.7718	0.7507	0.7428	0.6430	0.7370	0.7226	0.7200	0.6899	0.7004	0.6809	0.6564	0.6944	0.6813	0.6730
