#plotCorrelation --outFileCorMatrix
	'PBX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_Aligned.sortedByCoord.out.autosomes.bam'	'HSF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_Aligned.sortedByCoord.out.autosomes.bam'
'PBX3-human_Aligned.sortedByCoord.out.autosomes.bam'	1.0000	0.1619	0.1808	0.1692	0.1757	0.1729	0.1769	0.1768	0.1781	0.1846	0.1898	0.1806	0.1783	0.2336	0.1995	0.1747	0.1894	0.2124	0.2495	0.2240	0.4211	0.2024	0.3308	0.2005	0.2048	0.2150	0.2140	0.3254	0.2035	0.1657	0.1742	0.2380	0.1582	0.2224	0.1410	0.1361	0.1415	0.2340	0.1107	0.1148	0.6973	0.2321
'SREBF2-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1619	1.0000	0.8929	0.9564	0.9510	0.9506	0.9579	0.9476	0.9012	0.8833	0.8938	0.9135	0.9189	0.8823	0.8610	0.8679	0.9066	0.8810	0.8466	0.7994	0.8059	0.8202	0.8276	0.7994	0.7700	0.7959	0.6841	0.6377	0.7914	0.7034	0.7715	0.7209	0.7332	0.7487	0.6756	0.6729	0.6584	0.4587	0.4671	0.3066	0.5024	0.4772
'CEBPZ-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1808	0.8929	1.0000	0.9526	0.9612	0.9394	0.9450	0.9677	0.9048	0.9439	0.9343	0.9214	0.9490	0.8978	0.8892	0.8354	0.8364	0.8285	0.8085	0.7937	0.8536	0.8601	0.8889	0.8858	0.8162	0.8383	0.7999	0.7510	0.7899	0.6922	0.7290	0.7455	0.6566	0.6698	0.5788	0.5677	0.5515	0.4543	0.3937	0.6048	0.6388	0.6298
'HSF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1692	0.9564	0.9526	1.0000	0.9865	0.9819	0.9827	0.9842	0.9200	0.9114	0.9174	0.9330	0.9546	0.9066	0.8793	0.8772	0.9192	0.8854	0.8474	0.8186	0.8402	0.8390	0.8495	0.8304	0.7915	0.8206	0.7195	0.6737	0.8181	0.7096	0.7786	0.7333	0.7227	0.7506	0.6645	0.6614	0.6482	0.4562	0.4455	0.3747	0.5596	0.5135
'MAFK-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1757	0.9510	0.9612	0.9865	1.0000	0.9902	0.9856	0.9851	0.9510	0.9491	0.9555	0.9665	0.9757	0.9114	0.9032	0.8949	0.9127	0.8832	0.8441	0.8312	0.8554	0.8681	0.8886	0.8702	0.8161	0.8547	0.7661	0.7113	0.8406	0.7355	0.7712	0.7565	0.7284	0.7219	0.6498	0.6333	0.6229	0.4634	0.4508	0.4223	0.5682	0.5513
'CEBPB-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1729	0.9506	0.9394	0.9819	0.9902	1.0000	0.9788	0.9738	0.9467	0.9346	0.9513	0.9700	0.9793	0.8910	0.8820	0.8867	0.9128	0.8709	0.8259	0.8317	0.8418	0.8580	0.8708	0.8475	0.7875	0.8407	0.7498	0.6858	0.8453	0.7297	0.7603	0.7456	0.7261	0.7090	0.6447	0.6240	0.6179	0.4439	0.4458	0.3544	0.5447	0.5202
'ESRRA-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1769	0.9579	0.9450	0.9827	0.9856	0.9788	1.0000	0.9901	0.9372	0.9438	0.9463	0.9553	0.9612	0.9299	0.9282	0.9040	0.9301	0.9046	0.9042	0.8510	0.8616	0.8700	0.8919	0.8665	0.8196	0.8544	0.7540	0.7097	0.8227	0.7407	0.8206	0.7843	0.7660	0.7859	0.7168	0.7127	0.6943	0.5015	0.4882	0.4101	0.5617	0.5581
'SREBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1768	0.9476	0.9677	0.9842	0.9851	0.9738	0.9901	1.0000	0.9256	0.9460	0.9476	0.9471	0.9696	0.9255	0.9184	0.8831	0.9038	0.8875	0.8818	0.8383	0.8608	0.8627	0.8919	0.8748	0.8154	0.8490	0.7747	0.7268	0.8167	0.7190	0.8140	0.7803	0.7270	0.7555	0.6750	0.6716	0.6528	0.4841	0.4507	0.4780	0.5887	0.5850
'IRF4-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1781	0.9012	0.9048	0.9200	0.9510	0.9467	0.9372	0.9256	1.0000	0.9578	0.9576	0.9755	0.9373	0.8998	0.9082	0.9430	0.8946	0.8872	0.7936	0.8138	0.8267	0.8984	0.9110	0.8981	0.8693	0.8795	0.7554	0.7097	0.8363	0.8004	0.7341	0.7270	0.7592	0.6737	0.6300	0.5923	0.6076	0.4820	0.5342	0.4135	0.5002	0.5411
'ZBTB33-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1846	0.8833	0.9439	0.9114	0.9491	0.9346	0.9438	0.9460	0.9578	1.0000	0.9800	0.9714	0.9531	0.9066	0.9385	0.8849	0.8492	0.8567	0.8362	0.8277	0.8558	0.8935	0.9434	0.9312	0.8666	0.9049	0.8342	0.7839	0.8254	0.7534	0.7492	0.7853	0.7262	0.6667	0.6280	0.5919	0.5760	0.5029	0.4640	0.5803	0.5812	0.6531
'EP300-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1898	0.8938	0.9343	0.9174	0.9555	0.9513	0.9463	0.9476	0.9576	0.9800	1.0000	0.9770	0.9772	0.9062	0.9331	0.8911	0.8592	0.8572	0.8183	0.8480	0.8629	0.8970	0.9483	0.9366	0.8544	0.9030	0.8448	0.7863	0.8437	0.7747	0.7422	0.7837	0.7352	0.6639	0.6242	0.5825	0.5798	0.4958	0.4856	0.5252	0.5840	0.6571
'MYC-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1806	0.9135	0.9214	0.9330	0.9665	0.9700	0.9553	0.9471	0.9755	0.9714	0.9770	1.0000	0.9695	0.8804	0.8997	0.8938	0.8788	0.8546	0.8130	0.8191	0.8331	0.8896	0.9100	0.8877	0.8144	0.8664	0.7936	0.7195	0.8464	0.7550	0.7448	0.7621	0.7190	0.6514	0.6114	0.5732	0.5698	0.4597	0.4448	0.4320	0.5244	0.5631
'JUND-human_Aligned.sortedByCoord.out.autosomes.bam'	0.1783	0.9189	0.9490	0.9546	0.9757	0.9793	0.9612	0.9696	0.9373	0.9531	0.9772	0.9695	1.0000	0.8885	0.8961	0.8709	0.8678	0.8446	0.8040	0.8377	0.8532	0.8721	0.9055	0.8940	0.8022	0.8634	0.8161	0.7466	0.8479	0.7348	0.7451	0.7637	0.7010	0.6652	0.6050	0.5758	0.5714	0.4572	0.4359	0.4651	0.5844	0.6078
'MEF2C-human_Aligned.sortedByCoord.out.autosomes.bam'	0.2336	0.8823	0.8978	0.9066	0.9114	0.8910	0.9299	0.9255	0.8998	0.9066	0.9062	0.8804	0.8885	1.0000	0.9526	0.9048	0.9175	0.9427	0.9012	0.8865	0.9006	0.8690	0.9222	0.9060	0.9174	0.8908	0.7644	0.7722	0.7764	0.7945	0.8063	0.7755	0.8583	0.8682	0.7899	0.7802	0.7836	0.6127	0.6616	0.4868	0.6426	0.6739
