#plotCorrelation --outFileCorMatrix
	'HSF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_Aligned.sortedByCoord.out.autosomes.bam'
'HSF1-human_Aligned.sortedByCoord.out.autosomes.bam'	1.0000	0.8316	0.8432	0.8508	0.6117	0.5544	0.5307	0.5933	0.5999	0.5406	0.5646	0.6087	0.6723	0.6615	0.6577	0.5994	0.5895	0.7217	0.6927	0.7291	0.2032	0.4581	0.4760	0.4260	0.4022	0.4345	0.4252	0.4141	0.4233	0.4608	0.4507	0.2997	0.3672	0.3432	0.3415	0.3341	0.3034	0.3614	0.2831	0.5000	0.4338	0.4078
'CEBPZ-human_Aligned.sortedByCoord.out.autosomes.bam'	0.8316	1.0000	0.8416	0.8402	0.7033	0.6424	0.6420	0.6913	0.6921	0.6227	0.6488	0.6880	0.7360	0.7338	0.7343	0.6670	0.6573	0.7721	0.7641	0.7847	0.3206	0.5735	0.5929	0.5426	0.5208	0.5484	0.5406	0.5327	0.5466	0.5575	0.5493	0.4141	0.4908	0.4724	0.4711	0.4503	0.4279	0.4632	0.3916	0.5940	0.5338	0.5059
'SREBF2-human_Aligned.sortedByCoord.out.autosomes.bam'	0.8432	0.8416	1.0000	0.8477	0.6840	0.6187	0.6139	0.6633	0.6672	0.5988	0.6282	0.6678	0.7143	0.7135	0.7116	0.6465	0.6356	0.7696	0.7521	0.7820	0.2950	0.5462	0.5651	0.5126	0.4912	0.5230	0.5138	0.5058	0.5168	0.5330	0.5225	0.3931	0.4625	0.4458	0.4416	0.4213	0.4002	0.4354	0.3633	0.5797	0.5120	0.4820
'SREBF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.8508	0.8402	0.8477	1.0000	0.6660	0.6046	0.5942	0.6470	0.6502	0.5869	0.6125	0.6523	0.7075	0.7027	0.6994	0.6386	0.6288	0.7567	0.7365	0.7691	0.2765	0.5267	0.5440	0.4937	0.4716	0.5030	0.4938	0.4855	0.4953	0.5179	0.5095	0.3710	0.4418	0.4209	0.4174	0.4035	0.3791	0.4244	0.3502	0.5631	0.4886	0.4662
'CEBPB-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6117	0.7033	0.6840	0.6660	1.0000	0.7986	0.8428	0.8514	0.8297	0.7682	0.7855	0.7910	0.7869	0.8133	0.8160	0.7590	0.7547	0.7908	0.8351	0.8230	0.6828	0.8257	0.8497	0.8115	0.8066	0.8196	0.8108	0.8184	0.8294	0.7827	0.7773	0.7379	0.8012	0.8016	0.7891	0.7580	0.7584	0.7358	0.7064	0.8120	0.7481	0.7290
'BCL3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5544	0.6424	0.6187	0.6046	0.7986	1.0000	0.8371	0.8809	0.8350	0.8328	0.7965	0.8006	0.8121	0.8205	0.8263	0.7907	0.8010	0.7155	0.7745	0.7577	0.6836	0.8330	0.8432	0.8368	0.8287	0.8087	0.8194	0.8172	0.8388	0.8280	0.8146	0.7129	0.8091	0.7870	0.7817	0.7895	0.7620	0.7594	0.7517	0.7521	0.7246	0.7758
'BATF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5307	0.6420	0.6139	0.5942	0.8428	0.8371	1.0000	0.9003	0.8596	0.8013	0.8109	0.8075	0.8133	0.8312	0.8298	0.7959	0.7945	0.7475	0.8137	0.7977	0.7309	0.9063	0.9288	0.8795	0.8606	0.8785	0.8912	0.8817	0.8918	0.8316	0.8517	0.7716	0.8731	0.8572	0.8481	0.8218	0.8169	0.7753	0.7540	0.8186	0.7796	0.7745
'BCLAF1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5933	0.6913	0.6633	0.6470	0.8514	0.8809	0.9003	1.0000	0.9071	0.8666	0.8536	0.8520	0.8846	0.8884	0.9003	0.8486	0.8472	0.7697	0.8351	0.8209	0.7101	0.8801	0.9025	0.9095	0.8712	0.8611	0.8678	0.8690	0.8860	0.8735	0.8757	0.7398	0.8512	0.8222	0.8158	0.8123	0.7963	0.7979	0.7819	0.7910	0.7773	0.7862
'ATF3-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5999	0.6921	0.6672	0.6502	0.8297	0.8350	0.8596	0.9071	1.0000	0.8154	0.8251	0.8316	0.8457	0.8574	0.8731	0.8083	0.8063	0.7643	0.8188	0.8061	0.6702	0.8315	0.8554	0.8551	0.8311	0.8206	0.8197	0.8226	0.8367	0.8206	0.8196	0.7093	0.8017	0.7872	0.7832	0.7639	0.7580	0.7505	0.7254	0.7653	0.7531	0.7446
'NFATC1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5406	0.6227	0.5988	0.5869	0.7682	0.8328	0.8013	0.8666	0.8154	1.0000	0.7772	0.7737	0.7990	0.7972	0.8084	0.7822	0.7874	0.6885	0.7477	0.7310	0.6560	0.7964	0.8096	0.8191	0.7990	0.7773	0.7790	0.7847	0.8067	0.8131	0.8026	0.6784	0.7726	0.7509	0.7435	0.7507	0.7305	0.7363	0.7284	0.7161	0.6847	0.7301
'RXRA-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5646	0.6488	0.6282	0.6125	0.7855	0.7965	0.8109	0.8536	0.8251	0.7772	1.0000	0.7895	0.7953	0.8068	0.8176	0.7647	0.7596	0.7207	0.7706	0.7582	0.6524	0.7967	0.8131	0.8087	0.7928	0.7813	0.7828	0.7879	0.8017	0.7823	0.7741	0.6895	0.7717	0.7585	0.7559	0.7397	0.7308	0.7232	0.7016	0.7339	0.7152	0.7203
'SIX5-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6087	0.6880	0.6678	0.6523	0.7910	0.8006	0.8075	0.8520	0.8316	0.7737	0.7895	1.0000	0.8072	0.8189	0.8314	0.7685	0.7643	0.7410	0.7855	0.7769	0.6196	0.7827	0.8015	0.7890	0.7753	0.7659	0.7682	0.7688	0.7846	0.7696	0.7584	0.6659	0.7490	0.7363	0.7375	0.7174	0.7047	0.7016	0.6756	0.7271	0.7103	0.7107
'MEF2A-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6723	0.7360	0.7143	0.7075	0.7869	0.8121	0.8133	0.8846	0.8457	0.7990	0.7953	0.8072	1.0000	0.8610	0.8641	0.8107	0.8114	0.7535	0.7989	0.7951	0.5674	0.7715	0.7901	0.7907	0.7553	0.7456	0.7513	0.7476	0.7594	0.7768	0.7827	0.6114	0.7190	0.6844	0.6870	0.6868	0.6591	0.6911	0.6550	0.7032	0.6766	0.6911
'MEF2C-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6615	0.7338	0.7135	0.7027	0.8133	0.8205	0.8312	0.8884	0.8574	0.7972	0.8068	0.8189	0.8610	1.0000	0.8721	0.8063	0.8019	0.7729	0.8157	0.8125	0.6049	0.7958	0.8164	0.8089	0.7802	0.7749	0.7780	0.7773	0.7878	0.7866	0.7868	0.6523	0.7501	0.7248	0.7255	0.7153	0.6954	0.7090	0.6748	0.7371	0.7120	0.7141
'ETS1-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6577	0.7343	0.7116	0.6994	0.8160	0.8263	0.8298	0.9003	0.8731	0.8084	0.8176	0.8314	0.8641	0.8721	1.0000	0.8126	0.8083	0.7736	0.8189	0.8119	0.6069	0.7930	0.8163	0.8151	0.7878	0.7776	0.7777	0.7779	0.7936	0.7949	0.7911	0.6540	0.7508	0.7289	0.7314	0.7179	0.7006	0.7104	0.6803	0.7327	0.7170	0.7174
'ATF2-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5994	0.6670	0.6465	0.6386	0.7590	0.7907	0.7959	0.8486	0.8083	0.7822	0.7647	0.7685	0.8107	0.8063	0.8126	1.0000	0.7797	0.7056	0.7562	0.7493	0.5925	0.7690	0.7859	0.7815	0.7533	0.7463	0.7505	0.7488	0.7623	0.7708	0.7745	0.6274	0.7274	0.7010	0.6962	0.6969	0.6763	0.6912	0.6629	0.6965	0.6658	0.6858
'NFIC-human_Aligned.sortedByCoord.out.autosomes.bam'	0.5895	0.6573	0.6356	0.6288	0.7547	0.8010	0.7945	0.8472	0.8063	0.7874	0.7596	0.7643	0.8114	0.8019	0.8083	0.7797	1.0000	0.6970	0.7488	0.7404	0.5934	0.7662	0.7830	0.7826	0.7572	0.7432	0.7481	0.7464	0.7575	0.7790	0.7882	0.6254	0.7260	0.6954	0.6928	0.6989	0.6750	0.6924	0.6690	0.6903	0.6537	0.6866
'UBTF-human_Aligned.sortedByCoord.out.autosomes.bam'	0.7217	0.7721	0.7696	0.7567	0.7908	0.7155	0.7475	0.7697	0.7643	0.6885	0.7207	0.7410	0.7535	0.7729	0.7736	0.7056	0.6970	1.0000	0.8155	0.8300	0.5098	0.7066	0.7268	0.6827	0.6682	0.6929	0.6831	0.6851	0.6951	0.6682	0.6596	0.5933	0.6551	0.6522	0.6403	0.6062	0.6047	0.5992	0.5469	0.7202	0.6500	0.6197
'MAFK-human_Aligned.sortedByCoord.out.autosomes.bam'	0.6927	0.7641	0.7521	0.7365	0.8351	0.7745	0.8137	0.8351	0.8188	0.7477	0.7706	0.7855	0.7989	0.8157	0.8189	0.7562	0.7488	0.8155	1.0000	0.8468	0.5860	0.7758	0.7993	0.7599	0.7431	0.7651	0.7546	0.7572	0.7698	0.7383	0.7333	0.6582	0.7307	0.7250	0.7125	0.6833	0.6781	0.6711	0.6249	0.7687	0.7060	0.6817
'ESRRA-human_Aligned.sortedByCoord.out.autosomes.bam'	0.7291	0.7847	0.7820	0.7691	0.8230	0.7577	0.7977	0.8209	0.8061	0.7310	0.7582	0.7769	0.7951	0.8125	0.8119	0.7493	0.7404	0.8300	0.8468	1.0000	0.5470	0.7572	0.7771	0.7366	0.7136	0.7408	0.7350	0.7334	0.7430	0.7159	0.7121	0.6269	0.7052	0.6929	0.6811	0.6506	0.6466	0.6420	0.5929	0.7564	0.6932	0.6634
