#plotCorrelation --outFileCorMatrix
	'CEBPZ-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'HSF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'
'CEBPZ-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	1.0000	0.8934	0.9071	0.8019	0.8847	0.8763	0.8627	0.6775	0.6502	0.6897	0.7175	0.6833	0.7112	0.7406	0.7396	0.5104	0.5590	0.5460	0.6088	0.5534	0.5927	0.5567	0.6094	0.6363	0.5559	0.5463	0.4298	0.5311	0.3895	0.6126	0.3684	0.4251	0.5339	0.6755	0.2759	0.3103	0.3310	0.4802	0.4063	0.3137	0.1369	0.2705
'SREBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.8934	1.0000	0.9421	0.8742	0.9261	0.8977	0.8899	0.6956	0.6641	0.7180	0.7517	0.7194	0.7805	0.7614	0.7720	0.5359	0.5749	0.5659	0.6380	0.5770	0.6277	0.5897	0.6389	0.6713	0.5935	0.5800	0.4670	0.5712	0.4156	0.4856	0.4131	0.4496	0.5578	0.7125	0.3025	0.3266	0.3649	0.6138	0.4179	0.3358	0.1029	0.2596
'HSF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.9071	0.9421	1.0000	0.8180	0.9191	0.8955	0.8898	0.6614	0.6345	0.6764	0.7384	0.6912	0.7427	0.7557	0.7715	0.5106	0.5682	0.5565	0.6165	0.5599	0.6129	0.5833	0.6343	0.6698	0.5529	0.5572	0.4471	0.5465	0.4058	0.4498	0.3709	0.4266	0.5340	0.7167	0.2675	0.3115	0.3489	0.5008	0.4163	0.3045	0.0983	0.2477
'JUND-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.8019	0.8742	0.8180	1.0000	0.8915	0.9062	0.8669	0.8331	0.7764	0.8688	0.7642	0.8116	0.7492	0.7863	0.7724	0.5968	0.6069	0.6263	0.7210	0.6624	0.6508	0.6100	0.6524	0.6646	0.7123	0.6933	0.5462	0.6449	0.5169	0.5520	0.5272	0.5634	0.6501	0.6442	0.3648	0.3949	0.4163	0.5384	0.4875	0.4546	0.1139	0.2635
'ESRRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.8847	0.9261	0.9191	0.8915	1.0000	0.9434	0.9269	0.8079	0.7808	0.8287	0.8296	0.8347	0.8396	0.8497	0.8482	0.6498	0.6782	0.6645	0.7603	0.7084	0.7383	0.6822	0.7347	0.7503	0.7235	0.7079	0.5879	0.6538	0.5342	0.5685	0.5247	0.5671	0.6648	0.7147	0.3512	0.3977	0.4555	0.5803	0.5000	0.4184	0.1223	0.2707
'CEBPB-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.8763	0.8977	0.8955	0.9062	0.9434	1.0000	0.9280	0.8468	0.7964	0.8551	0.8082	0.8206	0.7804	0.8339	0.8160	0.6021	0.6421	0.6506	0.7242	0.6818	0.6752	0.6330	0.6810	0.6987	0.7037	0.6815	0.5418	0.6244	0.5058	0.5243	0.4930	0.5503	0.6572	0.7010	0.3656	0.3976	0.4037	0.5196	0.4996	0.4390	0.1206	0.2552
'MAFK-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.8627	0.8899	0.8898	0.8669	0.9269	0.9280	1.0000	0.7910	0.7583	0.8084	0.7959	0.7954	0.7844	0.8176	0.8087	0.6078	0.6420	0.6356	0.7153	0.6692	0.6857	0.6361	0.6884	0.7050	0.6792	0.6651	0.5389	0.6183	0.4925	0.5192	0.4766	0.5368	0.6340	0.6942	0.3393	0.3763	0.4087	0.5220	0.4781	0.4056	0.1110	0.2576
'MYC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6775	0.6956	0.6614	0.8331	0.8079	0.8468	0.7910	1.0000	0.8430	0.8936	0.7629	0.8377	0.7363	0.7777	0.7299	0.6290	0.6233	0.6556	0.7281	0.7240	0.6680	0.5765	0.6222	0.6168	0.7947	0.7377	0.5768	0.5845	0.5752	0.6011	0.6490	0.6356	0.7070	0.5558	0.4181	0.4529	0.4788	0.5154	0.5260	0.5568	0.1344	0.2384
'ZBTB33-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6502	0.6641	0.6345	0.7764	0.7808	0.7964	0.7583	0.8430	1.0000	0.8666	0.7437	0.8274	0.7669	0.7928	0.7452	0.7580	0.7070	0.6865	0.8013	0.7662	0.7609	0.6247	0.7067	0.6673	0.7943	0.7488	0.6161	0.6190	0.5543	0.5805	0.6275	0.6763	0.6894	0.5290	0.3902	0.4339	0.4984	0.4972	0.4983	0.4973	0.1277	0.2257
'EP300-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6897	0.7180	0.6764	0.8688	0.8287	0.8551	0.8084	0.8936	0.8666	1.0000	0.7972	0.8976	0.7871	0.8401	0.8099	0.7207	0.7143	0.7193	0.8363	0.7975	0.7636	0.6957	0.7372	0.7273	0.8451	0.8218	0.6806	0.7002	0.6307	0.6095	0.6357	0.7045	0.7348	0.5743	0.4159	0.4614	0.4904	0.5061	0.5157	0.5230	0.1386	0.2459
'ATF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.7175	0.7517	0.7384	0.7642	0.8296	0.8082	0.7959	0.7629	0.7437	0.7972	1.0000	0.8321	0.8429	0.8447	0.8449	0.6201	0.7121	0.6881	0.7366	0.7662	0.7681	0.7372	0.7554	0.7760	0.7472	0.7172	0.6675	0.6580	0.5624	0.5856	0.6203	0.5822	0.7103	0.5842	0.3593	0.4588	0.5233	0.5711	0.5477	0.6185	0.1534	0.2057
'IRF4-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6833	0.7194	0.6912	0.8116	0.8347	0.8206	0.7954	0.8377	0.8274	0.8976	0.8321	1.0000	0.8406	0.8481	0.8665	0.7278	0.7742	0.7701	0.8944	0.8506	0.8415	0.8315	0.8426	0.8314	0.8632	0.8489	0.8148	0.8555	0.7133	0.6537	0.6388	0.6954	0.7388	0.5749	0.3947	0.4515	0.5368	0.5440	0.5089	0.4836	0.1326	0.2026
'ETS1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.7112	0.7805	0.7427	0.7492	0.8396	0.7804	0.7844	0.7363	0.7669	0.7871	0.8429	0.8406	1.0000	0.8586	0.8725	0.7872	0.7945	0.7274	0.8237	0.8260	0.8955	0.7748	0.8370	0.8333	0.7975	0.7717	0.7273	0.6783	0.5843	0.6370	0.7060	0.6790	0.7201	0.6276	0.3571	0.4665	0.6073	0.7309	0.4516	0.4401	0.1669	0.2027
