#plotCorrelation --outFileCorMatrix
	'HSF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPZ-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SREBF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CEBPB-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BATF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCLAF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFATC1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RXRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SIX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ETS1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MEF2C-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ATF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'NFIC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'UBTF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MAFK-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ESRRA-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'MYC-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'USF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PAX5-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZBTB33-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EP300-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'REST-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ZEB1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'ELF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'IRF4-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'BCL11A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'YY1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SRF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'SP1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'EBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'TCF12-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'POU2F2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'STAT5A-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'RUNX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'JUND-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'PBX3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	'CTCF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'
'HSF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	1.0000	0.8307	0.8500	0.8427	0.6078	0.5491	0.5253	0.5944	0.5884	0.5349	0.5595	0.6047	0.6674	0.6534	0.6571	0.5945	0.5846	0.7194	0.6902	0.7268	0.2924	0.1947	0.3597	0.3362	0.3350	0.2958	0.3267	0.3536	0.2742	0.4700	0.4516	0.4186	0.3950	0.4283	0.4190	0.4077	0.4168	0.4541	0.4443	0.4950	0.4036	0.4286
'CEBPZ-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.8307	1.0000	0.8386	0.8406	0.6997	0.6374	0.6370	0.6865	0.6864	0.6172	0.6441	0.6843	0.7315	0.7296	0.7293	0.6628	0.6523	0.7694	0.7611	0.7821	0.4074	0.3122	0.4836	0.4657	0.4645	0.4201	0.4433	0.4555	0.3823	0.5869	0.5672	0.5351	0.5137	0.5421	0.5350	0.5263	0.5403	0.5504	0.5427	0.5891	0.5031	0.5287
'SREBF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.8500	0.8386	1.0000	0.8468	0.6619	0.5998	0.5889	0.6445	0.6420	0.5811	0.6072	0.6480	0.7028	0.6946	0.6980	0.6336	0.6233	0.7543	0.7338	0.7669	0.3635	0.2678	0.4343	0.4137	0.4101	0.3709	0.3963	0.4164	0.3406	0.5380	0.5203	0.4866	0.4642	0.4969	0.4877	0.4789	0.4888	0.5114	0.5029	0.5575	0.4624	0.4831
'SREBF2-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.8427	0.8406	0.8468	1.0000	0.6809	0.6142	0.6096	0.6624	0.6587	0.5939	0.6230	0.6632	0.7097	0.7072	0.7097	0.6419	0.6316	0.7670	0.7499	0.7801	0.3865	0.2871	0.4559	0.4396	0.4355	0.3934	0.4149	0.4284	0.3546	0.5597	0.5404	0.5059	0.4844	0.5173	0.5085	0.5001	0.5110	0.5265	0.5165	0.5756	0.4784	0.5068
'CEBPB-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.6078	0.6997	0.6619	0.6809	1.0000	0.7950	0.8405	0.8266	0.8484	0.7638	0.7828	0.7878	0.7829	0.8120	0.8092	0.7551	0.7499	0.7884	0.8328	0.8204	0.7343	0.6786	0.7984	0.7991	0.7859	0.7548	0.7544	0.7328	0.7012	0.8474	0.8228	0.8078	0.8039	0.8170	0.8086	0.8157	0.8267	0.7789	0.7735	0.8091	0.7286	0.7458
'BCL3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5491	0.6374	0.5998	0.6142	0.7950	1.0000	0.8352	0.8324	0.8793	0.8302	0.7935	0.7983	0.8091	0.8243	0.8171	0.7882	0.7983	0.7113	0.7719	0.7549	0.7096	0.6799	0.8068	0.7847	0.7791	0.7590	0.7869	0.7564	0.7479	0.8413	0.8310	0.8348	0.8260	0.8066	0.8180	0.8150	0.8367	0.8263	0.8131	0.7484	0.7762	0.7216
'BATF-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5253	0.6370	0.5889	0.6096	0.8405	0.8352	1.0000	0.8575	0.8986	0.7982	0.8090	0.8049	0.8101	0.8269	0.8283	0.7926	0.7905	0.7440	0.8114	0.7947	0.7690	0.7285	0.8719	0.8558	0.8467	0.8148	0.8198	0.7733	0.7509	0.9278	0.9054	0.8777	0.8586	0.8770	0.8901	0.8801	0.8904	0.8291	0.8496	0.8162	0.7761	0.7781
'ATF3-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5944	0.6865	0.6445	0.6624	0.8266	0.8324	0.8575	1.0000	0.9063	0.8134	0.8228	0.8286	0.8437	0.8711	0.8550	0.8052	0.8037	0.7601	0.8162	0.8025	0.7053	0.6661	0.7991	0.7841	0.7798	0.7546	0.7606	0.7476	0.7216	0.8531	0.8293	0.8537	0.8286	0.8179	0.8172	0.8201	0.8342	0.8185	0.8180	0.7616	0.7438	0.7501
'BCLAF1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5884	0.6864	0.6420	0.6587	0.8484	0.8793	0.8986	0.9063	1.0000	0.8652	0.8524	0.8499	0.8833	0.8992	0.8867	0.8467	0.8448	0.7657	0.8324	0.8178	0.7362	0.7065	0.8492	0.8197	0.8131	0.7936	0.8094	0.7957	0.7789	0.9005	0.8784	0.9086	0.8696	0.8589	0.8660	0.8672	0.8840	0.8720	0.8743	0.7874	0.7863	0.7746
'NFATC1-human_sponge_Aligned.sortedByCoord.out.autosomes.bam'	0.5349	0.6172	0.5811	0.5939	0.7638	0.8302	0.7982	0.8134	0.8652	1.0000	0.7747	0.7707	0.7966	0.8067	0.7949	0.7790	0.7844	0.6840	0.7440	0.7266	0.6744	0.6521	0.7696	0.7478	0.7399	0.7270	0.7469	0.7338	0.7253	0.8065	0.7931	0.8175	0.7965	0.7742	0.7762	0.7819	0.8037	0.8110	0.8009	0.7117	0.7295	0.6812
