List,Total | Count,"Total | Width, bp",High Signal | Count,,"High Signal | Width, bp",,Low Mappability | Count,,"Low Mappability | Width, bp",,Both High Signal and Low Mappability | Count,,"Both High Signal and Low Mappability | Width, bp",
hg38 Generated List,"1,273","271,267,100","1,208",94.89%,"263,841,000",97.26%,65,5.11%,"7,426,100",2.74%,-,-,-,-
hg38 Corrected List,"1,273","271,267,100","1,025",80.52%,"44,446,000",16.38%,65,5.11%,"7,426,100",2.74%,183,14.38%,"219,395,000",80.88%
hg38 GitHub List,636,"227,162,400",594,93.40%,"223,452,200",98.37%,42,6.60%,"3,710,200",1.63%,-,-,-,-
mm10 Generated List,"2,970","253,654,600","2,037",68.59%,"232,854,800",91.80%,933,31.41%,"20,799,800",8.20%,-,-,-,-
mm10 Corrected List,"2,970","253,654,600","1,691",56.94%,"55,923,200",22.05%,933,31.41%,"20,799,800",8.20%,346,11.65%,"176,931,600",69.75%
mm10 GitHub List,"3,435","238,977,200","2,555",74.38%,"221,518,800",92.69%,880,25.62%,"17,458,400",7.31%,-,-,-,-
ce10 GitHub List,100,"2,205,200",88,88.00%,"2,138,500",96.98%,12,12.00%,"66,700",3.02%,-,-,-,-
ce11 GitHub List,97,"728,500",87,89.69%,"676,800",92.90%,10,10.31%,"51,700",7.10%,-,-,-,-
dm3 GitHub List,271,"2,689,400",202,74.54%,"2,023,100",75.22%,69,25.46%,"666,300",24.78%,-,-,-,-
dm6 GitHub List,182,"3,740,300",155,85.16%,"3,325,000",88.90%,27,14.84%,"415,300",11.10%,-,-,-,-
hg19 GitHub List,834,"274,970,000",583,69.90%,"269,778,300",98.11%,251,30.10%,"5,191,700",1.89%,-,-,-,-
,,,,,,,,,,,,,,
Mean,"1,276.45","163,665,127.27",929.55,79.64%,"119,997,972.73",79.15%,298.82,18.00%,"7,637,463.64",7.15%,264.50,13.01%,"198,163,300.00",75.32%
Median,834,"238,977,200",594,80.52%,"55,923,200",92.69%,65,14.84%,"5,191,700",7.10%,264.50,13.01%,"198,163,300",75.32%
SD,"1,264.33","128,666,994.17",855.28,11.88%,"119,307,841.20",30.36%,401.51,10.90%,"8,246,554.06",6.65%,115.26,1.93%,"30,026,158.09",7.87%
