List,Total | Count,"Total | Coverage, bp","Summary of region widths, bp | Minimum","Summary of region widths, bp | Q1","Summary of region widths, bp | Median","Summary of region widths, bp | Mean","Summary of region widths, bp | Q3","Summary of region widths, bp | Max","Summary of region widths, bp | SD",# of regions overlapping | Centromeres,# of regions overlapping | Telomeres,# of regions overlapping | Short Arms,Coverage proportion of | Centromeres,Coverage proportion of | Telomeres,Coverage proportion of | Short Arms
hg38 Generated List,"1,273","271,267,100","1,000","3,300","6,300","213,093","27,400","30,602,600","1,544,972.80",42,32,4,96.70%,66.50%,83.70%
hg38 GitHub List,636,"227,162,400","1,200","3,400","10,150","357,174","57,575","30,590,100","2,009,819.30",30,35,3,97.60%,72.70%,58.90%
hg38 Kundaje Unified,910,"71,570,285",19,380,384,"78,649",565,"5,407,756","485,130.90",27,1,0,97.70%,0.00%,0.00%
b1000 k36 n10,"1,985","176,430,600","1,000","2,500","6,100","88,882","39,600","30,082,600","1,003,518.80",447,29,2,73.10%,60.30%,49.60%
b1000 k36 n50,"1,385","173,980,900","1,000","2,700","11,300","125,618","52,100","30,071,600","1,180,105.90",300,29,2,72.20%,60.30%,49.60%
b1000 k36 n100,"1,304","174,580,300","1,000","2,700","12,550","133,881","57,625","30,071,900","1,237,475.10",281,29,2,74.30%,60.30%,49.60%
b1000 k36 n200,"1,288","174,118,000","1,000","2,800","12,900","135,185","58,400","30,071,800","1,223,883.50",285,29,2,73.20%,60.30%,49.60%
b1000 k36 n300,"1,319","172,084,900","1,000","2,900","13,900","130,466","54,200","30,073,100","1,231,236.20",333,29,2,70.20%,60.30%,49.60%
b1000 k50 n10,"1,917","170,295,700","1,000","2,500","8,100","88,834","39,300","30,071,100","1,019,665.50",451,29,2,61.80%,60.30%,49.60%
b1000 k50 n50,"1,462","168,861,500","1,500","2,800","11,450","115,500","50,075","30,071,600","1,146,234.40",318,28,2,62.60%,58.20%,49.60%
b1000 k50 n100,"1,384","169,241,000","1,500","2,900","13,000","122,284","53,225","30,071,900","1,199,247.10",308,28,2,63.70%,58.20%,49.60%
b1000 k50 n200,"1,373","168,026,500","1,600","2,900","12,900","122,379","51,000","30,071,800","1,184,086.20",309,29,2,61.90%,60.30%,49.60%
b1000 k50 n300,"1,381","166,504,400","1,300","3,200","13,200","120,568","48,900","30,067,400","1,200,469.00",347,28,2,59.70%,58.20%,49.60%
b1000 k100 n10,"2,959","161,364,900","1,100","2,200","3,900","54,534","14,250","30,036,200","805,810.70",221,28,2,40.10%,58.20%,49.60%
b1000 k100 n50,"2,382","161,863,800","1,100","2,500","4,100","67,953","20,300","30,036,400","897,895.70",190,28,2,42.50%,58.20%,49.60%
b1000 k100 n100,"2,270","161,303,300","1,100","2,500","4,200","71,059","22,250","30,061,200","919,918.00",187,26,2,42.80%,54.00%,49.60%
b1000 k100 n200,"2,202","161,774,300","1,100","2,600","4,400","73,467","23,675","30,036,400","935,044.50",185,26,2,43.20%,54.00%,49.60%
