File,Sponge Count,Percent Sponge,hg38 Count,Percent hg38,Autosome,Percent Autosome,Sex Chromosome,Percent Sex Chromosome,Mitochondrial,Percent Mitochondrial,Viral (EBV),Percent Viral (EBV),Unplaced,Percent Unplaced,Random,Percent Random,Unknown,Percent Unknown
36bp High Signal,"456,552,591",75.91%,"144,870,904",24.09%,"141,400,985",23.51%,"3,469,919",0.58%,0,0.000000%,0,0.0000%,0,0.00%,0,0.00%,0,0.00%
36bp Generated Blacklist,"1,107,620,684",69.48%,"486,453,108",30.52%,"446,853,338",28.03%,"39,599,770",2.48%,0,0.000000%,0,0.0000%,0,0.00%,0,0.00%,0,0.00%
36bp Whole Genome,"7,624,115,768",48.78%,"8,006,073,154",51.22%,"7,574,830,035",48.46%,"344,162,912",2.20%,"2,857",0.000018%,"12,157,331",0.0778%,"29,990,163",0.19%,"44,929,856",0.29%,0,0.00%
36bp GreyListChIP,"1,057,440,979",88.26%,"140,615,509",11.74%,"102,295,250",8.54%,"8,076,498",0.67%,"2,857",0.000238%,"6,508,311",0.5432%,"10,265,818",0.86%,"13,466,775",1.12%,0,0.00%
36bp GitHub Blacklist,"1,021,383,310",72.42%,"388,981,698",27.58%,"367,142,164",26.03%,"21,839,534",1.55%,0,0.000000%,0,0.0000%,0,0.00%,0,0.00%,0,0.00%
36bp Nordin CUT&RUN,"672,554,725",94.34%,"40,363,651",5.66%,"36,970,003",5.19%,"3,390,791",0.48%,"2,857",0.000401%,0,0.0000%,0,0.00%,0,0.00%,0,0.00%
36bp HS + LM,"591,814,514",71.26%,"238,666,355",28.74%,"220,987,477",26.61%,"17,678,878",2.13%,0,0.000000%,0,0.0000%,0,0.00%,0,0.00%,0,0.00%
36bp Low Mappability,"198,852,122",61.21%,"125,997,356",38.79%,"110,856,554",34.13%,"15,140,802",4.66%,0,0.000000%,0,0.0000%,0,0.00%,0,0.00%,0,0.00%
36bp Kundaje Unified,"514,018,288",79.42%,"133,173,470",20.58%,"124,571,427",19.25%,"8,602,043",1.33%,0,0.000000%,0,0.0000%,0,0.00%,0,0.00%,0,0.00%
101bp High Signal,"439,891,225",42.82%,"587,343,282",57.18%,"575,155,864",55.99%,"12,187,418",1.19%,0,0.000000%,0,0.0000%,0,0.00%,0,0.00%,0,0.00%
101bp Generated Blacklist,"690,351,725",33.89%,"1,346,682,987",66.11%,"1,253,615,658",61.54%,"93,067,329",4.57%,0,0.000000%,0,0.0000%,0,0.00%,0,0.00%,0,0.00%
101bp Whole Genome,"1,539,209,109",6.21%,"23,265,827,451",93.79%,"22,152,879,656",89.31%,"913,827,887",3.68%,"8,734",0.000035%,"1,067,716",0.0043%,"92,440,442",0.37%,"105,603,016",0.43%,0,0.00%
101bp GreyListChIP,"1,247,192,305",74.30%,"431,313,485",25.70%,"347,886,342",20.73%,"12,073,305",0.72%,"8,734",0.000520%,"1,040,279",0.0620%,"35,285,509",2.10%,"35,019,316",2.09%,0,0.00%
101bp GitHub Blacklist,"687,138,720",38.18%,"1,112,384,235",61.82%,"1,055,446,808",58.65%,"56,937,427",3.16%,0,0.000000%,0,0.0000%,0,0.00%,0,0.00%,0,0.00%
101bp Nordin CUT&RUN,"1,095,951,591",80.38%,"267,556,264",19.62%,"261,339,607",19.17%,"6,207,923",0.46%,"8,734",0.000641%,0,0.0000%,0,0.00%,0,0.00%,0,0.00%
101bp HS + LM,"521,769,580",37.65%,"863,900,560",62.35%,"808,450,351",58.34%,"55,450,209",4.00%,0,0.000000%,0,0.0000%,0,0.00%,0,0.00%,0,0.00%
101bp Low Mappability,"97,768,568",18.13%,"441,605,648",81.87%,"395,406,292",73.31%,"46,199,356",8.57%,0,0.000000%,0,0.0000%,0,0.00%,0,0.00%,0,0.00%
101bp Kundaje Unified,"399,964,084",45.66%,"475,963,647",54.34%,"456,776,190",52.15%,"19,187,457",2.19%,0,0.000000%,0,0.0000%,0,0.00%,0,0.00%,0,0.00%
