gene_id_clean,gene_id,transcript_id(s),logFC,logCPM,LR,PValue,FDR,hgnc_symbol,description,gene_biotype,total_exon_length
ENSG00000198695,ENSG00000198695.2,ENST00000361681.2,-16.359897,8.02496067,1492.72513,0,0,MT-ND6,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 [Source:HGNC Symbol;Acc:HGNC:7462],protein_coding,525
ENSG00000198712,ENSG00000198712.1,ENST00000361739.1,-18.035781,9.70033679,3350.25784,0,0,MT-CO2,mitochondrially encoded cytochrome c oxidase II [Source:HGNC Symbol;Acc:HGNC:7421],protein_coding,684
ENSG00000198727,ENSG00000198727.2,ENST00000361789.2,-13.624059,9.61850859,1531.57263,0,0,MT-CYB,mitochondrially encoded cytochrome b [Source:HGNC Symbol;Acc:HGNC:7427],protein_coding,1141
ENSG00000198786,ENSG00000198786.2,ENST00000361567.2,-17.79295,9.45771467,1650.26035,0,0,MT-ND5,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 [Source:HGNC Symbol;Acc:HGNC:7461],protein_coding,1812
ENSG00000198804,ENSG00000198804.2,ENST00000361624.2,-19.843919,11.7302694,2940.71073,0,0,MT-CO1,mitochondrially encoded cytochrome c oxidase I [Source:HGNC Symbol;Acc:HGNC:7419],protein_coding,1542
ENSG00000198840,ENSG00000198840.2,ENST00000361227.2,-16.658352,8.3228006,2918.73704,0,0,MT-ND3,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 [Source:HGNC Symbol;Acc:HGNC:7458],protein_coding,346
ENSG00000198886,ENSG00000198886.2,ENST00000361381.2,-18.564915,10.229533,2643.91829,0,0,MT-ND4,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 [Source:HGNC Symbol;Acc:HGNC:7459],protein_coding,1378
ENSG00000198888,ENSG00000198888.2,ENST00000361390.2,-18.125029,9.78977654,1575.57528,0,0,MT-ND1,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 [Source:HGNC Symbol;Acc:HGNC:7455],protein_coding,956
ENSG00000198899,ENSG00000198899.2,ENST00000361899.2,-13.43612,9.83104024,1994.93975,0,0,MT-ATP6,mitochondrially encoded ATP synthase membrane subunit 6 [Source:HGNC Symbol;Acc:HGNC:7414],protein_coding,681
ENSG00000198938,ENSG00000198938.2,ENST00000362079.2,-18.396522,10.0611605,2756.57469,0,0,MT-CO3,mitochondrially encoded cytochrome c oxidase III [Source:HGNC Symbol;Acc:HGNC:7422],protein_coding,784
