Sample,Human 1,Human 2,Mouse 1,Mouse 2,Both 1,Both 2,Neither 1,Neither 2,Ambiguous 1,Ambiguous 2
W30108961,590689346,590689346,136405643,136405643,39302,39302,293193,293193,10299244,10299244
BCM2147109073,777896221,777896221,51638544,51638544,52861,52861,350445,350445,6139059,6139059
BCM15034109081,335391359,335391359,438667454,438667454,102741,102741,617617,617617,8377948,8377948
HCI013108955,664977475,664977475,76679370,76679370,42527,42527,279245,279245,5640450,5640450
W30CR109239,509510664,509510664,94194620,94194620,36693,36693,185470,185470,3854350,3854350
HCI013TamR10109174,689336792,689336792,93027607,93027607,57083,57083,399809,399809,6447316,6447316
BCM15034TamR11109165,630812266,630812266,292525887,292525887,82265,82265,784817,784817,12706328,12706328
BCM2147109076,593547056,593547056,190246737,190246737,47900,47900,410541,410541,6886061,6886061
HCI013108957,585459705,585459705,51470239,51470239,30521,30521,167361,167361,4869884,4869884
BCM2147CR109121,472909454,472909454,34954333,34954333,24780,24780,146656,146656,3652036,3652036
W30109164,538493905,538493905,23483774,23483774,36299,36299,170607,170607,3085883,3085883
BCM15034TamR12109166,706516047,706516047,338914626,338914626,66393,66393,675148,675148,18366598,18366598
W30CR109240,580238758,580238758,29187315,29187315,43540,43540,174609,174609,4176285,4176285
HCI013TamR10109175,630240921,630240921,114850331,114850331,46533,46533,488201,488201,8099078,8099078
BCM15034109082,373666328,373666328,1237291706,1237291706,206776,206776,2151830,2151830,13554315,13554315
BCM2147CR109136,584487091,584487091,43317578,43317578,30712,30712,246228,246228,5757968,5757968
