Sample,Human 1,Human 2,Mouse 1,Mouse 2,Both 1,Both 2,Neither 1,Neither 2,Ambiguous 1,Ambiguous 2
W30108961,591133342,591133342,133660397,133660397,74262,74262,3058937,3058937,9799790,9799790
BCM2147109073,776776765,776776765,50620463,50620463,95878,95878,2844773,2844773,5739251,5739251
BCM15034109081,335909153,335909153,428722029,428722029,213238,213238,10372405,10372405,7940294,7940294
HCI013108955,665093409,665093409,75253860,75253860,79715,79715,2046653,2046653,5145430,5145430
W30CR109239,509672207,509672207,92231912,92231912,63972,63972,2202957,2202957,3610749,3610749
HCI013TamR10109174,689304639,689304639,91130343,91130343,107992,107992,2808582,2808582,5917051,5917051
BCM15034TamR11109165,631113319,631113319,286185978,286185978,166555,166555,7462944,7462944,11982767,11982767
BCM2147109076,593541263,593541263,186336024,186336024,101298,101298,4717180,4717180,6442530,6442530
HCI013108957,585625500,585625500,50507454,50507454,57778,57778,1263297,1263297,4543681,4543681
BCM2147CR109121,472776264,472776264,34345474,34345474,44169,44169,1191941,1191941,3329411,3329411
W30109164,538461445,538461445,23039018,23039018,47562,47562,827040,827040,2895403,2895403
BCM15034TamR12109166,707261624,707261624,332384498,332384498,151200,151200,7369276,7369276,17372214,17372214
W30CR109240,580360849,580360849,28656958,28656958,54233,54233,844752,844752,3903715,3903715
HCI013TamR10109175,630479343,630479343,112642433,112642433,84238,84238,2996887,2996887,7522163,7522163
BCM15034109082,374936428,374936428,1210139982,1210139982,485383,485383,28372393,28372393,12936769,12936769
BCM2147CR109136,584518232,584518232,42532937,42532937,51646,51646,1366626,1366626,5370136,5370136
