#'chr'	'start'	'end'	'star_101.bam'	'star_101_sponge.bam'
chr1	121332649	121333681	27959.0	27959.0
chr1	143793766	143794867	28876.0	28857.0
chr16	55790573	55797507	94463.0	94354.0
chr16	55798801	55805732	94078.0	93975.0
chr1	144106848	144117543	205565.0	204489.0
chr1	144120360	144121604	45491.0	43045.0
chr1	144125026	144126829	50325.0	49770.0
chr1	144129312	144136847	203226.0	198511.0
chr1	144140680	144151812	336106.0	329495.0
chr1	144152904	144162400	227893.0	227302.0
chr1	144163850	144182308	392687.0	388409.0
chr1	144184666	144197878	283363.0	279169.0
chr1	144199111	144213147	292361.0	291634.0
chr19	39904110	39905448	47830.0	47428.0
chr6	160613379	160614553	26452.0	19508.0
chr6	160616013	160618649	220311.0	187869.0
chr6	160624388	160625451	41958.0	26531.0
chr6	160626806	160629739	310219.0	241665.0
chr6	160637899	160646071	551119.0	437154.0
chr13	111762483	111767777	38395.0	38390.0
chr13	111769256	111774025	31958.0	31956.0
chr13	111782881	111788318	33890.0	33890.0
chr13	111793516	111843442	219.0	219.0
chr3	92589977	92591312	11461.0	11457.0
chr7	56959257	56960981	18782.0	16243.0
chr1	207526918	207541938	184543.0	184528.0
chr1	207545473	207551851	75994.0	75985.0
chr1	207554677	207560495	66546.0	66543.0
chr1	207568237	207571561	53098.0	53092.0
chr8	45133422	45136211	75.0	79.0
chr8	45141647	45142943	0.0	0.0
chr8	45144392	45145970	159.0	158.0
chr8	45147474	45148671	2204.0	2205.0
chr8	45177191	45178658	115.0	115.0
chrX	152680506	152684542	45532.0	45532.0
chrX	152689337	152696084	73764.0	73376.0
chr8	44216146	44218259	4469.0	4465.0
chr8	44219994	44221112	60.0	58.0
chr8	44244163	44245252	254.0	257.0
chr8	44280885	44282704	194.0	193.0
chr8	44290868	44291906	43.0	43.0
chr15	28446740	28448082	30163.0	30159.0
chr15	28468787	28470129	28499.0	28488.0
chr11	36554658	36555767	3423.0	3420.0
chr15	19011854	19012889	514.0	507.0
chr15	19050954	19052521	74.0	73.0
chr15	19082104	19083175	86.0	87.0
chr2	93723042	93724155	2260.0	2259.0
chr2	93780607	93781697	5343.0	5305.0
chr3	198204917	198214028	244932.0	217943.0
chr3	198215465	198217333	52369.0	47101.0
chr3	198223419	198228624	209974.0	184550.0
chr3	198229699	198295559	257030.0	249399.0
chr18	19044638	19045846	418.0	418.0
chr4	50101842	50103336	246.0	238.0
chr4	50104749	50106087	119.0	118.0
chr4	50137990	50139357	101.0	119.0
chr4	50172925	50174270	356.0	356.0
chr4	50177274	50178624	144.0	165.0
chr12	0	10016	2945143.0	2755096.0
chr12	23495	24734	32093.0	27835.0
chr12	26318	27765	40429.0	40053.0
chr12	34734	36019	59028.0	58969.0
chr16	22608065	22609117	27096.0	27083.0
chr22	10966759	11016725	115.0	74.0
chr18	80263271	80373285	796.0	775.0
chr2	95611877	95638958	398332.0	397723.0
chr2	95645542	95647728	39926.0	39922.0
chr2	95652588	95654921	33395.0	33395.0
chr4	49772988	49774126	5254.0	5243.0
chr17	60020159	60024341	113541.0	111067.0
chr17	60031343	60032833	45452.0	45452.0
chr15	17206999	17208171	2021.0	1949.0
chr15	17210050	17213243	584.0	596.0
chr15	17224940	17228300	1703.0	1715.0
chr15	17229340	17234095	1888.0	1824.0
chr15	17235369	17236776	549.0	375.0
chr15	17239502	17244872	913.0	931.0
chr15	17248322	17250264	317.0	333.0
chr15	17253138	17256158	855.0	809.0
chr15	17263741	17265039	28.0	28.0
chr15	17266626	17269989	671.0	674.0
chr15	17271164	17272345	174.0	179.0
chr15	17273897	17274963	62.0	64.0
chr15	17276923	17278805	16.0	20.0
