#'chr'	'start'	'end'	'star_101.bam'	'star_101_sponge.bam'
chr14	44705100	44709900	56700.0	55907.0
chr7	57611600	57637700	390310.0	300067.0
chr18	79617800	79621500	185316.0	185333.0
chr9	137715200	137722200	137307.0	137333.0
chr22	18175900	18947300	12685624.0	10813478.0
chr16	36166300	36202400	346437.0	333067.0
chr6	103709000	103715100	60983.0	59022.0
chr17	22520400	22527300	167278.0	44888.0
chrX	26176400	26181400	36808.0	36334.0
chr7	62265700	62409500	1853148.0	1592577.0
chr11	964100	966000	76713.0	76713.0
chr9	65579400	66874600	16400807.0	15968770.0
chr11	94232700	94240400	447167.0	424397.0
chr3	57326800	57328500	17332.0	16633.0
chr11	103408700	103410600	12029.0	12086.0
chr3	106975900	106979600	42127.0	41099.0
chr3	91516200	93749200	38293463.0	5702014.0
chrX	150024800	150026200	11545.0	11517.0
chr3	68076400	68077800	16925.0	16840.0
chr3	156279000	156283500	55009.0	53812.0
chrY	26637300	57227400	7119624.0	4089401.0
chr2	49228700	49230700	14366.0	15820.0
chrX	101471700	101474900	34603.0	33099.0
chr8	8128200	8204600	1408586.0	1342526.0
chr16	34061400	34121400	870559.0	604972.0
chr3	160941200	160948700	61110.0	61189.0
chr9	42364000	42410600	579080.0	547576.0
chr3	195775500	195791400	325165.0	333139.0
chrX	147653800	147659900	36918.0	36542.0
chr7	1271400	1273500	37355.0	36156.0
chr15	75254100	75299800	1476701.0	1412161.0
chr19	47903000	47959700	3726936.0	1664511.0
chr6	170145300	170147200	57338.0	57372.0
chr2	181274800	181276800	14016.0	13876.0
chrX	86395500	86398100	20063.0	19864.0
chr3	133551500	133579500	284164.0	283620.0
chr17	53104900	53107300	16292.0	38200.0
chr14	86074000	86076000	20936.0	20796.0
chr10	38782600	38967900	1851445.0	1523553.0
chr3	51457800	51462000	45619.0	45340.0
chr4	6002700	6005700	91347.0	91341.0
chr6	170376900	170401000	517555.0	529799.0
chr2	33766500	33768400	12278.0	10174.0
chrX	109520800	109525700	41390.0	41079.0
chrX	100257100	100261600	40657.0	37931.0
chrX	21340600	21345700	35129.0	34574.0
chr12	0	77800	5463869.0	5113556.0
chrX	147281700	147287100	106568.0	106568.0
chrX	128785000	128788700	37247.0	36290.0
chrX	155983500	156040800	3335935.0	3173845.0
chrX	1365300	1458700	793514.0	760137.0
chr4	119274400	119301700	279829.0	278284.0
chr3	165573100	165591000	161820.0	158944.0
chr12	29790400	29834600	350197.0	348517.0
chrX	30767800	30772600	34625.0	33871.0
chr5	153071100	153077000	81234.0	78755.0
chrX	91332900	91336600	26007.0	25848.0
chr11	518900	520700	14682.0	14691.0
chr11	584400	586500	50026.0	17270.0
chr7	144180800	144377300	3903913.0	3843493.0
chr16	46449700	46467000	269772.0	152114.0
chr8	141491400	141493500	44443.0	30417.0
chr19	36267900	36313700	623463.0	512456.0
chr15	54925700	54932200	68490.0	65756.0
chrX	11840900	11848000	49595.0	49382.0
chr2	132201000	132288900	702357.0	673063.0
chr2	148880800	148882800	22019.0	17555.0
chr14	104288100	104290200	26134.0	26126.0
chr3	69047300	69053600	79263.0	79264.0
chr3	178926800	178941300	115160.0	114720.0
chrX	10966600	10976800	66096.0	65865.0
chr15	74068100	74102000	1020534.0	986320.0
chrX	73381000	73387000	74654.0	72597.0
chr2	36183000	36184500	35813.0	35815.0
chr3	122414300	122417500	54577.0	54571.0
chr11	1015700	1019300	151015.0	150983.0
chr11	1091000	1098200	94534.0	95288.0
chr18	0	64600	884025.0	805255.0
chr15	30844100	30859900	128589.0	128376.0
chrX	115725600	115889600	1543228.0	1393208.0
chr5	181172600	181538200	6885615.0	6560606.0
chrX	74952200	74995200	270000.0	268780.0
chr3	19624000	19627100	38023.0	37590.0
chr8	59168700	59170400	18320.0	18253.0
chrY	11072100	11335300	5831442.0	1947213.0
chr5	156658300	156665400	176040.0	163898.0
chrX	89202500	89208400	125597.0	116047.0
chr9	134164500	134185500	221411.0	221353.0
chr9	63761400	64027300	3177251.0	2417684.0
chrX	131664300	131670000	60777.0	59308.0
chrX	139621500	139622800	10751.0	10443.0
chr13	16226300	18171400	35395259.0	35698961.0
chrX	70963600	70964900	13012.0	12935.0
chrX	87220500	87222100	10798.0	10786.0
chrX	116557600	116595600	2502.0	2502.0
chr22	11976900	15154400	10818685.0	8200059.0
chrX	2223900	2521900	2304288.0	2303829.0
chr18	2841300	2861500	192343.0	192163.0
chr9	43263100	61518900	19468076.0	18903608.0
chrX	139437600	139446800	60419.0	60090.0
chr15	25757700	25759100	18972.0	18986.0
chr16	34657200	34672500	249004.0	163798.0
chr16	34694600	34772000	1282297.0	881601.0
chr5	71850000	71852800	24632.0	23437.0
chr16	34832600	34922100	1088643.0	768394.0
chr3	65510000	65513900	55050.0	52678.0
chr16	29430800	29566900	4174866.0	4121886.0
chr3	137168400	137169900	17077.0	16949.0
chr6	44043600	44080000	501921.0	501889.0
chr9	41661300	42119600	6221845.0	5864382.0
chr3	198099800	198295500	3000173.0	2795939.0
chr3	177660600	177664000	35495.0	34933.0
chr2	91969000	94569500	18805570.0	18538400.0
chrX	25773300	25776000	16350.0	16008.0
chrX	67626800	67632300	51159.0	50785.0
chr5	45743000	45744800	20465.0	20210.0
chr3	168012100	168016800	60901.0	60327.0
chrX	110816700	110833400	120931.0	120360.0
chrX	5481200	5486100	39187.0	39003.0
chrX	42872300	42910700	238386.0	237029.0
chr9	85071600	85075100	37332.0	36746.0
chr6	34070600	34074000	78412.0	78266.0
chr6	170465400	170468400	39269.0	42467.0
chr2	239642200	239645600	67218.0	67226.0
chr4	77994000	78009600	114190.0	114311.0
chr2	87217000	87866200	9570682.0	9268090.0
chr2	113370100	113662700	4139717.0	4043755.0
chr1	224010800	224017000	164403.0	129458.0
chr4	9212700	9369600	623038.0	637159.0
chr9	33656600	33660000	24705.0	25040.0
chr5	46433900	46687700	1207670.0	1210217.0
chr22	21113500	21554000	10529513.0	10161599.0
chr8	69688400	69691100	38713.0	23374.0
chr3	157080800	157093400	175003.0	174999.0
chr12	2519800	2540500	237059.0	237087.0
chr4	189834900	189849700	326525.0	291937.0
chr4	189877500	190023700	1211056.0	1085476.0
chr3	21983200	21988100	46950.0	45320.0
chr6	256500	382800	1914671.0	1860606.0
chr2	91783000	91924800	1805075.0	1559593.0
chrX	72489400	72490800	12961.0	12882.0
chr11	0	194500	3753588.0	3511808.0
chr8	105789200	105793800	46004.0	45832.0
chr5	93947500	93948900	13796.0	13396.0
chr18	76966200	76968500	107294.0	107288.0
chr2	88771000	88806500	333417.0	264790.0
chr13	114353300	114364300	21683.0	12818.0
chr8	81841500	81851900	104097.0	102803.0
chr3	196249400	196251900	39300.0	39301.0
chr5	74685400	74712400	247501.0	245696.0
chrX	131152200	131157400	49415.0	48547.0
chrX	49317500	49623500	2295721.0	1764102.0
chrX	9403600	9415100	482801.0	449375.0
chr9	40792500	41323100	8553076.0	7623065.0
chr1	0	792500	34694843.0	18074485.0
chr7	142665100	142668500	26318.0	26658.0
chr4	0	69200	1656453.0	1551947.0
chr5	175904500	176118000	2802118.0	2767512.0
chrX	93618000	93633400	81650.0	81339.0
chr3	29993900	29999900	55794.0	54402.0
chr4	181238800	181242300	6011.0	6010.0
chr7	61102900	61725200	3305972.0	3241333.0
chr9	35912600	35915300	149061.0	149037.0
chr10	126946300	126953400	178162.0	177186.0
chr20	26364200	28916900	14786755.0	13311525.0
chr9	42899400	42901300	15677.0	14861.0
chrX	1480900	1492800	127695.0	122449.0
chrX	124584300	124588400	32352.0	31757.0
chr6	61321800	61493000	1313688.0	1287681.0
chr22	50642800	50644900	75754.0	68812.0
chr1	103594400	103760600	2526375.0	2523618.0
chr5	171083900	171090200	67127.0	65652.0
chr3	69475300	69479700	40433.0	39772.0
chr5	100045500	100076300	256837.0	308549.0
chr7	100951400	100968300	387151.0	338484.0
chr7	100991500	101004600	1109015.0	1050286.0
chr12	133249000	133275300	114177.0	114073.0
chr2	109198400	109200700	17248.0	15687.0
chr9	137326800	137330600	232744.0	232302.0
chr13	109423200	109425200	474109.0	15815.0
chr3	96616300	96619300	23435.0	38634.0
chr3	197383400	197428800	446841.0	439226.0
chr1	125130200	143562200	210573284.0	44958820.0
chr22	50786600	50818400	2005475.0	1732980.0
chrX	456500	531800	722835.0	648172.0
chr19	34860600	34866200	78788.0	77345.0
chr1	91386300	91388400	205135.0	15212.0
chr5	177636700	177684700	536633.0	529631.0
chr2	4643800	4648800	52025.0	50590.0
chr3	176828700	176833000	45019.0	44184.0
chr3	192739300	192742700	42465.0	42225.0
chr12	66473900	66475800	15873.0	15872.0
chrX	16361200	16366000	34658.0	34456.0
chr14	100525900	100527800	25505.0	25505.0
chr5	0	44100	309830.0	304697.0
chrX	31511400	31535800	140587.0	140232.0
chr14	32483400	32486000	18065.0	30549.0
chrX	864500	930400	456956.0	448353.0
chr8	43236700	43262600	239382.0	212229.0
chr2	110229200	110633400	6645033.0	6581667.0
chr5	17516800	17600200	3208050.0	2630542.0
chr17	21783300	22054000	2700111.0	1291963.0
chr11	93417500	93427700	99016.0	97878.0
chr12	124430500	124440300	158839.0	158668.0
chr2	32915300	32918400	27444.0	21097.0
chr22	20337400	20343300	148164.0	121953.0
chr14	105568500	105583900	229990.0	221936.0
chr1	161423100	161472400	8099955.0	7320150.0
chr15	0	17035000	317892.0	254437.0
chr5	119904000	119905600	15665.0	15637.0
chr20	28939400	29264700	3322937.0	2067856.0
chr9	319900	322400	2848.0	2848.0
chr21	0	8679600	211192180.0	50893791.0
chr11	131679500	131681500	54427.0	54407.0
chr7	62430000	62520600	1626699.0	1492711.0
chrX	154938900	154945100	51322.0	50894.0
chrX	80534100	80537000	28636.0	28401.0
chr9	137841200	137846800	41841.0	37777.0
chr15	77698600	77700600	35990.0	35898.0
chr12	5928900	5933000	152835.0	152873.0
chrX	56754900	56781100	528941.0	521573.0
chr18	79013800	79040300	222692.0	228873.0
chr8	141871100	141875200	80422.0	80410.0
chr5	80649100	80653100	110684.0	66245.0
chr8	46829400	46832000	16910.0	16892.0
chr15	56311200	56314600	48372.0	46000.0
chrX	2580600	2751300	1402578.0	1400313.0
chr19	50090500	50140400	2546746.0	1469179.0
chr3	196897800	196899800	19783.0	18184.0
chr14	35947200	35950000	71872.0	51460.0
chr19	0	271200	5859192.0	5586862.0
chr6	54961900	54967400	51970.0	50192.0
chr17	1307700	1312000	8771.0	8137.0
chr5	109259500	109265400	25912.0	25489.0
chrX	53761700	53789500	163998.0	163727.0
chr2	13718700	13737700	135479.0	134869.0
chr2	1221700	1223900	89208.0	77937.0
chr2	1594700	1605200	143382.0	143409.0
chrX	148347100	148378700	166159.0	165942.0
chr2	111253600	111500500	3287592.0	3269245.0
chr12	130386400	130394100	121288.0	121257.0
chr7	57485300	57497800	131852.0	117428.0
chrX	135718600	135888700	3405994.0	3078540.0
