#'chr'	'start'	'end'	'star_36.bam'	'star_36_sponge.bam'
chrX	102010329	102010712	1468.0	966.0
chrX	102011531	102011915	1079.0	641.0
chr4	30884524	30884906	1922.0	1175.0
chr2	155196092	155196473	1740.0	1016.0
chr3	91519649	93657524	14768274.0	1482696.0
chr2	125812046	125812548	2538.0	1313.0
chr7	37387570	37387950	2050.0	1141.0
chr21	32095835	32096215	2084.0	1115.0
chr12	3887955	3888335	1477.0	838.0
chr2	33964664	33965045	2468.0	1381.0
chr11	81551734	81551934	1265.0	754.0
chr11	81553835	81554282	2712.0	1335.0
chr11	81556152	81556537	1746.0	1031.0
chr11	81556717	81557101	2191.0	1205.0
chr8	110933150	110933533	2021.0	1188.0
chr8	110934510	110935010	3015.0	1543.0
chr9	5091131	5091511	1958.0	1161.0
chr9	5091962	5093013	6418.0	3560.0
chr9	5093063	5094123	60526.0	4435.0
chr9	5094192	5094697	2566.0	1493.0
chr9	5094931	5095816	5587.0	2904.0
chr9	5096206	5096816	4009.0	2193.0
chr9	5097188	5097890	5194.0	2277.0
chr9	5098134	5098516	2177.0	1186.0
chr9	5099352	5099552	986.0	592.0
chr2	638427	638808	1602.0	867.0
chr12	20769413	20769432	8226.0	4506.0
chrX	106239694	106239894	596.0	354.0
chr15	67040730	67041122	3780.0	1881.0
chrX	77501934	77502314	1402.0	786.0
chr1	55372488	55372869	1868.0	1060.0
chr4	107501924	107502304	1215.0	703.0
chr2	147048574	147048955	1727.0	1018.0
chr4	66065193	66065631	1673.0	986.0
chr14	46847040	46847420	1621.0	908.0
chr4	179069259	179069639	1652.0	948.0
chr9	78810721	78811113	2680.0	1117.0
chrX	33762401	33762781	1277.0	711.0
chr22	11974159	11974336	4983.0	1555.0
chr6	127735330	127735710	2103.0	1141.0
chr6	104699855	104700055	1324.0	751.0
chr7	83469984	83470184	1102.0	593.0
chr2	57648677	57649057	2852.0	1569.0
chr2	120211535	120212064	3435.0	1918.0
chr2	120212685	120213069	2173.0	1203.0
chr2	120213761	120214143	2213.0	1106.0
chr2	120214590	120215370	4845.0	2622.0
chr2	131369643	131369925	2105.0	1200.0
chr2	131370949	131371562	5323.0	2493.0
chr2	131371916	131372361	3140.0	1639.0
chr2	131372758	131373137	2860.0	1623.0
chr2	131379317	131380344	6029.0	3456.0
chr2	131381592	131381973	2199.0	1242.0
chr2	131382344	131382728	2641.0	1527.0
chr2	131382772	131382974	1546.0	951.0
chr2	131383079	131384016	6418.0	3891.0
chr2	131384051	131384621	4759.0	2381.0
chr2	131384898	131385281	2323.0	1354.0
chr2	131385356	131385794	3636.0	1579.0
chrX	143430213	143430837	2435.0	1332.0
chrX	143431144	143431537	1733.0	754.0
chrX	143431716	143432219	2576.0	1426.0
chrX	143432410	143433212	2698.0	1665.0
chrX	143433510	143434156	1993.0	1116.0
chr1	76971068	76971595	3276.0	1538.0
chr20	18449173	18449556	1304.0	736.0
chr2	143088644	143089042	25767.0	2168.0
chr2	143089938	143090358	2445.0	1452.0
chr2	143090898	143091662	4969.0	2464.0
chr2	143092255	143092646	2999.0	1581.0
chr2	143093556	143093941	1965.0	1129.0
chr2	143094515	143094999	2233.0	1286.0
chr2	143095614	143095994	1974.0	1129.0
chr2	143096048	143096428	1877.0	1076.0
chr2	143096470	143097336	5324.0	2891.0
chr2	143097466	143097981	2407.0	1355.0
chr9	78741395	78741775	1887.0	1096.0
chr9	78742155	78742969	4435.0	2380.0
chr9	78743199	78743630	3620.0	1375.0
chr9	78744108	78744492	2518.0	1446.0
chr2	156828628	156829008	1665.0	932.0
chr7	36228567	36229008	2397.0	1318.0
chr1	181422611	181423158	3470.0	1839.0
chr5	106553187	106553689	42235.0	1870.0
chr21	7919585	7919691	13884.0	1693.0
chr1	215499615	215500014	35536.0	1106.0
chr13	16226300	18171400	20583087.0	10875205.0
chrX	126728884	126729272	1553.0	859.0
chrX	126729326	126729709	2106.0	1174.0
chrX	126729837	126730217	1492.0	887.0
chrX	126730716	126731106	12493.0	1065.0
chrX	126731624	126732029	48412.0	668.0
chrY	11290797	11334278	8497915.0	486512.0
chr5	163959711	163960091	1620.0	932.0
chr8	67580689	67581493	4582.0	2457.0
chr8	67581588	67581972	2166.0	1204.0
chr8	67582178	67582568	3255.0	1577.0
chr8	67585216	67585693	160601.0	1579.0
chr8	67585787	67586175	2397.0	1270.0
chr8	67587282	67587922	3937.0	1896.0
chr8	97907908	97908279	2425.0	1268.0
chr21	8211710	8211892	48435.0	1741.0
chr21	8212412	8212570	133130.0	348.0
chr21	8213694	8213987	143536.0	6054.0
chr21	8219372	8220330	394749.0	12255.0
chr21	8234456	8234568	140713.0	22.0
chr14	51587295	51587847	3970.0	1905.0
chr8	16056863	16057063	792.0	493.0
chrX	24056083	24056470	1850.0	1026.0
chr2	110072034	110072434	3861.0	2110.0
chr6	1705930	1706304	1757.0	1024.0
chr3	82655447	82655827	1339.0	775.0
chr9	72788174	72788555	1881.0	1067.0
chr20	26438448	28554562	4546909.0	2329771.0
chr6	58554346	59830578	2165165.0	1192067.0
chr10	39000365	41916630	44983007.0	7170358.0
chr2	89827607	89827706	99789.0	1032.0
chr2	89828636	89828710	79394.0	1671.0
chr2	89828842	89828942	66074.0	1947.0
chr2	89833685	89833793	128494.0	2709.0
chr2	89839592	89839709	563571.0	3190.0
chr11	103270627	103271007	1739.0	954.0
chr4	83383282	83383662	2205.0	1281.0
chr13	107058662	107059042	833.0	491.0
chr16	3367430	3368546	6372.0	3596.0
chr16	3369658	3370039	1763.0	1128.0
chr16	3370150	3370542	3161.0	1353.0
chr16	3370932	3371445	3208.0	1799.0
chr16	3371688	3372222	14295.0	1968.0
chr10	25638376	25638756	2153.0	1176.0
chr7	145997159	145997608	354567.0	1070.0
chr1	172710350	172710732	1664.0	885.0
chr16	34071571	34071629	152991.0	668.0
chr20	28644084	29015573	3725917.0	1405854.0
chr2	164117001	164117382	1817.0	988.0
chr8	133615761	133616142	1618.0	924.0
chr12	27925108	27925488	2288.0	1282.0
chr3	166159726	166160108	1864.0	1055.0
chr3	166160260	166160644	1397.0	771.0
chr3	166161631	166162087	2487.0	1440.0
