#'chr'	'start'	'end'	'star_36.bam'	'star_36_sponge.bam'
chr20	36307598	36307634	4142.0	178.0
chr2	8128848	8128870	2523.0	1115.0
chrX	30266073	30266102	2459.0	43.0
chr3	57969402	57969418	1538.0	666.0
chr3	57986876	57986912	3465.0	1745.0
chr3	57993061	57993075	1943.0	1014.0
chr2	94500253	94500268	1347.0	693.0
chr2	94501594	94501602	1209.0	562.0
chr2	94504355	94504387	2769.0	1824.0
chr2	94506422	94506598	5433.0	2617.0
chr2	94509498	94509515	1511.0	686.0
chr2	94510915	94510952	2410.0	1220.0
chr2	94526215	94526231	1105.0	653.0
chr2	94532883	94532898	1455.0	671.0
chr2	94542935	94542960	2052.0	610.0
chr2	94551728	94551764	4653.0	2378.0
chr2	94555407	94555408	1433.0	570.0
chr2	94565182	94565191	1277.0	631.0
chr2	94576838	94576873	2074.0	1073.0
chr2	94578231	94578265	1621.0	57.0
chr2	94579981	94579998	1366.0	75.0
chr2	94583349	94584772	28819.0	16049.0
chr2	94586442	94586472	2324.0	1246.0
chr2	94587606	94587632	1457.0	508.0
chr2	94589685	94589754	2501.0	1335.0
chr2	94591109	94592087	18688.0	8892.0
chr2	94593383	94593402	1438.0	735.0
chr2	94597902	94597913	1173.0	669.0
chr12	129105004	129105022	1013.0	566.0
chr16	81434484	81434520	3363.0	351.0
chr13	27282739	27282770	4718.0	142.0
chr11	92705435	92705824	9379.0	5565.0
chr15	77699382	77699768	19990.0	10736.0
chr19	52376498	52376521	1744.0	687.0
chr20	62747513	62747541	1486.0	777.0
chr1	51392756	51392792	8814.0	202.0
chr4	127569276	127569304	2065.0	950.0
chr11	65163294	65163305	1754.0	675.0
chr1	73946634	73946661	1529.0	765.0
chr7	119440967	119441003	2373.0	151.0
chr5	50211986	50212416	6802.0	2442.0
chr5	50217351	50217381	1944.0	157.0
chr5	50219014	50219049	2388.0	1036.0
chr5	50225863	50225890	1487.0	570.0
chr5	50236605	50236913	5000.0	2641.0
chr2	95551612	95551622	1108.0	617.0
chr8	133930343	133930375	3238.0	251.0
chr19	31893811	31893836	1399.0	747.0
chrX	36596473	36596496	2011.0	968.0
chr7	128464685	128464723	2302.0	1285.0
chr12	94508628	94508665	9020.0	4627.0
chr6	35169559	35169787	6323.0	3532.0
chr12	23872278	23872303	1358.0	747.0
chr12	23893299	23893325	1497.0	760.0
chr9	60519576	60519589	1692.0	378.0
chr9	60521373	60521976	12462.0	3716.0
chr9	60523027	60523041	3365.0	457.0
chr9	60524509	60526508	48093.0	13275.0
chr9	60528201	60528235	2627.0	610.0
chr9	60539389	60540112	12794.0	4923.0
chr9	60549301	60549330	1807.0	959.0
chr9	60561876	60562594	7936.0	3729.0
chr9	60563882	60563903	3637.0	2269.0
chr9	60565232	60565271	2297.0	1430.0
chr9	60568899	60568920	2120.0	551.0
chr9	60587232	60587254	3039.0	1448.0
chr9	60590679	60590680	956.0	478.0
chr9	60594905	60594908	1411.0	703.0
chr9	3078681	3078696	1365.0	682.0
chr8	15555137	15555169	3175.0	1677.0
chr8	36408602	36408620	1419.0	776.0
chr3	186865590	186865622	3912.0	1526.0
chr10	1038713	1038738	1481.0	807.0
chrX	54809167	54809203	1440.0	158.0
chr2	87341652	87341952	9701.0	5458.0
chr2	87344478	87344594	3887.0	1928.0
chr2	87347424	87347505	2990.0	1637.0
chr2	87354313	87354318	879.0	445.0
chr2	87361943	87361959	2717.0	492.0
chr2	87365462	87365977	11047.0	4128.0
chr2	87373901	87373921	1970.0	1197.0
chr2	87376583	87376861	9536.0	3171.0
chr2	87378550	87379008	7518.0	2050.0
chr2	87384667	87386094	37475.0	15023.0
chr2	87389783	87389805	2697.0	1453.0
chr2	87394535	87394581	2146.0	1196.0
chr2	87398738	87399136	11001.0	4570.0
chr6	52297234	52297253	2329.0	1092.0
chr17	56229668	56229696	2315.0	1209.0
