#'chr'	'start'	'end'	'star_36.bam'	'star_36_sponge.bam'
chr5	176387222	176390837	29801.0	16224.0
chr1	174996773	175002759	45213.0	24689.0
chr1	108745435	108748295	21357.0	11534.0
chr8	140456139	140459404	21526.0	11394.0
chr8	140463544	140466143	21875.0	11527.0
chr15	70097177	70100258	19845.0	10675.0
chr12	121887597	121890282	23944.0	12778.0
chr9	120841858	120844412	22135.0	12317.0
chr19	54101608	54103671	15991.0	8476.0
chr19	54114869	54116811	17525.0	9209.0
chr19	54135871	54137999	19175.0	10212.0
chr19	54158460	54161179	22647.0	11959.0
chr19	54189153	54192034	22689.0	11924.0
chr19	54199989	54204711	37992.0	20252.0
chrY	11304630	11305687	444205.0	19364.0
chrY	11309152	11313904	1531914.0	71857.0
chrY	11317708	11319188	321879.0	17125.0
chrY	11326241	11331200	1500421.0	66365.0
chr12	57109940	57113217	28481.0	15416.0
chr17	59104317	59110140	46199.0	23090.0
chr17	59153744	59156355	23143.0	12144.0
chr17	42386959	42390258	26383.0	14478.0
chr5	100534624	100537477	17154.0	9287.0
chr5	65925738	65931414	35191.0	18892.0
chr16	71806557	71809180	18418.0	10063.0
chr1	70410089	70413670	26854.0	14551.0
chr14	75660074	75662253	15465.0	8389.0
chr2	112052514	112057716	39503.0	21189.0
chr22	30965890	30969562	22547.0	12419.0
chrX	49328356	49331440	49437.0	8135.0
chrX	49338688	49340164	21942.0	3796.0
chrX	49341188	49343546	50592.0	13001.0
chrX	49344555	49347587	51467.0	14546.0
chr16	88662018	88664563	17122.0	9164.0
chr5	177891524	177893123	20658.0	11193.0
chr1	2756455	2759815	141870.0	25735.0
chr8	33512001	33514949	23359.0	12720.0
chr21	14381923	14385746	25332.0	13894.0
chr17	42997069	43000054	26820.0	14589.0
chr6	158852210	158855203	24432.0	13672.0
chr16	89490507	89492858	17440.0	9552.0
chr3	111977866	111980456	17555.0	9613.0
chr5	123510650	123512499	13404.0	7471.0
chr17	58516658	58519508	25900.0	13883.0
chr18	22231956	22232963	54268.0	29250.0
chr1	197197720	197203582	37629.0	20604.0
chr11	57710920	57713426	20605.0	11108.0
chr1	27913782	27915578	15191.0	8511.0
chr11	76442098	76446235	32427.0	17230.0
chr19	49764517	49766952	17270.0	9538.0
chr2	152715649	152719704	30647.0	16841.0
chr14	60978634	60983133	30734.0	16643.0
chr13	30465647	30467924	14336.0	7716.0
chr12	48715515	48718314	24517.0	13125.0
chr1	235077342	235081107	36363.0	19576.0
chr17	21849036	21851123	42900.0	17932.0
chr6	29647752	29651083	21244.0	11585.0
chr12	4537027	4540312	22640.0	12364.0
chr5	172003765	172009143	39109.0	21194.0
chr2	63839286	63844180	37658.0	20391.0
chr11	95231173	95233303	14609.0	8226.0
chr3	179603682	179605659	15739.0	8401.0
chr12	55816844	55819228	21033.0	11117.0
chr12	55826424	55831790	36830.0	19691.0
chr21	44873533	44875739	16763.0	9082.0
chr12	49566451	49569448	24168.0	13071.0
chr8	26381842	26383473	11696.0	6383.0
chr9	34046351	34050829	34201.0	18582.0
chrX	49268239	49269881	9256.0	4926.0
chr19	48169959	48171606	11341.0	6235.0
chr14	44960900	44964862	30010.0	16062.0
chr5	17517560	17530467	1979677.0	218356.0
chr5	17581090	17599526	2521004.0	287697.0
chr8	85810977	85812244	262144.0	8137.0
chr8	85820933	85822359	343301.0	46546.0
chr3	179561613	179563177	10897.0	5695.0
chr17	63548907	63551199	19552.0	10489.0
chr4	152535596	152537562	13636.0	7497.0
chr3	150541284	150548295	46293.0	25033.0
chr3	150599706	150608140	61155.0	32848.0
chr9	71908410	71913387	31993.0	17323.0
chr19	44111143	44114824	26705.0	14318.0
chr19	44163934	44166439	20254.0	10688.0
chr15	20339362	20342632	83654.0	31726.0
chr13	75481325	75483993	14011.0	7542.0
chr5	169580930	169586803	38239.0	21177.0
chr20	56391973	56394538	21637.0	11393.0
chr2	238907553	238909562	22823.0	12462.0
chr19	12610408	12612273	14304.0	7890.0
