#'chr'	'start'	'end'	'star_36.bam'	'star_36_sponge.bam'
chr7	158893300	158917900	194206.0	84840.0
chr18	15363300	20949700	13195324.0	7013849.0
chr3	53365600	53371300	9212.0	4637.0
chr17	1061400	1066200	185830.0	99431.0
chrX	19940200	19946400	11892.0	6257.0
chrX	119164100	119166200	5338.0	2873.0
chrX	104631000	104634800	14136.0	7647.0
chr6	256900	382700	1183687.0	554460.0
chrX	153382000	153392000	94803.0	54258.0
chr14	95154200	95176900	116661.0	63538.0
chr3	56934900	56951200	82313.0	44793.0
chr3	120574000	120598300	101978.0	56084.0
chr15	82320300	82391000	1056095.0	538720.0
chrX	36700200	36704600	17113.0	9248.0
chr13	39592900	39595100	7844.0	4031.0
chr13	50081500	50084400	21294.0	11744.0
chr3	17840500	17860900	101220.0	56628.0
chr4	6002800	6005200	50006.0	27582.0
chr5	151390500	151407600	89671.0	49059.0
chr11	10506900	10511100	3929986.0	16815.0
chr13	76267900	76269600	7226.0	3928.0
chr9	70037200	70039500	288196.0	9607.0
chr3	197598400	197680900	996448.0	530974.0
chr3	135002900	135005100	13370.0	6785.0
chr19	43355900	43378200	168406.0	90030.0
chr13	81748200	81753100	20986.0	11165.0
chr3	69475300	69480400	20544.0	10351.0
chrX	10966600	10976900	26095.0	14365.0
chr3	51456400	51462100	21257.0	11030.0
chr3	150600400	150617100	99247.0	53230.0
chr13	75953800	75958000	12166.0	6679.0
chr5	171083900	171090200	20328.0	10538.0
chr7	158146100	158152400	192791.0	41002.0
chr9	63761500	64005900	4471150.0	1784471.0
chr5	156658800	156666800	40150.0	20097.0
chr2	113390100	113684400	4630576.0	2443990.0
chr14	67868000	67874000	15960.0	8339.0
chr12	55347000	55350200	7338.0	3965.0
chr13	72610600	72616200	22430.0	11452.0
chr11	131679600	131681500	42949.0	23594.0
chr3	176828700	176833000	18948.0	9534.0
chrX	135718500	135889000	2620237.0	1106643.0
chr3	39366600	39371400	20687.0	11259.0
chr14	39511000	39526800	69125.0	37182.0
chr14	39584200	39589900	21469.0	10975.0
chr1	113633400	113638400	14691.0	7913.0
chr14	32465700	32486000	784936.0	56525.0
chrX	86113300	86118900	21096.0	10207.0
chr15	101871800	101991100	2479437.0	1123791.0
chr18	78436700	78438800	33921.0	17885.0
chr16	34657900	34672500	1050386.0	139918.0
