#'chr'	'start'	'end'	'star_101.bam'	'star_101_sponge.bam'
chr8	51896443	51902204	79334.0	79334.0
chr15	82342054	82344390	86011.0	81574.0
chr15	82354157	82355405	83636.0	82148.0
chr4	127879912	127882799	42454.0	42453.0
chr16	30633090	30635869	54136.0	54130.0
chr16	30649803	30651470	43447.0	43447.0
chr16	30656700	30659367	74286.0	74284.0
chr16	30697189	30700509	72811.0	72810.0
chr22	35398799	35400722	33303.0	33299.0
chr16	32173633	32174678	23977.0	23973.0
chr16	32194041	32195226	26729.0	26729.0
chr4	17575805	17579341	58152.0	58143.0
chr11	74169580	74173274	74914.0	74911.0
chr11	1388550	1389952	21361.0	21359.0
chr5	109407391	109412587	94940.0	94941.0
chr9	131372326	131374748	55846.0	55824.0
chr16	24538587	24543646	79901.0	79901.0
chr14	19245987	19254857	187807.0	185514.0
chr14	19294883	19296035	34278.0	34278.0
chr7	107889968	107892492	55637.0	55638.0
chrX	154202898	154208429	98176.0	98168.0
chrX	154211368	154216060	93404.0	93404.0
chrX	154217760	154234639	275490.0	275489.0
chrX	154244900	154246238	20682.0	20684.0
chrX	154248748	154253966	102773.0	102774.0
chrX	154255537	154291084	618866.0	618814.0
chr9	40595206	40602411	548467.0	479147.0
chr10	123151632	123157634	78824.0	78822.0
chr11	47576754	47580326	58627.0	58615.0
chr1	170073790	170076391	43633.0	43633.0
chr1	167933297	167936823	76896.0	76896.0
chr14	90381093	90385500	86010.0	86009.0
chr5	163458736	163460426	32857.0	32857.0
chr2	203013243	203016450	54695.0	54691.0
chr4	88282470	88286004	62921.0	62921.0
chr17	82291653	82293147	32109.0	32108.0
chr11	28106668	28111341	67240.0	67240.0
chr4	9334696	9369034	52255.0	46764.0
chr12	113964644	113968677	56123.0	56117.0
chr11	89903126	89904861	22591.0	22590.0
chr11	89912490	89919825	92619.0	92603.0
chr11	89923946	89931281	92689.0	92670.0
chr11	89938985	89940720	23824.0	23820.0
chr11	89946916	89948565	21128.0	21128.0
chr11	89953203	89954324	9598.0	9598.0
chr11	89987764	89992672	59577.0	59573.0
chr11	89994053	89995359	17007.0	17007.0
chr12	116736119	116738865	53377.0	53377.0
chr2	241147912	241151612	59421.0	59417.0
chr15	84200897	84202230	42084.0	41743.0
chr15	84205026	84206208	35032.0	35027.0
chr15	84217814	84224494	230435.0	229959.0
chr15	84226717	84231062	241029.0	237841.0
chr15	84232887	84234123	37519.0	37497.0
chr15	84236077	84238394	95754.0	95745.0
chr15	84266668	84339694	621686.0	617482.0
chr11	108007851	108010621	46896.0	46890.0
chrX	53683559	53685147	26812.0	26808.0
chr7	124927225	124930380	48301.0	48299.0
chr2	92013511	92015623	35609.0	31728.0
chr2	92018056	92047231	542830.0	515676.0
chr7	16642834	16646458	60235.0	60231.0
chr2	87418355	87420053	96320.0	81011.0
chr2	91558209	91561076	119122.0	117472.0
chr16	22295925	22299411	67091.0	67091.0
chr1	153632592	153634738	53089.0	53086.0
chr1	153669677	153673092	69388.0	69376.0
chr19	2426033	2428753	51467.0	51464.0
chr19	41261572	41267267	126288.0	126273.0
chr12	107684489	107686871	42141.0	42137.0
chr13	50078554	50084406	88856.0	88856.0
chr21	43048831	43054968	74869.0	74869.0
chr21	43057531	43059206	17613.0	17646.0
chr21	43071022	43075153	46629.0	46628.0
chr21	43078750	43080176	19556.0	19556.0
chr21	43081889	43086331	44855.0	44859.0
chr21	43092274	43093579	13867.0	13868.0
chr7	73522085	73523668	33455.0	33454.0
chr7	138000823	138003392	59212.0	59212.0
chrX	152680506	152684542	45532.0	45532.0
chrX	152689337	152696084	73764.0	73376.0
chr22	30965890	30969562	49817.0	49819.0
chr9	27573570	27575227	27177.0	27177.0
chr21	7327927	7751297	7479300.0	6999833.0
chr1	1657928	1661124	81413.0	79670.0
chr1	1690937	1694218	108905.0	108896.0
chr14	99480944	99482905	38408.0	38408.0
chr13	110710529	110713581	57464.0	57446.0
chr13	110714652	110718446	64697.0	64696.0
chr15	88635920	88640833	81817.0	81815.0
chr4	186432386	186433934	17985.0	30311.0
chr22	19477167	19481260	96434.0	96431.0
chrX	48800409	48803083	46445.0	46443.0
chrX	48896653	48898772	34536.0	34538.0
chr7	66491982	66494516	51833.0	51830.0
chr2	128027710	128029678	34920.0	34919.0
chr2	128090639	128092209	29953.0	29954.0
chr15	20521663	20522769	27992.0	27992.0
chr15	20588790	20590268	20311.0	20309.0
chr15	20594431	20596627	27046.0	27046.0
chr2	111328469	111330322	35801.0	34073.0
chr2	189660501	189663085	45012.0	45009.0
chr22	11813231	11817974	406247.0	171103.0
chr18	79014318	79015385	27928.0	32172.0
chr18	79065622	79071364	79310.0	79308.0
chr2	90352798	90353930	35398.0	33117.0
chr2	90380570	90402471	8739219.0	1231018.0
chr11	94233528	94239880	429459.0	407102.0
chr6	116569914	116573166	58089.0	58089.0
chr16	81005604	81009397	80164.0	80159.0
chr16	81075865	81078690	54283.0	54275.0
chr16	81094473	81097773	52412.0	51090.0
chr7	75526307	75528969	44431.0	44429.0
chr1	3856973	3858909	35559.0	35554.0
chr1	3897827	3902361	87049.0	87022.0
chr6	44386447	44388066	40532.0	40532.0
chr5	80405703	80410182	69293.0	69298.0
chr5	75716508	75719194	41278.0	41277.0
chr5	144168761	144171834	47069.0	47068.0
chr2	87619825	87621678	34928.0	34140.0
chr2	87667524	87668829	21398.0	21256.0
chr16	75515730	75517945	44483.0	44480.0
chr7	47473945	47476507	55884.0	55850.0
chr19	10651595	10654662	62719.0	62720.0
chr17	2510209	2513403	52857.0	52850.0
chr12	132240819	132242039	30049.0	30236.0
chr15	72472216	72477521	97205.0	97204.0
chr21	45922714	45925083	92881.0	92808.0
chr21	45978275	45981518	65782.0	65300.0
chr14	39173371	39176547	57567.0	57569.0
chr7	26860938	26866418	84670.0	84673.0
chr16	27549709	27551185	30574.0	30572.0
chr19	44001958	44004344	44455.0	44455.0
chr5	69603150	69604398	21192.0	21191.0
chr5	69607168	69609209	44636.0	44631.0
chr5	69615931	69617792	39219.0	38772.0
chr5	69619233	69623252	117607.0	114308.0
chr5	69636512	69637576	75257.0	63145.0
chr5	69639988	69644891	375067.0	298670.0
chr5	69649788	69672573	765970.0	695934.0
chr5	69675187	69683072	346759.0	346592.0
