"","Name","ID","Description","Gene Width","Sum of Exon Widths","Number of Exons","Class","InterPro Accession"
"ENSG00000186092.7","OR4F5","ENSG00000186092.7","olfactory receptor family 4 subfamily F member 5",6167,2618,3,"protein_coding","IPR000276"
"ENSG00000284733.2","OR4F29","ENSG00000284733.2","olfactory receptor family 4 subfamily F member 29",939,939,1,"protein_coding","IPR000276"
"ENSG00000284662.2","OR4F16","ENSG00000284662.2","olfactory receptor family 4 subfamily F member 16",939,939,1,"protein_coding","IPR000276"
"ENSG00000187634.13","SAMD11","ENSG00000187634.13","sterile alpha motif domain containing 11",20653,25466,136,"protein_coding","IPR000770"
"ENSG00000188976.11","NOC2L","ENSG00000188976.11","NOC2 like nucleolar associated transcriptional repressor",15107,10461,52,"protein_coding","IPR005343"
"ENSG00000187961.15","KLHL17","ENSG00000187961.15","kelch like family member 17",5136,4950,22,"protein_coding","IPR000210"
"ENSG00000187583.11","PLEKHN1","ENSG00000187583.11","pleckstrin homology domain containing N1",9384,8987,54,"protein_coding","IPR001849"
"ENSG00000187642.10","PERM1","ENSG00000187642.10","PPARGC1 and ESRR induced regulator, muscle 1",6920,10258,15,"protein_coding","IPR043442"
"ENSG00000188290.11","HES4","ENSG00000188290.11","hes family bHLH transcription factor 4",1211,3630,12,"protein_coding","IPR003650"
"ENSG00000187608.10","ISG15","ENSG00000187608.10","ISG15 ubiquitin like modifier",13403,2081,8,"protein_coding","IPR000626"
"ENSG00000188157.15","AGRN","ENSG00000188157.15",NA,35999,35898,165,"protein_coding",NA
"ENSG00000237330.3","RNF223","ENSG00000237330.3","ring finger protein 223",3340,1900,2,"protein_coding","IPR001841"
"ENSG00000131591.18","C1orf159","ENSG00000131591.18","chromosome 1 open reading frame 159",34544,27465,146,"protein_coding","IPR027888"
"ENSG00000162571.14","TTLL10","ENSG00000162571.14","tubulin tyrosine ligase like 10",24057,9197,61,"protein_coding","IPR004344"
"ENSG00000186891.14","TNFRSF18","ENSG00000186891.14","TNF receptor superfamily member 18",3085,3366,18,"protein_coding","IPR022318"
"ENSG00000186827.12","TNFRSF4","ENSG00000186827.12","TNF receptor superfamily member 4",2828,14983,84,"protein_coding","IPR001368"
"ENSG00000078808.20","SDF4","ENSG00000078808.20","stromal cell derived factor 4",15101,13546,34,"protein_coding","IPR002048"
"ENSG00000176022.7","B3GALT6","ENSG00000176022.7","beta-1,3-galactosyltransferase 6",2805,2805,1,"protein_coding","IPR002659"
"ENSG00000184163.3","C1QTNF12","ENSG00000184163.3","C1q and TNF related 12",4277,3526,18,"protein_coding","IPR001073"
"ENSG00000160087.21","UBE2J2","ENSG00000160087.21","ubiquitin conjugating enzyme E2 J2",19956,20728,112,"protein_coding",""
"ENSG00000162572.21","SCNN1D","ENSG00000162572.21","sodium channel epithelial 1 subunit delta",11594,15975,96,"protein_coding","IPR001873"
"ENSG00000131584.19","ACAP3","ENSG00000131584.19","ArfGAP with coiled-coil, ankyrin repeat and PH domains 3",17220,21846,124,"protein_coding","IPR001164"
"ENSG00000169972.13","PUSL1","ENSG00000169972.13","pseudouridine synthase like 1",3081,7204,32,"protein_coding","IPR001406"
"ENSG00000127054.22","INTS11","ENSG00000127054.22","integrator complex subunit 11",13103,61249,397,"protein_coding","IPR001279"
"ENSG00000224051.7","CPTP","ENSG00000224051.7","ceramide-1-phosphate transfer protein",4141,4038,8,"protein_coding","IPR014830"
"ENSG00000169962.5","TAS1R3","ENSG00000169962.5","taste 1 receptor member 3",4035,3475,6,"protein_coding","IPR000068"
"ENSG00000107404.21","DVL1","ENSG00000107404.21","dishevelled segment polarity protein 1",14143,9841,56,"protein_coding","IPR000591"
"ENSG00000162576.17","MXRA8","ENSG00000162576.17","matrix remodeling associated 8",9089,13990,59,"protein_coding","IPR003599"
"ENSG00000175756.14","AURKAIP1","ENSG00000175756.14","aurora kinase A interacting protein 1",1478,4801,19,"protein_coding","IPR013177"
"ENSG00000221978.13","CCNL2","ENSG00000221978.13","cyclin L2",13625,32223,132,"protein_coding","IPR004367"
"ENSG00000242485.6","MRPL20","ENSG00000242485.6","mitochondrial ribosomal protein L20",5385,4848,19,"protein_coding","IPR005813"
"ENSG00000235098.9","ANKRD65","ENSG00000235098.9","ankyrin repeat domain 65",3350,8014,15,"protein_coding",""
"ENSG00000205116.4","TMEM88B","ENSG00000205116.4","transmembrane protein 88B",4385,3217,2,"protein_coding","IPR033355"
"ENSG00000179403.12","VWA1","ENSG00000179403.12","von Willebrand factor A domain containing 1",8022,7916,10,"protein_coding","IPR002035"
"ENSG00000215915.10","ATAD3C","ENSG00000215915.10","ATPase family AAA domain containing 3C",20475,4895,20,"protein_coding","IPR003593"
"ENSG00000160072.20","ATAD3B","ENSG00000160072.20","ATPase family AAA domain containing 3B",26084,17540,63,"protein_coding","IPR003593"
"ENSG00000197785.14","ATAD3A","ENSG00000197785.14","ATPase family AAA domain containing 3A",22524,14030,94,"protein_coding","IPR003593"
"ENSG00000205090.10","TMEM240","ENSG00000205090.10","transmembrane protein 240",5847,2177,6,"protein_coding","IPR027947"
"ENSG00000160075.12","SSU72","ENSG00000160075.12","SSU72 homolog, RNA polymerase II CTD phosphatase",33191,8317,13,"protein_coding","IPR006811"
"ENSG00000228594.4","FNDC10","ENSG00000228594.4","fibronectin type III domain containing 10",2124,2124,1,"protein_coding","IPR034446"
"ENSG00000197530.13","MIB2","ENSG00000197530.13","MIB E3 ubiquitin protein ligase 2",15152,60049,323,"protein_coding",""
"ENSG00000189409.14","MMP23B","ENSG00000189409.14","matrix metallopeptidase 23B",3101,8737,48,"protein_coding",""
"ENSG00000248333.9","CDK11B","ENSG00000248333.9","cyclin dependent kinase 11B",23788,21104,172,"protein_coding","IPR000719"
"ENSG00000189339.12","SLC35E2B","ENSG00000189339.12","solute carrier family 35 member E2B",33267,19597,34,"protein_coding","IPR004853"
"ENSG00000008128.23","CDK11A","ENSG00000008128.23","cyclin dependent kinase 11A",21979,31754,223,"protein_coding","IPR000719"
"ENSG00000008130.15","NADK","ENSG00000008130.15","NAD kinase",29226,20412,107,"protein_coding","IPR002504"
"ENSG00000078369.19","GNB1","ENSG00000078369.19","G protein subunit beta 1",107008,74154,316,"protein_coding","IPR001680"
"ENSG00000169885.10","CALML6","ENSG00000169885.10","calmodulin like 6",2189,3891,17,"protein_coding","IPR002048"
"ENSG00000178821.13","TMEM52","ENSG00000178821.13","transmembrane protein 52",1690,4417,21,"protein_coding","IPR038942"
"ENSG00000142609.20","CFAP74","ENSG00000142609.20","cilia and flagella associated protein 74",81887,26301,155,"protein_coding","IPR013783"
"ENSG00000187730.9","GABRD","ENSG00000187730.9","gamma-aminobutyric acid type A receptor subunit delta",11430,27277,123,"protein_coding","IPR008098"
"ENSG00000067606.17","PRKCZ","ENSG00000067606.17","protein kinase C zeta",134985,24646,189,"protein_coding","IPR000270"
"ENSG00000162585.17","FAAP20","ENSG00000162585.17","FA core complex associated protein 20",28260,25043,67,"protein_coding",""
"ENSG00000157933.11","SKI","ENSG00000157933.11","SKI proto-oncogene",82826,7616,18,"protein_coding","IPR003380"
"ENSG00000116151.14","MORN1","ENSG00000116151.14","MORN repeat containing 1",70455,18668,67,"protein_coding","IPR003409"
"ENSG00000157916.20","RER1","ENSG00000157916.20","retention in endoplasmic reticulum sorting receptor 1",13668,12929,49,"protein_coding","IPR004932"
"ENSG00000157911.11","PEX10","ENSG00000157911.11","peroxisomal biogenesis factor 10",9834,13263,43,"protein_coding","IPR001841"
"ENSG00000149527.18","PLCH2","ENSG00000149527.18","phospholipase C eta 2",79553,35286,118,"protein_coding","IPR011993"
"ENSG00000157881.16","PANK4","ENSG00000157881.16","pantothenate kinase 4 (inactive)",18061,13537,90,"protein_coding","IPR002791"
"ENSG00000197921.6","HES5","ENSG00000197921.6","hes family bHLH transcription factor 5",1519,1324,3,"protein_coding","IPR003650"
"ENSG00000157873.18","TNFRSF14","ENSG00000157873.18","TNF receptor superfamily member 14",9744,20263,85,"protein_coding","IPR001368"
"ENSG00000157870.17","PRXL2B","ENSG00000157870.17","peroxiredoxin like 2B",4979,24804,89,"protein_coding","IPR032801"
"ENSG00000142606.16","MMEL1","ENSG00000142606.16","membrane metalloendopeptidase like 1",42378,10418,83,"protein_coding","IPR000718"
"ENSG00000215912.13","TTC34","ENSG00000215912.13","tetratricopeptide repeat domain 34",164708,9555,16,"protein_coding","IPR011990"
"ENSG00000169717.7","ACTRT2","ENSG00000169717.7","actin related protein T2",1437,1437,1,"protein_coding","IPR004000"
"ENSG00000142611.17","PRDM16","ENSG00000142611.17","PR/SET domain 16",369454,32787,107,"protein_coding","IPR001214"
"ENSG00000130762.15","ARHGEF16","ENSG00000130762.15","Rho guanine nucleotide exchange factor 16",26449,12407,60,"protein_coding","IPR000219"
"ENSG00000162591.17","MEGF6","ENSG00000162591.17","multiple EGF like domains 6",123558,26923,156,"protein_coding","IPR000152"
"ENSG00000158109.15","TPRG1L","ENSG00000158109.15","tumor protein p63 regulated 1 like",5113,4590,9,"protein_coding","IPR022158"
"ENSG00000116213.16","WRAP73","ENSG00000116213.16","WD repeat containing, antisense to TP73",21995,14644,60,"protein_coding","IPR001680"
"ENSG00000078900.16","TP73","ENSG00000078900.16","tumor protein p73",83686,41967,157,"protein_coding","IPR001660"
"ENSG00000162592.10","CCDC27","ENSG00000162592.10","coiled-coil domain containing 27",25186,7062,30,"protein_coding",""
"ENSG00000235169.11","SMIM1","ENSG00000235169.11","small integral membrane protein 1 (Vel blood group)",3234,2009,13,"protein_coding","IPR031744"
"ENSG00000130764.10","LRRC47","ENSG00000130764.10","leucine rich repeat containing 47",17940,5312,16,"protein_coding","IPR001611"
"ENSG00000116198.14","CEP104","ENSG00000116198.14","centrosomal protein 104",45311,118045,436,"protein_coding","IPR008979"
"ENSG00000169598.17","DFFB","ENSG00000169598.17","DNA fragmentation factor subunit beta",28163,25548,67,"protein_coding","IPR003508"
"ENSG00000198912.12","C1orf174","ENSG00000198912.12","chromosome 1 open reading frame 174",11169,20840,45,"protein_coding","IPR031530"
"ENSG00000196581.11","AJAP1","ENSG00000196581.11","adherens junctions associated protein 1",137926,14783,14,"protein_coding","IPR029198"
"ENSG00000131697.18","NPHP4","ENSG00000131697.18","nephrocystin 4",129663,36223,155,"protein_coding",""
"ENSG00000069424.16","KCNAB2","ENSG00000069424.16","potassium voltage-gated channel subfamily A regulatory beta subunit 2",110267,102533,471,"protein_coding","IPR005399"
"ENSG00000116254.18","CHD5","ENSG00000116254.18","chromodomain helicase DNA binding protein 5",78535,23460,137,"protein_coding","IPR000330"
"ENSG00000285629.1","ENSG00000285629","ENSG00000285629.1","novel transcript",38328,663,5,"protein_coding",""
"ENSG00000116251.11","RPL22","ENSG00000116251.11","ribosomal protein L22",24370,7564,29,"protein_coding","IPR002671"
"ENSG00000158286.13","RNF207","ENSG00000158286.13","ring finger protein 207",15825,12401,54,"protein_coding","IPR000315"
"ENSG00000116237.16","ICMT","ENSG00000116237.16","isoprenylcysteine carboxyl methyltransferase",14780,8962,17,"protein_coding","IPR007269"
"ENSG00000173673.9","HES3","ENSG00000173673.9","hes family bHLH transcription factor 3",1400,1420,8,"protein_coding","IPR011598"
"ENSG00000158292.7","GPR153","ENSG00000158292.7","G protein-coupled receptor 153",13746,4198,6,"protein_coding","IPR000276"
"ENSG00000097021.21","ACOT7","ENSG00000097021.21","acyl-CoA thioesterase 7",129499,12720,76,"protein_coding","IPR006683"
"ENSG00000069812.11","HES2","ENSG00000069812.11","hes family bHLH transcription factor 2",12253,8038,19,"protein_coding","IPR011598"
"ENSG00000187017.18","ESPN","ENSG00000187017.18","espin",36592,18113,84,"protein_coding","IPR002110"
"ENSG00000215788.11","TNFRSF25","ENSG00000215788.11","TNF receptor superfamily member 25",5390,26179,143,"protein_coding","IPR000488"
"ENSG00000171680.23","PLEKHG5","ENSG00000171680.23","pleckstrin homology and RhoGEF domain containing G5",52953,67700,401,"protein_coding",""
"ENSG00000162408.11","NOL9","ENSG00000162408.11","nucleolar protein 9",33167,9367,23,"protein_coding","IPR027417"
"ENSG00000173662.21","TAS1R1","ENSG00000173662.21","taste 1 receptor member 1",24449,7186,18,"protein_coding","IPR000068"
"ENSG00000204859.13","ZBTB48","ENSG00000204859.13","zinc finger and BTB domain containing 48",9287,11440,42,"protein_coding","IPR000210"
"ENSG00000162413.17","KLHL21","ENSG00000162413.17","kelch like family member 21",23884,13479,19,"protein_coding","IPR000210"
"ENSG00000116273.6","PHF13","ENSG00000116273.6","PHD finger protein 13",10300,4430,6,"protein_coding","IPR001965"
"ENSG00000041988.16","THAP3","ENSG00000041988.16","THAP domain containing 3",10719,8242,34,"protein_coding","IPR006612"
"ENSG00000007923.17","DNAJC11","ENSG00000007923.17","DnaJ heat shock protein family (Hsp40) member C11",67757,63662,235,"protein_coding","IPR001623"
"ENSG00000171735.21","CAMTA1","ENSG00000171735.21","calmodulin binding transcription activator 1",984253,98879,373,"protein_coding","IPR000048"
